Päivämäärä,Mittausverkko,Mittauspaikka,Komponentti,Pitoisuus
03.06.2024,,Helsinki Teollisuuskatu,PM2.5 24h,16
03.06.2024,Kemin verkko,Kemi Biotuotetehdas,PM2.5 24h,19
03.06.2024,,Helsinki Teollisuuskatu,PM10 24h,54
02.06.2024,Joensuun verkko,Joensuu Koskikatu 1,PM2.5 24h,16
02.06.2024,Kemin verkko,Kemi Biotuotetehdas,PM2.5 24h,19
02.06.2024,Kuopion verkko,Kuopio Savilahti KYS,PM2.5 24h,16
02.06.2024,Kuopion verkko,Kuopio Tasavallankatu,PM2.5 24h,16
02.06.2024,Kuopion verkko,Siilinjärvi Sorakuja,PM2.5 24h,16
02.06.2024,Varkauden verkko,Varkaus Psaari 2,PM2.5 24h,19
01.06.2024,Helsingin seudun verkko (HSY),Espoo Leppävaara Läkkisepänkuja,PM2.5 24h,18
01.06.2024,,Espoo Lintuvaara 2,PM2.5 24h,17
01.06.2024,Helsingin seudun verkko (HSY),Espoo Luukki,PM2.5 24h,16
01.06.2024,Harjavallan verkko,Harjavalta Kaleva,PM2.5 24h,17
01.06.2024,Harjavallan verkko,Harjavalta Pirkkala,PM2.5 24h,20
01.06.2024,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM2.5 24h,23
01.06.2024,Helsingin seudun verkko (HSY),Helsinki Mäkelänkatu,PM2.5 24h,16
01.06.2024,,Helsinki Teollisuuskatu,PM2.5 24h,18
01.06.2024,Helsingin seudun verkko (HSY),Helsinki Vartiokylä Huivipolku,PM2.5 24h,16
01.06.2024,Hämeenlinnan verkko,Hämeenlinna Niittykatu,PM2.5 24h,20
01.06.2024,Joensuun verkko,Joensuu Koskikatu 1,PM2.5 24h,21
01.06.2024,Jyväskylän verkko,Jyväskylä Hannikaisenkatu,PM2.5 24h,19
01.06.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM2.5 24h,17
01.06.2024,Kemin verkko,Kemi Biotuotetehdas,PM2.5 24h,21
01.06.2024,Kokkolan verkko,Kokkola Ykspihlaja,PM2.5 24h,17
01.06.2024,Kotkan verkko,Kotka Kirjastotalo,PM2.5 24h,16
