geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m,Havaintoaseman nimi
"LINESTRING Z (27.673349 60.539694 0, 27.673646 60.539238000000005 0, 27.675259000000004 60.538318999999994 0, 27.676159 60.537604 0, 27.677217 60.535994 0)",102002317.0,102002058.0,2024-04-16 13:06:39+00:00,2024-04-16 13:09:06+00:00,['BRUSHING'],2024-04-16 13:06:38+00:00,2024-04-16 13:08:55+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.677217 60.535994 0, 27.677855 60.53506000000001 0, 27.679114 60.533934999999985 0, 27.679641 60.53316100000001 0, 27.680115 60.532258 0)",102002602.0,102002317.0,2024-04-16 13:08:56+00:00,2024-04-16 13:11:08+00:00,['BRUSHING'],2024-04-16 13:08:55+00:00,2024-04-16 13:10:56+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.680115 60.532258 0, 27.68084 60.530958 0, 27.681697 60.52970400000002 0, 27.681947 60.52917399999999 0, 27.68267 60.52824999999999 0)",102002838.0,102002602.0,2024-04-16 13:10:57+00:00,2024-04-16 13:13:10+00:00,['BRUSHING'],2024-04-16 13:10:56+00:00,2024-04-16 13:12:57+00:00,,state-roads,Harja/Väylävirasto,True,True,True,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.68267 60.52824999999999 0, 27.683735 60.52694799999998 0, 27.685229 60.52421099999999 0)",102003070.0,102002838.0,2024-04-16 13:12:58+00:00,2024-04-16 13:15:12+00:00,['BRUSHING'],2024-04-16 13:12:57+00:00,2024-04-16 13:14:58+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.685229 60.52421099999999 0, 27.685917000000003 60.523258 0, 27.685866 60.522958 0, 27.685602 60.52268800000001 0, 27.683309 60.52123899999999 0, 27.682573 60.520509999999994 0)",102003324.0,102003070.0,2024-04-16 13:14:59+00:00,2024-04-16 13:17:15+00:00,['BRUSHING'],2024-04-16 13:14:58+00:00,2024-04-16 13:16:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.683557 60.521311 0, 27.684274 60.52182399999999 0, 27.685396000000004 60.522468999999994 0, 27.686021 60.52299100000001 0, 27.68593 60.523391 0, 27.684835 60.52502899999999 0)",102008574.0,102008406.0,2024-04-16 14:08:23+00:00,2024-04-16 14:10:57+00:00,['BRUSHING'],2024-04-16 14:08:22+00:00,2024-04-16 14:10:40+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.684835 60.52502899999999 0, 27.683717 60.52704699999999 0, 27.682558000000004 60.528449 0, 27.682653 60.528302999999994 0, 27.682361 60.52843200000001 0, 27.682527 60.52839600000001 0)",102008755.0,102008574.0,2024-04-16 14:10:41+00:00,2024-04-16 14:12:58+00:00,['BRUSHING'],2024-04-16 14:10:40+00:00,2024-04-16 14:13:40+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.682527 60.52839600000001 0, 27.681934 60.52837699999999 0, 27.682513 60.52840299999998 0, 27.682474000000003 60.528311000000016 0, 27.68247 60.52845000000001 0, 27.682626 60.528257 0, 27.68254 60.528304 0, 27.682563 60.52836700000001 0, 27.68248 60.528343 0, 27.682598 60.528372000000005 0)",102009008.0,102008755.0,2024-04-16 14:13:41+00:00,2024-04-16 14:16:00+00:00,['BRUSHING'],2024-04-16 14:13:40+00:00,2024-04-16 14:16:40+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.682598 60.528372000000005 0, 27.681462 60.52842900000001 0, 27.682607 60.52833900000001 0, 27.682109 60.52834399999999 0, 27.681437 60.528427 0, 27.68272 60.528305 0, 27.682377 60.52832500000001 0, 27.682694 60.528203999999995 0, 27.682383 60.528308 0)",102009259.0,102009008.0,2024-04-16 14:16:41+00:00,2024-04-16 14:19:02+00:00,['BRUSHING'],2024-04-16 14:16:40+00:00,2024-04-16 14:19:41+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.682383 60.528308 0, 27.681439 60.528416 0, 27.682564 60.52840200000001 0, 27.682418 60.5285 0, 27.682519 60.52840200000001 0, 27.681927 60.528371 0)",102009506.0,102009259.0,2024-04-16 14:19:41+00:00,2024-04-16 14:22:04+00:00,['BRUSHING'],2024-04-16 14:19:41+00:00,2024-04-16 14:22:11+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.681927 60.528371 0, 27.681435 60.52843 0, 27.681928 60.52836299999999 0, 27.682434 60.52841 0, 27.682514000000005 60.528301 0, 27.682494 60.52840200000002 0, 27.682392 60.52841700000001 0, 27.682607 60.528433 0, 27.681023 60.53087099999998 0)",102009734.0,102009506.0,2024-04-16 14:22:12+00:00,2024-04-16 14:25:06+00:00,['BRUSHING'],2024-04-16 14:22:11+00:00,2024-04-16 14:24:11+00:00,,state-roads,Harja/Väylävirasto,True,True,True,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.681023 60.53087099999998 0, 27.68067 60.53133299999999 0, 27.679635 60.533373999999995 0, 27.679179000000005 60.533964 0, 27.678236 60.53480500000002 0)",102009895.0,102009734.0,2024-04-16 14:24:12+00:00,2024-04-16 14:27:07+00:00,['BRUSHING'],2024-04-16 14:24:11+00:00,2024-04-16 14:26:12+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (27.678236 60.53480500000002 0, 27.677706000000004 60.535375999999985 0, 27.676447 60.53740500000001 0, 27.675746 60.53808 0, 27.674803000000004 60.53865299999998 0)",102010067.0,102009895.0,2024-04-16 14:26:13+00:00,2024-04-16 14:29:09+00:00,['BRUSHING'],2024-04-16 14:26:12+00:00,2024-04-16 14:28:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Virolahti Koivuniemi Ääpälä
"LINESTRING Z (24.815576 60.204516999999996 0, 24.815937 60.20634300000001 0, 24.816312 60.213563 0)",99861847.0,99861821.0,2024-03-29 13:06:00+00:00,2024-03-29 13:06:26+00:00,['BRUSHING'],2024-03-29 13:03:50+00:00,2024-03-29 13:04:45+00:00,3.0,state-roads,Harja/Väylävirasto,True,False,False,Espoo Leppävaara Läkkisepänkuja
"LINESTRING Z (24.816312 60.213563 0, 24.816656 60.220029 0)",99861886.0,99861847.0,2024-03-29 13:07:00+00:00,2024-03-29 13:07:26+00:00,['BRUSHING'],2024-03-29 13:04:45+00:00,2024-03-29 13:04:45+00:00,3.0,state-roads,Harja/Väylävirasto,True,True,False,Espoo Leppävaara Läkkisepänkuja
"LINESTRING Z (24.822935 60.224801 0, 24.824274 60.225523 0, 24.825421 60.226999 0, 24.826201 60.22763799999999 0, 24.827123 60.22802699999999 0, 24.827927000000003 60.228219 0, 24.831294 60.228500000000004 0)",99861924.0,,2024-03-29 13:08:00+00:00,2024-03-29 13:08:26+00:00,['BRUSHING'],2024-03-29 13:05:53+00:00,2024-03-29 13:06:59+00:00,61.0,state-roads,Harja/Väylävirasto,True,False,False,Espoo Leppävaara Läkkisepänkuja
"LINESTRING Z (24.824166 60.225774 0, 24.823331 60.22524499999999 0, 24.821672 60.224588999999995 0)",99953728.0,99953650.0,2024-03-31 02:26:42+00:00,2024-03-31 02:28:53+00:00,['BRUSHING'],2024-03-31 02:26:41+00:00,2024-03-31 02:26:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Espoo Leppävaara Läkkisepänkuja
"LINESTRING Z (24.816522 60.220865999999994 0, 24.816346 60.22063000000001 0, 24.816303 60.22031500000001 0, 24.815827 60.212379 0)",99953729.0,,2024-03-31 02:26:42+00:00,2024-03-31 02:28:53+00:00,['BRUSHING'],2024-03-31 02:26:41+00:00,2024-03-31 02:27:42+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Espoo Leppävaara Läkkisepänkuja
"LINESTRING Z (24.824257 60.225722 0, 24.823336 60.22515 0, 24.821207 60.224384 0, 24.816458 60.220817 0, 24.816322 60.220456000000006 0, 24.816137 60.21529000000001 0, 24.815908 60.212644000000004 0)",99953735.0,99953655.0,2024-03-31 02:26:52+00:00,2024-03-31 02:28:53+00:00,['BRUSHING'],2024-03-31 02:26:52+00:00,2024-03-31 02:27:57+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Espoo Leppävaara Läkkisepänkuja
"LINESTRING Z (24.815827 60.212379 0, 24.8158 60.211867 0, 24.815668 60.211368 0, 24.815414 60.210881999999984 0, 24.815139 60.21057 0, 24.814543 60.21014 0, 24.813174000000004 60.209369999999986 0, 24.812399 60.209034 0, 24.811790000000002 60.208880999999984 0, 24.810792000000003 60.20874200000001 0, 24.808228 60.20857199999998 0, 24.802629 60.20840599999999 0, 24.797639 60.20813700000001 0)",99953796.0,99953729.0,2024-03-31 02:27:43+00:00,2024-03-31 02:29:53+00:00,['BRUSHING'],2024-03-31 02:27:42+00:00,2024-03-31 02:28:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Espoo Leppävaara Läkkisepänkuja
