"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Helsinki Teollisuuskatu","2024","3","5","00:00","6.6"
"Helsinki Teollisuuskatu","2024","3","5","01:00","6"
"Helsinki Teollisuuskatu","2024","3","5","02:00","4.9"
"Helsinki Teollisuuskatu","2024","3","5","03:00","4.8"
"Helsinki Teollisuuskatu","2024","3","5","04:00","5"
"Helsinki Teollisuuskatu","2024","3","5","05:00","6.5"
"Helsinki Teollisuuskatu","2024","3","5","06:00","8.1"
"Helsinki Teollisuuskatu","2024","3","5","07:00","8.4"
"Helsinki Teollisuuskatu","2024","3","5","08:00","8.5"
"Helsinki Teollisuuskatu","2024","3","5","09:00","11.7"
"Helsinki Teollisuuskatu","2024","3","5","10:00","13.1"
"Helsinki Teollisuuskatu","2024","3","5","11:00","12.4"
"Helsinki Teollisuuskatu","2024","3","5","12:00","12.8"
"Helsinki Teollisuuskatu","2024","3","5","13:00","10.4"
"Helsinki Teollisuuskatu","2024","3","5","14:00","13.7"
"Helsinki Teollisuuskatu","2024","3","5","15:00","21.2"
"Helsinki Teollisuuskatu","2024","3","5","16:00","22.7"
"Helsinki Teollisuuskatu","2024","3","5","17:00","27.6"
"Helsinki Teollisuuskatu","2024","3","5","18:00","21.6"
"Helsinki Teollisuuskatu","2024","3","5","19:00","18.7"
"Helsinki Teollisuuskatu","2024","3","5","20:00","15.3"
"Helsinki Teollisuuskatu","2024","3","5","21:00","13.7"
"Helsinki Teollisuuskatu","2024","3","5","22:00","11.5"
"Helsinki Teollisuuskatu","2024","3","5","23:00","6.7"
"Helsinki Teollisuuskatu","2024","3","6","00:00","6.3"
"Helsinki Teollisuuskatu","2024","3","6","01:00","5.9"
"Helsinki Teollisuuskatu","2024","3","6","02:00","6.2"
"Helsinki Teollisuuskatu","2024","3","6","03:00","6.2"
"Helsinki Teollisuuskatu","2024","3","6","04:00","7.7"
"Helsinki Teollisuuskatu","2024","3","6","05:00","9.9"
"Helsinki Teollisuuskatu","2024","3","6","06:00","14.8"
"Helsinki Teollisuuskatu","2024","3","6","07:00","31"
"Helsinki Teollisuuskatu","2024","3","6","08:00","27.7"
"Helsinki Teollisuuskatu","2024","3","6","09:00","39.5"
"Helsinki Teollisuuskatu","2024","3","6","10:00","56.4"
"Helsinki Teollisuuskatu","2024","3","6","11:00","35.8"
"Helsinki Teollisuuskatu","2024","3","6","12:00","52.8"
"Helsinki Teollisuuskatu","2024","3","6","13:00","43.2"
"Helsinki Teollisuuskatu","2024","3","6","14:00","35.3"
"Helsinki Teollisuuskatu","2024","3","6","15:00","53.4"
"Helsinki Teollisuuskatu","2024","3","6","16:00","61.8"
"Helsinki Teollisuuskatu","2024","3","6","17:00","71.4"
"Helsinki Teollisuuskatu","2024","3","6","18:00","51.9"
"Helsinki Teollisuuskatu","2024","3","6","19:00","28.8"
"Helsinki Teollisuuskatu","2024","3","6","20:00","19.3"
"Helsinki Teollisuuskatu","2024","3","6","21:00","11.6"
"Helsinki Teollisuuskatu","2024","3","6","22:00","11.5"
"Helsinki Teollisuuskatu","2024","3","6","23:00","7.1"
"Helsinki Teollisuuskatu","2024","3","7","00:00","6.1"
"Helsinki Teollisuuskatu","2024","3","7","01:00","6.2"
"Helsinki Teollisuuskatu","2024","3","7","02:00","6.4"
"Helsinki Teollisuuskatu","2024","3","7","03:00","6.2"
"Helsinki Teollisuuskatu","2024","3","7","04:00","7.5"
"Helsinki Teollisuuskatu","2024","3","7","05:00","8.4"
"Helsinki Teollisuuskatu","2024","3","7","06:00","16.4"
"Helsinki Teollisuuskatu","2024","3","7","07:00","21.6"
"Helsinki Teollisuuskatu","2024","3","7","08:00","17.7"
"Helsinki Teollisuuskatu","2024","3","7","09:00","22.4"
"Helsinki Teollisuuskatu","2024","3","7","10:00","41.6"
"Helsinki Teollisuuskatu","2024","3","7","11:00","37.4"
"Helsinki Teollisuuskatu","2024","3","7","12:00","51.2"
"Helsinki Teollisuuskatu","2024","3","7","13:00","58.3"
"Helsinki Teollisuuskatu","2024","3","7","14:00","87"
"Helsinki Teollisuuskatu","2024","3","7","15:00","88.2"
"Helsinki Teollisuuskatu","2024","3","7","16:00","62.8"
"Helsinki Teollisuuskatu","2024","3","7","17:00","25.6"
"Helsinki Teollisuuskatu","2024","3","7","18:00","23.1"
"Helsinki Teollisuuskatu","2024","3","7","19:00","25.6"
"Helsinki Teollisuuskatu","2024","3","7","20:00","19"
"Helsinki Teollisuuskatu","2024","3","7","21:00","21.1"
"Helsinki Teollisuuskatu","2024","3","7","22:00","23.7"
"Helsinki Teollisuuskatu","2024","3","7","23:00","19.1"
"Helsinki Teollisuuskatu","2024","3","8","00:00","10.2"
"Helsinki Teollisuuskatu","2024","3","8","01:00","10.2"
"Helsinki Teollisuuskatu","2024","3","8","02:00","9.7"
"Helsinki Teollisuuskatu","2024","3","8","03:00","8.3"
"Helsinki Teollisuuskatu","2024","3","8","04:00","7.9"
"Helsinki Teollisuuskatu","2024","3","8","05:00","7.8"
"Helsinki Teollisuuskatu","2024","3","8","06:00","9.9"
"Helsinki Teollisuuskatu","2024","3","8","07:00","10.2"
"Helsinki Teollisuuskatu","2024","3","8","08:00","11.4"
"Helsinki Teollisuuskatu","2024","3","8","09:00","13.6"
"Helsinki Teollisuuskatu","2024","3","8","10:00","20.2"
"Helsinki Teollisuuskatu","2024","3","8","11:00","24.3"
"Helsinki Teollisuuskatu","2024","3","8","12:00","20.9"
"Helsinki Teollisuuskatu","2024","3","8","13:00","14.3"
"Helsinki Teollisuuskatu","2024","3","8","14:00","20.5"
"Helsinki Teollisuuskatu","2024","3","8","15:00","23.1"
"Helsinki Teollisuuskatu","2024","3","8","16:00","23"
"Helsinki Teollisuuskatu","2024","3","8","17:00","19.2"
"Helsinki Teollisuuskatu","2024","3","8","18:00","17.5"
"Helsinki Teollisuuskatu","2024","3","8","19:00","14.9"
"Helsinki Teollisuuskatu","2024","3","8","20:00","10.7"
"Helsinki Teollisuuskatu","2024","3","8","21:00","9.7"
"Helsinki Teollisuuskatu","2024","3","8","22:00","13.6"
"Helsinki Teollisuuskatu","2024","3","8","23:00","10.8"
"Helsinki Teollisuuskatu","2024","3","9","00:00","10.5"
"Helsinki Teollisuuskatu","2024","3","9","01:00","9.2"
"Helsinki Teollisuuskatu","2024","3","9","02:00","8.8"
"Helsinki Teollisuuskatu","2024","3","9","03:00","7.1"
"Helsinki Teollisuuskatu","2024","3","9","04:00","7.9"
"Helsinki Teollisuuskatu","2024","3","9","05:00","8.1"
"Helsinki Teollisuuskatu","2024","3","9","06:00","12.5"
"Helsinki Teollisuuskatu","2024","3","9","07:00","13.8"
"Helsinki Teollisuuskatu","2024","3","9","08:00","20.2"
"Helsinki Teollisuuskatu","2024","3","9","09:00","39.3"
"Helsinki Teollisuuskatu","2024","3","9","10:00","51.8"
"Helsinki Teollisuuskatu","2024","3","9","11:00","47.8"
"Helsinki Teollisuuskatu","2024","3","9","12:00","41.5"
"Helsinki Teollisuuskatu","2024","3","9","13:00","40.3"
"Helsinki Teollisuuskatu","2024","3","9","14:00","42.7"
"Helsinki Teollisuuskatu","2024","3","9","15:00","56.4"
"Helsinki Teollisuuskatu","2024","3","9","16:00","45.7"
"Helsinki Teollisuuskatu","2024","3","9","17:00","45.7"
"Helsinki Teollisuuskatu","2024","3","9","18:00","34.4"
"Helsinki Teollisuuskatu","2024","3","9","19:00","44.8"
"Helsinki Teollisuuskatu","2024","3","9","20:00","31.7"
"Helsinki Teollisuuskatu","2024","3","9","21:00","30.7"
"Helsinki Teollisuuskatu","2024","3","9","22:00","46.1"
"Helsinki Teollisuuskatu","2024","3","9","23:00","39.7"
"Helsinki Teollisuuskatu","2024","3","10","00:00","43.9"
"Helsinki Teollisuuskatu","2024","3","10","01:00","17"
"Helsinki Teollisuuskatu","2024","3","10","02:00","16.2"
"Helsinki Teollisuuskatu","2024","3","10","03:00","13.3"
"Helsinki Teollisuuskatu","2024","3","10","04:00","14.6"
"Helsinki Teollisuuskatu","2024","3","10","05:00","7.7"
"Helsinki Teollisuuskatu","2024","3","10","06:00","11.9"
"Helsinki Teollisuuskatu","2024","3","10","07:00","7.8"
"Helsinki Teollisuuskatu","2024","3","10","08:00","9.8"
"Helsinki Teollisuuskatu","2024","3","10","09:00","13.7"
"Helsinki Teollisuuskatu","2024","3","10","10:00","30.6"
"Helsinki Teollisuuskatu","2024","3","10","11:00","34.7"
"Helsinki Teollisuuskatu","2024","3","10","12:00","19.2"
"Helsinki Teollisuuskatu","2024","3","10","13:00","51.7"
"Helsinki Teollisuuskatu","2024","3","10","14:00","63.2"
"Helsinki Teollisuuskatu","2024","3","10","15:00","52.6"
"Helsinki Teollisuuskatu","2024","3","10","16:00","43"
"Helsinki Teollisuuskatu","2024","3","10","17:00","44.4"
"Helsinki Teollisuuskatu","2024","3","10","18:00","36.2"
"Helsinki Teollisuuskatu","2024","3","10","19:00","31.5"
"Helsinki Teollisuuskatu","2024","3","10","20:00","26.9"
"Helsinki Teollisuuskatu","2024","3","10","21:00","25.4"
"Helsinki Teollisuuskatu","2024","3","10","22:00","28.8"
"Helsinki Teollisuuskatu","2024","3","10","23:00","27.2"
"Helsinki Teollisuuskatu","2024","3","11","00:00","18.1"
"Helsinki Teollisuuskatu","2024","3","11","01:00","15.3"
"Helsinki Teollisuuskatu","2024","3","11","02:00","14.5"
"Helsinki Teollisuuskatu","2024","3","11","03:00","26.5"
"Helsinki Teollisuuskatu","2024","3","11","04:00","26.3"
"Helsinki Teollisuuskatu","2024","3","11","05:00","22.5"
"Helsinki Teollisuuskatu","2024","3","11","06:00","23.8"
"Helsinki Teollisuuskatu","2024","3","11","07:00","27.5"
"Helsinki Teollisuuskatu","2024","3","11","08:00","79.4"
"Helsinki Teollisuuskatu","2024","3","11","09:00","132.1"
"Helsinki Teollisuuskatu","2024","3","11","10:00","94"
"Helsinki Teollisuuskatu","2024","3","11","11:00","121.5"
"Helsinki Teollisuuskatu","2024","3","11","12:00","125.7"
"Helsinki Teollisuuskatu","2024","3","11","13:00","142"
"Helsinki Teollisuuskatu","2024","3","11","14:00","139.1"
"Helsinki Teollisuuskatu","2024","3","11","15:00","177.1"
"Helsinki Teollisuuskatu","2024","3","11","16:00","224.3"
"Helsinki Teollisuuskatu","2024","3","11","17:00","163.2"
"Helsinki Teollisuuskatu","2024","3","11","18:00","159.6"
"Helsinki Teollisuuskatu","2024","3","11","19:00","106.7"
"Helsinki Teollisuuskatu","2024","3","11","20:00","60.9"
"Helsinki Teollisuuskatu","2024","3","11","21:00","29.4"
