"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Pori Paanakedonkatu","2024","3","5","00:00","6.2"
"Pori Paanakedonkatu","2024","3","5","01:00","5.8"
"Pori Paanakedonkatu","2024","3","5","02:00","4.9"
"Pori Paanakedonkatu","2024","3","5","03:00","4.1"
"Pori Paanakedonkatu","2024","3","5","04:00","3.2"
"Pori Paanakedonkatu","2024","3","5","05:00","4.2"
"Pori Paanakedonkatu","2024","3","5","06:00","2.8"
"Pori Paanakedonkatu","2024","3","5","07:00","3.8"
"Pori Paanakedonkatu","2024","3","5","08:00","4.6"
"Pori Paanakedonkatu","2024","3","5","09:00","4.8"
"Pori Paanakedonkatu","2024","3","5","10:00","4.7"
"Pori Paanakedonkatu","2024","3","5","11:00","5"
"Pori Paanakedonkatu","2024","3","5","12:00","5.5"
"Pori Paanakedonkatu","2024","3","5","13:00","5.5"
"Pori Paanakedonkatu","2024","3","5","14:00","5.4"
"Pori Paanakedonkatu","2024","3","5","15:00","8.4"
"Pori Paanakedonkatu","2024","3","5","16:00","11.9"
"Pori Paanakedonkatu","2024","3","5","17:00","18.1"
"Pori Paanakedonkatu","2024","3","5","18:00","17"
"Pori Paanakedonkatu","2024","3","5","19:00","38.2"
"Pori Paanakedonkatu","2024","3","5","20:00","64.8"
"Pori Paanakedonkatu","2024","3","5","21:00","53.3"
"Pori Paanakedonkatu","2024","3","5","22:00","29.6"
"Pori Paanakedonkatu","2024","3","5","23:00","23.1"
"Pori Paanakedonkatu","2024","3","6","00:00","15.1"
"Pori Paanakedonkatu","2024","3","6","01:00","16.3"
"Pori Paanakedonkatu","2024","3","6","02:00","34.8"
"Pori Paanakedonkatu","2024","3","6","03:00","16.5"
"Pori Paanakedonkatu","2024","3","6","04:00","21.3"
"Pori Paanakedonkatu","2024","3","6","05:00","49.6"
"Pori Paanakedonkatu","2024","3","6","06:00","49.3"
"Pori Paanakedonkatu","2024","3","6","07:00","93.9"
"Pori Paanakedonkatu","2024","3","6","08:00","86.8"
"Pori Paanakedonkatu","2024","3","6","09:00","74.8"
"Pori Paanakedonkatu","2024","3","6","10:00","24.9"
"Pori Paanakedonkatu","2024","3","6","11:00","14.5"
"Pori Paanakedonkatu","2024","3","6","12:00","8.2"
"Pori Paanakedonkatu","2024","3","6","13:00","7.2"
"Pori Paanakedonkatu","2024","3","6","14:00","7.5"
"Pori Paanakedonkatu","2024","3","6","15:00","8"
"Pori Paanakedonkatu","2024","3","6","16:00","5.9"
"Pori Paanakedonkatu","2024","3","6","17:00","5.5"
"Pori Paanakedonkatu","2024","3","6","18:00","4.8"
"Pori Paanakedonkatu","2024","3","6","19:00","4.7"
"Pori Paanakedonkatu","2024","3","6","20:00","3.5"
"Pori Paanakedonkatu","2024","3","6","21:00","2.6"
"Pori Paanakedonkatu","2024","3","6","22:00","1.7"
"Pori Paanakedonkatu","2024","3","6","23:00","1.9"
"Pori Paanakedonkatu","2024","3","7","00:00","1.5"
"Pori Paanakedonkatu","2024","3","7","01:00","1.5"
"Pori Paanakedonkatu","2024","3","7","02:00","1.7"
"Pori Paanakedonkatu","2024","3","7","03:00","1.5"
"Pori Paanakedonkatu","2024","3","7","04:00","2.6"
"Pori Paanakedonkatu","2024","3","7","05:00","3.5"
"Pori Paanakedonkatu","2024","3","7","06:00","5.1"
"Pori Paanakedonkatu","2024","3","7","07:00","4.1"
"Pori Paanakedonkatu","2024","3","7","08:00","4.6"
"Pori Paanakedonkatu","2024","3","7","09:00","5.8"
"Pori Paanakedonkatu","2024","3","7","10:00","7.8"
"Pori Paanakedonkatu","2024","3","7","11:00","7.5"
"Pori Paanakedonkatu","2024","3","7","12:00","4.8"
"Pori Paanakedonkatu","2024","3","7","13:00","7.5"
"Pori Paanakedonkatu","2024","3","7","14:00","6.3"
"Pori Paanakedonkatu","2024","3","7","15:00","4"
"Pori Paanakedonkatu","2024","3","7","16:00","6.6"
"Pori Paanakedonkatu","2024","3","7","17:00","5"
"Pori Paanakedonkatu","2024","3","7","18:00","6.2"
"Pori Paanakedonkatu","2024","3","7","19:00","5.5"
"Pori Paanakedonkatu","2024","3","7","20:00","4.1"
"Pori Paanakedonkatu","2024","3","7","21:00","4.4"
"Pori Paanakedonkatu","2024","3","7","22:00","6"
"Pori Paanakedonkatu","2024","3","7","23:00","3.1"
"Pori Paanakedonkatu","2024","3","8","00:00","3.5"
"Pori Paanakedonkatu","2024","3","8","01:00","4"
"Pori Paanakedonkatu","2024","3","8","02:00","8.1"
"Pori Paanakedonkatu","2024","3","8","03:00","10.2"
"Pori Paanakedonkatu","2024","3","8","04:00","23.9"
"Pori Paanakedonkatu","2024","3","8","05:00","44.8"
"Pori Paanakedonkatu","2024","3","8","06:00","81"
"Pori Paanakedonkatu","2024","3","8","07:00","76.5"
"Pori Paanakedonkatu","2024","3","8","08:00","132.6"
"Pori Paanakedonkatu","2024","3","8","09:00","111.3"
"Pori Paanakedonkatu","2024","3","8","10:00","88.2"
"Pori Paanakedonkatu","2024","3","8","11:00","66.6"
"Pori Paanakedonkatu","2024","3","8","12:00","41.9"
"Pori Paanakedonkatu","2024","3","8","13:00","28.5"
"Pori Paanakedonkatu","2024","3","8","14:00","27.1"
"Pori Paanakedonkatu","2024","3","8","15:00","22.3"
