"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Kaarina Kaarina","2024","3","5","00:00","8.2"
"Kaarina Kaarina","2024","3","5","01:00","13.4"
"Kaarina Kaarina","2024","3","5","02:00","12.7"
"Kaarina Kaarina","2024","3","5","03:00","13.8"
"Kaarina Kaarina","2024","3","5","04:00","10.5"
"Kaarina Kaarina","2024","3","5","05:00","8"
"Kaarina Kaarina","2024","3","5","06:00","5.9"
"Kaarina Kaarina","2024","3","5","07:00","5.1"
"Kaarina Kaarina","2024","3","5","08:00","3.9"
"Kaarina Kaarina","2024","3","5","09:00","6.1"
"Kaarina Kaarina","2024","3","5","10:00","5.4"
"Kaarina Kaarina","2024","3","5","11:00","4.1"
"Kaarina Kaarina","2024","3","5","12:00","4.1"
"Kaarina Kaarina","2024","3","5","13:00","3.2"
"Kaarina Kaarina","2024","3","5","14:00","2.3"
"Kaarina Kaarina","2024","3","5","15:00","4.6"
"Kaarina Kaarina","2024","3","5","16:00","8"
"Kaarina Kaarina","2024","3","5","17:00","6.5"
"Kaarina Kaarina","2024","3","5","18:00","13.5"
"Kaarina Kaarina","2024","3","5","19:00","18.8"
"Kaarina Kaarina","2024","3","5","20:00","30.4"
"Kaarina Kaarina","2024","3","5","21:00","42.2"
"Kaarina Kaarina","2024","3","5","22:00","31.7"
"Kaarina Kaarina","2024","3","5","23:00","32.3"
"Kaarina Kaarina","2024","3","6","00:00","27.5"
"Kaarina Kaarina","2024","3","6","01:00","19.4"
"Kaarina Kaarina","2024","3","6","02:00","19.8"
"Kaarina Kaarina","2024","3","6","03:00","16.7"
"Kaarina Kaarina","2024","3","6","04:00","12.2"
"Kaarina Kaarina","2024","3","6","05:00","8.7"
"Kaarina Kaarina","2024","3","6","06:00","9.3"
"Kaarina Kaarina","2024","3","6","07:00","34.8"
"Kaarina Kaarina","2024","3","6","08:00","60.3"
"Kaarina Kaarina","2024","3","6","09:00","63"
"Kaarina Kaarina","2024","3","6","10:00","50.3"
"Kaarina Kaarina","2024","3","6","11:00","36.4"
"Kaarina Kaarina","2024","3","6","12:00","31.4"
"Kaarina Kaarina","2024","3","6","13:00","33.6"
"Kaarina Kaarina","2024","3","6","14:00","58"
"Kaarina Kaarina","2024","3","6","15:00","64.8"
"Kaarina Kaarina","2024","3","6","16:00","70.1"
