geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,10k,500m,100m
"LINESTRING Z (382792.8269070398 6681596.579753098 0, 382948.0572126591 6681233.182414093 0)",99005883.0,99005516.0,2024-03-21 09:40:25+00:00,2024-03-21 09:42:29+00:00,['BRUSHING'],2024-03-21 09:40:26+00:00,2024-03-21 09:42:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382948.0572126591 6681233.182414093 0, 383005.8768751656 6681104.947301398 0, 383086.4150439428 6680904.10203841 0)",99006112.0,99005883.0,2024-03-21 09:42:43+00:00,2024-03-21 09:45:32+00:00,['BRUSHING'],2024-03-21 09:42:44+00:00,2024-03-21 09:45:03+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383086.4150439428 6680904.10203841 0, 383223.4481512637 6680576.073527467 0)",99006416.0,99006112.0,2024-03-21 09:45:02+00:00,2024-03-21 09:47:34+00:00,['BRUSHING'],2024-03-21 09:45:03+00:00,2024-03-21 09:47:25+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383223.4481512637 6680576.073527467 0, 383363.6754609799 6680246.612000993 0)",99006644.0,99006416.0,2024-03-21 09:47:24+00:00,2024-03-21 09:49:36+00:00,['BRUSHING'],2024-03-21 09:47:25+00:00,2024-03-21 09:49:56+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383363.6754609799 6680246.612000993 0, 383511.2175475178 6679905.890574716 0)",99006931.0,99006644.0,2024-03-21 09:49:55+00:00,2024-03-21 09:52:38+00:00,['BRUSHING'],2024-03-21 09:49:56+00:00,2024-03-21 09:52:57+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383511.2175475178 6679905.890574716 0, 383603.5995051053 6679683.618301649 0)",99007271.0,99006931.0,2024-03-21 09:52:55+00:00,2024-03-21 09:55:41+00:00,['BRUSHING'],2024-03-21 09:52:57+00:00,2024-03-21 09:55:57+00:00,,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (383603.5995051053 6679683.618301649 0),99007608.0,99007271.0,2024-03-21 09:55:55+00:00,2024-03-21 09:58:43+00:00,['BRUSHING'],2024-03-21 09:55:57+00:00,2024-03-21 09:55:57+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383603.9763757496 6679683.271953067 0, 383604.5675876466 6679682.69588145 0)",99007945.0,99007608.0,2024-03-21 09:58:55+00:00,2024-03-21 10:01:46+00:00,['BRUSHING'],2024-03-21 09:58:57+00:00,2024-03-21 10:01:57+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383604.5675876466 6679682.69588145 0, 383616.0770687404 6679649.118042248 0)",99008275.0,99007945.0,2024-03-21 10:01:55+00:00,2024-03-21 10:04:48+00:00,['BRUSHING'],2024-03-21 10:01:57+00:00,2024-03-21 10:04:57+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383616.0770687404 6679649.118042248 0, 383638.6767083752 6679607.051370991 0, 383768.6692811556 6679301.784591692 0)",99008621.0,99008275.0,2024-03-21 10:04:56+00:00,2024-03-21 10:07:51+00:00,['BRUSHING'],2024-03-21 10:04:57+00:00,2024-03-21 10:07:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383768.6692811556 6679301.784591692 0, 383824.1768964693 6679156.36470795 0, 383891.8130238845 6679017.470135312 0, 383915.4316991568 6678956.650168893 0)",99008899.0,99008621.0,2024-03-21 10:07:26+00:00,2024-03-21 10:09:54+00:00,['BRUSHING'],2024-03-21 10:07:27+00:00,2024-03-21 10:10:10+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383915.4316991568 6678956.650168893 0, 383951.0841732598 6678880.291514003 0, 384057.1463941232 6678589.505394797 0)",99009236.0,99008899.0,2024-03-21 10:10:09+00:00,2024-03-21 10:12:56+00:00,['BRUSHING'],2024-03-21 10:10:10+00:00,2024-03-21 10:12:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384057.1463941232 6678589.505394797 0, 384100.8588249325 6678389.522216275 0, 384129.5256168586 6678221.89027794 0)",99009468.0,99009236.0,2024-03-21 10:12:40+00:00,2024-03-21 10:14:58+00:00,['BRUSHING'],2024-03-21 10:12:41+00:00,2024-03-21 10:14:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384129.5256168586 6678221.89027794 0, 384151.0033100704 6678107.200416442 0, 384172.9629910969 6677944.685276453 0, 384175.1011354042 6677884.436847623 0)",99009699.0,99009468.0,2024-03-21 10:14:49+00:00,2024-03-21 10:17:00+00:00,['BRUSHING'],2024-03-21 10:14:50+00:00,2024-03-21 10:17:20+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384175.1011354042 6677884.436847623 0, 384172.7530909831 6677806.833603592 0, 384153.9020174313 6677670.352761864 0, 384143.3373021614 6677625.66350824 0, 384107.0791779761 6677520.827891428 0)",99010029.0,99009699.0,2024-03-21 10:17:19+00:00,2024-03-21 10:20:03+00:00,['BRUSHING'],2024-03-21 10:17:20+00:00,2024-03-21 10:19:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384107.0791779761 6677520.827891428 0, 384084.3411108695 6677459.473495784 0, 384022.3787605315 6677341.522921705 0, 384011.9811237119 6677307.41601538 0, 383942.176214955 6677185.369030355 0)",99010307.0,99010029.0,2024-03-21 10:19:49+00:00,2024-03-21 10:22:05+00:00,['BRUSHING'],2024-03-21 10:19:50+00:00,2024-03-21 10:21:01+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383942.176214955 6677185.369030355 0, 383870.7591571576 6677066.829231032 0, 383711.3123754477 6676860.594892342 0, 383649.6970063571 6676768.159948927 0, 383614.9450355023 6676692.1450502 0, 383589.1856488254 6676588.539852935 0)",99010505.0,99010307.0,2024-03-21 10:21:00+00:00,2024-03-21 10:23:06+00:00,['BRUSHING'],2024-03-21 10:21:01+00:00,2024-03-21 10:23:14+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383589.1856488254 6676588.539852935 0, 383578.3118096035 6676464.734936245 0, 383581.2125681979 6676439.121423492 0, 383592.8663199926 6676425.376943753 0, 383789.3575056703 6676423.028832867 0, 383839.1413819171 6676415.317784726 0, 383857.8740877679 6676421.85539608 0, 383859.3228772675 6676429.053366737 0, 383849.5732637576 6676443.405159299 0, 383819.49966043 6676443.023023438 0)",99010755.0,99010505.0,2024-03-21 10:23:13+00:00,2024-03-21 10:26:08+00:00,['BRUSHING'],2024-03-21 10:23:14+00:00,2024-03-21 10:25:21+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383819.49966043 6676443.023023438 0, 383608.0948765264 6676436.817011581 0, 383590.9660220866 6676445.832075219 0, 383587.9569324374 6676455.846562225 0, 383602.2256966899 6676600.941104937 0, 383612.3536089774 6676647.314714313 0, 383636.0752217494 6676711.310049041 0)",99011022.0,99010755.0,2024-03-21 10:25:20+00:00,2024-03-21 10:28:10+00:00,['BRUSHING'],2024-03-21 10:25:21+00:00,2024-03-21 10:26:34+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383636.0752217494 6676711.310049041 0, 383689.401392156 6676802.893987991 0, 383900.1544175749 6677086.178912317 0, 383964.4481273278 6677182.990462958 0)",99011146.0,99011022.0,2024-03-21 10:26:33+00:00,2024-03-21 10:29:13+00:00,['BRUSHING'],2024-03-21 10:26:34+00:00,2024-03-21 10:28:56+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383964.4481273278 6677182.990462958 0, 384092.8548378434 6677420.197570418 0, 384126.0251776329 6677506.296633317 0)",99011436.0,99011146.0,2024-03-21 10:28:55+00:00,2024-03-21 10:31:15+00:00,['BRUSHING'],2024-03-21 10:28:56+00:00,2024-03-21 10:31:24+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384126.0251776329 6677506.296633317 0, 384178.9069539692 6677675.578521854 0, 384194.2761708062 6677808.937832771 0, 384194.5992670235 6677869.888372909 0)",99011743.0,99011436.0,2024-03-21 10:31:24+00:00,2024-03-21 10:34:17+00:00,['BRUSHING'],2024-03-21 10:31:24+00:00,2024-03-21 10:33:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384194.5992670235 6677869.888372909 0, 384193.0484772909 6677934.687439478 0, 384175.7300693817 6678086.24510321 0, 384147.8271539527 6678223.873374713 0)",99011980.0,99011743.0,2024-03-21 10:33:40+00:00,2024-03-21 10:36:19+00:00,['BRUSHING'],2024-03-21 10:33:41+00:00,2024-03-21 10:35:48+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384147.8271539527 6678223.873374713 0, 384077.0906210943 6678559.450959318 0)",99012237.0,99011980.0,2024-03-21 10:35:47+00:00,2024-03-21 10:38:21+00:00,['BRUSHING'],2024-03-21 10:35:48+00:00,2024-03-21 10:38:16+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384077.0906210943 6678559.450959318 0, 384065.3080715896 6678628.363999579 0, 384047.9606765619 6678680.848218327 0, 383957.5804582611 6678896.356345636 0)",99012539.0,99012237.0,2024-03-21 10:38:16+00:00,2024-03-21 10:40:24+00:00,['BRUSHING'],2024-03-21 10:38:16+00:00,2024-03-21 10:40:29+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383957.5804582611 6678896.356345636 0, 383822.3554989747 6679217.606693731 0)",99012771.0,99012539.0,2024-03-21 10:40:28+00:00,2024-03-21 10:43:25+00:00,['BRUSHING'],2024-03-21 10:40:29+00:00,2024-03-21 10:42:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383822.3554989747 6679217.606693731 0, 383721.1489416189 6679469.909304839 0, 383683.2712765351 6679549.12773634 0)",99013011.0,99012771.0,2024-03-21 10:42:49+00:00,2024-03-21 10:45:27+00:00,['BRUSHING'],2024-03-21 10:42:50+00:00,2024-03-21 10:45:51+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383683.2712765351 6679549.12773634 0, 383614.0930605797 6679722.513218989 0, 383542.0333885993 6679883.510153149 0)",99013353.0,99013011.0,2024-03-21 10:45:49+00:00,2024-03-21 10:48:30+00:00,['BRUSHING'],2024-03-21 10:45:51+00:00,2024-03-21 10:48:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383542.0333885993 6679883.510153149 0, 383398.3574029655 6680230.90501001 0)",99013635.0,99013353.0,2024-03-21 10:48:21+00:00,2024-03-21 10:50:33+00:00,['BRUSHING'],2024-03-21 10:48:22+00:00,2024-03-21 10:50:56+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383398.3574029655 6680230.90501001 0, 383246.7016511553 6680580.790933883 0)",99013911.0,99013635.0,2024-03-21 10:50:55+00:00,2024-03-21 10:53:35+00:00,['BRUSHING'],2024-03-21 10:50:56+00:00,2024-03-21 10:53:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383246.7016511553 6680580.790933883 0, 383106.9587768316 6680905.561813729 0)",99014152.0,99013911.0,2024-03-21 10:53:12+00:00,2024-03-21 10:55:37+00:00,['BRUSHING'],2024-03-21 10:53:13+00:00,2024-03-21 10:55:24+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383106.9587768316 6680905.561813729 0, 382968.8688539302 6681224.045199888 0)",99014395.0,99014152.0,2024-03-21 10:55:23+00:00,2024-03-21 10:57:38+00:00,['BRUSHING'],2024-03-21 10:55:24+00:00,2024-03-21 10:58:02+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382968.8688539302 6681224.045199888 0, 382932.5596313879 6681302.665585137 0, 382827.8141930051 6681566.702951645 0)",99014702.0,99014395.0,2024-03-21 10:58:01+00:00,2024-03-21 11:00:41+00:00,['BRUSHING'],2024-03-21 10:58:02+00:00,2024-03-21 11:00:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382797.087475866 6681599.897853537 0, 382933.8341243893 6681276.768794782 0)",99092565.0,99092337.0,2024-03-22 09:05:47+00:00,2024-03-22 09:08:17+00:00,['BRUSHING'],2024-03-22 09:05:49+00:00,2024-03-22 09:08:03+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382933.8341243893 6681276.768794782 0, 383071.8137794504 6680949.817348741 0)",99092800.0,99092565.0,2024-03-22 09:08:01+00:00,2024-03-22 09:10:19+00:00,['BRUSHING'],2024-03-22 09:08:03+00:00,2024-03-22 09:10:24+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383071.8137794504 6680949.817348741 0, 383213.6378477539 6680614.056488112 0)",99093029.0,99092800.0,2024-03-22 09:10:22+00:00,2024-03-22 09:13:20+00:00,['BRUSHING'],2024-03-22 09:10:24+00:00,2024-03-22 09:12:51+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383213.6378477539 6680614.056488112 0, 383357.0296105796 6680274.463150186 0)",99093233.0,99093029.0,2024-03-22 09:12:49+00:00,2024-03-22 09:15:22+00:00,['BRUSHING'],2024-03-22 09:12:51+00:00,2024-03-22 09:15:20+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383357.0296105796 6680274.463150186 0, 383504.2865325903 6679930.072711444 0)",99093500.0,99093233.0,2024-03-22 09:15:18+00:00,2024-03-22 09:17:24+00:00,['BRUSHING'],2024-03-22 09:15:20+00:00,2024-03-22 09:17:37+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383504.2865325903 6679930.072711444 0, 383643.4853615264 6679601.437317155 0)",99093691.0,99093500.0,2024-03-22 09:17:35+00:00,2024-03-22 09:20:25+00:00,['BRUSHING'],2024-03-22 09:17:37+00:00,2024-03-22 09:19:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383643.4853615264 6679601.437317155 0, 383780.9881018102 6679277.877502101 0)",99093907.0,99093691.0,2024-03-22 09:19:48+00:00,2024-03-22 09:22:27+00:00,['BRUSHING'],2024-03-22 09:19:50+00:00,2024-03-22 09:21:53+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383780.9881018102 6679277.877502101 0, 383924.3969953214 6678959.708744207 0)",99094074.0,99093907.0,2024-03-22 09:21:51+00:00,2024-03-22 09:24:28+00:00,['BRUSHING'],2024-03-22 09:21:53+00:00,2024-03-22 09:24:01+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383924.3969953214 6678959.708744207 0, 383967.5951878077 6678859.149644149 0, 384052.4246246052 6678625.875149129 0)",99094279.0,99094074.0,2024-03-22 09:23:59+00:00,2024-03-22 09:26:29+00:00,['BRUSHING'],2024-03-22 09:24:01+00:00,2024-03-22 09:26:03+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384052.4246246052 6678625.875149129 0, 384075.3923370257 6678533.872262304 0, 384123.6704422571 6678275.012674335 0)",99094463.0,99094279.0,2024-03-22 09:26:01+00:00,2024-03-22 09:28:32+00:00,['BRUSHING'],2024-03-22 09:26:03+00:00,2024-03-22 09:28:04+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384123.6704422571 6678275.012674335 0, 384165.1767076374 6678047.12774304 0, 384176.4145118013 6677927.636162065 0)",99094633.0,99094463.0,2024-03-22 09:28:02+00:00,2024-03-22 09:30:33+00:00,['BRUSHING'],2024-03-22 09:28:04+00:00,2024-03-22 09:30:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384176.4145118013 6677927.636162065 0, 384177.6514610052 6677830.19343608 0, 384171.6316824881 6677748.694493059 0, 384160.0100221487 6677672.388121602 0, 384135.27414238 6677584.684147323 0)",99094803.0,99094633.0,2024-03-22 09:30:05+00:00,2024-03-22 09:32:34+00:00,['BRUSHING'],2024-03-22 09:30:07+00:00,2024-03-22 09:32:09+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384135.27414238 6677584.684147323 0, 384073.5435292674 6677426.716475302 0, 384023.5536251669 6677315.630232487 0, 383992.6579017221 6677262.893522952 0)",99094977.0,99094803.0,2024-03-22 09:32:07+00:00,2024-03-22 09:34:36+00:00,['BRUSHING'],2024-03-22 09:32:09+00:00,2024-03-22 09:33:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383992.6579017221 6677262.893522952 0, 383881.014908984 6677082.440289953 0, 383753.3046465351 6676906.289963852 0)",99095084.0,99094977.0,2024-03-22 09:33:41+00:00,2024-03-22 09:36:37+00:00,['BRUSHING'],2024-03-22 09:33:43+00:00,2024-03-22 09:35:31+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383753.3046465351 6676906.289963852 0, 383668.3089255401 6676791.863080028 0, 383638.39556393 6676740.658002026 0, 383605.5871362726 6676666.475919429 0, 383593.2886829403 6676616.38224413 0, 383578.5653371587 6676465.729881396 0, 383572.5255360171 6676460.684179136 0, 383577.1248977635 6676432.67621893 0, 383597.061895736 6676423.014484637 0)",99095242.0,99095084.0,2024-03-22 09:35:30+00:00,2024-03-22 09:37:38+00:00,['BRUSHING'],2024-03-22 09:35:31+00:00,2024-03-22 09:36:45+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383597.061895736 6676423.014484637 0, 383826.7487520684 6676412.813815454 0, 383844.5466619595 6676414.36599096 0, 383857.1148326738 6676425.891556463 0, 383839.1353332152 6676443.067991558 0, 383787.4501409651 6676434.568367801 0, 383662.6236296736 6676435.304967032 0)",99095334.0,99095242.0,2024-03-22 09:36:43+00:00,2024-03-22 09:39:38+00:00,['BRUSHING'],2024-03-22 09:36:45+00:00,2024-03-22 09:37:52+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383662.6236296736 6676435.304967032 0, 383606.1259618461 6676434.204964194 0, 383586.4695893531 6676443.969164643 0, 383586.8947393325 6676528.766172132 0, 383592.905547402 6676579.951535375 0, 383615.5036096963 6676669.615145591 0, 383633.1719719588 6676714.188585332 0, 383676.566223935 6676789.928716231 0, 383727.5615519817 6676858.852280774 0)",99095423.0,99095334.0,2024-03-22 09:37:50+00:00,2024-03-22 09:40:39+00:00,['BRUSHING'],2024-03-22 09:37:52+00:00,2024-03-22 09:39:26+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383727.5615519817 6676858.852280774 0, 383868.777794581 6677044.602974325 0, 383989.0318011288 6677244.731463717 0)",99095572.0,99095423.0,2024-03-22 09:39:24+00:00,2024-03-22 09:41:40+00:00,['BRUSHING'],2024-03-22 09:39:26+00:00,2024-03-22 09:41:55+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383989.0318011288 6677244.731463717 0, 384091.843586524 6677442.518772888 0, 384142.6005124372 6677574.421845716 0)",99095786.0,99095572.0,2024-03-22 09:41:54+00:00,2024-03-22 09:44:42+00:00,['BRUSHING'],2024-03-22 09:41:55+00:00,2024-03-22 09:44:08+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384142.6005124372 6677574.421845716 0, 384175.0785621895 6677717.491938597 0, 384184.5520229412 6677803.004948638 0, 384185.2049564217 6677918.107645052 0)",99095983.0,99095786.0,2024-03-22 09:44:06+00:00,2024-03-22 09:46:43+00:00,['BRUSHING'],2024-03-22 09:44:08+00:00,2024-03-22 09:46:20+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384185.2049564217 6677918.107645052 0, 384178.039760584 6677994.674978402 0, 384132.7923916856 6678260.235521295 0)",99096174.0,99095983.0,2024-03-22 09:46:18+00:00,2024-03-22 09:48:45+00:00,['BRUSHING'],2024-03-22 09:46:20+00:00,2024-03-22 09:48:32+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384132.7923916856 6678260.235521295 0, 384088.1936055329 6678498.806535565 0, 384063.9361466466 6678599.097232098 0)",99096337.0,99096174.0,2024-03-22 09:48:31+00:00,2024-03-22 09:50:46+00:00,['BRUSHING'],2024-03-22 09:48:32+00:00,2024-03-22 09:50:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (384063.9361466466 6678599.097232098 0, 384046.6779750335 6678661.385867149 0, 384011.7231698944 6678752.877909274 0, 383929.7073218689 6678936.693581515 0)",99096573.0,99096337.0,2024-03-22 09:50:57+00:00,2024-03-22 09:53:48+00:00,['BRUSHING'],2024-03-22 09:50:59+00:00,2024-03-22 09:53:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383929.7073218689 6678936.693581515 0, 383911.8482956124 6678969.468884376 0, 383815.0291817629 6679212.044449322 0, 383780.6128271835 6679285.244906384 0)",99096749.0,99096573.0,2024-03-22 09:53:35+00:00,2024-03-22 09:55:49+00:00,['BRUSHING'],2024-03-22 09:53:36+00:00,2024-03-22 09:55:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383780.6128271835 6679285.244906384 0, 383707.4997658035 6679476.361879666 0, 383647.9183071348 6679606.645566355 0)",99096934.0,99096749.0,2024-03-22 09:55:48+00:00,2024-03-22 09:57:51+00:00,['BRUSHING'],2024-03-22 09:55:50+00:00,2024-03-22 09:55:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383646.8337566576 6679609.131937029 0, 383511.0831254991 6679927.738460883 0)",99097159.0,99096934.0,2024-03-22 09:57:58+00:00,2024-03-22 10:00:53+00:00,['BRUSHING'],2024-03-22 09:58:00+00:00,2024-03-22 10:00:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383511.0831254991 6679927.738460883 0, 383370.4770959236 6680267.012523297 0)",99097386.0,99097159.0,2024-03-22 10:00:20+00:00,2024-03-22 10:02:54+00:00,['BRUSHING'],2024-03-22 10:00:22+00:00,2024-03-22 10:02:47+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383370.4770959236 6680267.012523297 0, 383226.01635061 6680604.410498779 0)",99097537.0,99097386.0,2024-03-22 10:02:45+00:00,2024-03-22 10:04:55+00:00,['BRUSHING'],2024-03-22 10:02:47+00:00,2024-03-22 10:05:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383226.01635061 6680604.410498779 0, 383078.7046084382 6680947.033390343 0)",99097776.0,99097537.0,2024-03-22 10:05:12+00:00,2024-03-22 10:07:57+00:00,['BRUSHING'],2024-03-22 10:05:13+00:00,2024-03-22 10:07:25+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (383078.7046084382 6680947.033390343 0, 382944.0532677727 6681268.974120848 0)",99097935.0,99097776.0,2024-03-22 10:07:23+00:00,2024-03-22 10:09:58+00:00,['BRUSHING'],2024-03-22 10:07:25+00:00,2024-03-22 10:09:38+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382944.0532677727 6681268.974120848 0, 382805.8149089812 6681588.807186521 0)",99098124.0,99097935.0,2024-03-22 10:09:36+00:00,2024-03-22 10:12:00+00:00,['BRUSHING'],2024-03-22 10:09:38+00:00,2024-03-22 10:11:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391987.7049343745 6679932.249644834 0, 391754.6886435362 6679739.898827051 0)",99477057.0,99476560.0,2024-03-25 09:54:44+00:00,2024-03-25 09:56:58+00:00,['BRUSHING'],2024-03-25 09:54:43+00:00,2024-03-25 09:57:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391922.8686221469 6679875.551900733 0, 391859.6936037824 6679817.023064584 0, 391689.7321034622 6679684.991509398 0)",99477183.0,99476693.0,2024-03-25 09:55:18+00:00,2024-03-25 09:57:59+00:00,['BRUSHING'],2024-03-25 09:55:19+00:00,2024-03-25 09:55:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391754.6886435362 6679739.898827051 0, 391520.6640296882 6679561.075764761 0)",99477510.0,99477057.0,2024-03-25 09:57:44+00:00,2024-03-25 10:00:02+00:00,['BRUSHING'],2024-03-25 09:57:43+00:00,2024-03-25 09:57:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391754.6886435362 6679739.898827051 0, 391517.8332281901 6679559.042524812 0)",99477510.0,99477057.0,2024-03-25 09:57:44+00:00,2024-03-25 10:00:02+00:00,['BRUSHING'],2024-03-25 09:57:43+00:00,2024-03-25 10:00:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
