geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,10k,500m,100m
"LINESTRING Z (430072.0409907578 6908137.329723787 0, 430094.8043266145 6908141.758634908 0, 429956.8190660288 6908105.076043818 0, 429907.900168407 6908067.986123166 0, 429881.9393332017 6908029.748469821 0, 429817.7071659029 6907960.10594009 0)",101450769.0,,2024-04-10 05:34:32+00:00,2024-04-10 05:36:51+00:00,['BRUSHING'],2024-04-10 05:34:32+00:00,2024-04-10 05:36:40+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429817.7071659029 6907960.10594009 0, 429764.9306163628 6907902.482860996 0, 429720.7581128305 6907869.307939606 0, 429635.3075335396 6907839.673306352 0, 429538.7244762423 6907835.905064165 0, 429487.0389461635 6907845.348447876 0, 429422.607724814 6907872.890620692 0)",101451054.0,101450769.0,2024-04-10 05:36:40+00:00,2024-04-10 05:38:54+00:00,['BRUSHING'],2024-04-10 05:36:40+00:00,2024-04-10 05:38:52+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429422.607724814 6907872.890620692 0, 429380.6590329905 6907898.735056494 0, 429326.5915669628 6907955.146187431 0, 429208.0404688472 6908188.766282974 0)",101451343.0,101451054.0,2024-04-10 05:38:52+00:00,2024-04-10 05:40:56+00:00,['BRUSHING'],2024-04-10 05:38:52+00:00,2024-04-10 05:41:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429208.0404688472 6908188.766282974 0, 429158.0417795631 6908297.470152988 0, 429141.9199998399 6908352.080663588 0, 429136.5584696875 6908397.883297269 0, 429143.0071491068 6908452.685824886 0, 429137.2218949448 6908429.294680426 0, 429147.7752669641 6908506.520915221 0)",101451800.0,101451343.0,2024-04-10 05:41:41+00:00,2024-04-10 05:43:59+00:00,['BRUSHING'],2024-04-10 05:41:41+00:00,2024-04-10 05:43:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429147.7752669641 6908506.520915221 0, 429152.6899253357 6908547.649033858 0, 429169.2183171147 6908598.33845245 0, 429179.0225129867 6908647.498319383 0, 429183.4040774127 6908687.969103997 0, 429181.7454070189 6908727.341582578 0, 429175.3660616078 6908774.057168118 0, 429163.8239092064 6908812.078215041 0, 429125.5171031756 6908881.978653703 0)",101452138.0,101451800.0,2024-04-10 05:43:50+00:00,2024-04-10 05:46:02+00:00,['BRUSHING'],2024-04-10 05:43:50+00:00,2024-04-10 05:45:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429125.5171031756 6908881.978653703 0, 429104.0290488804 6908913.189515105 0, 429068.4516461388 6908942.803977543 0, 428815.2086898108 6909102.844298253 0)",101452526.0,101452138.0,2024-04-10 05:45:59+00:00,2024-04-10 05:48:05+00:00,['BRUSHING'],2024-04-10 05:45:59+00:00,2024-04-10 05:48:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428815.2086898108 6909102.844298253 0, 428759.9650241397 6909139.120110273 0, 428658.7133823464 6909231.20266276 0, 428533.7078245498 6909301.061084208 0)",101452972.0,101452526.0,2024-04-10 05:48:59+00:00,2024-04-10 05:51:08+00:00,['BRUSHING'],2024-04-10 05:48:59+00:00,2024-04-10 05:51:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428533.7078245498 6909301.061084208 0, 428328.4842192321 6909405.177578877 0, 428197.0190239493 6909436.740658168 0)",101453350.0,101452972.0,2024-04-10 05:51:41+00:00,2024-04-10 05:54:11+00:00,['BRUSHING'],2024-04-10 05:51:41+00:00,2024-04-10 05:53:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428408.1543416165 6909362.020934971 0, 428630.0787274697 6909247.970367554 0, 428729.2554497343 6909155.931001359 0, 428723.2546897421 6909166.42225091 0, 428725.5676564664 6909155.675047501 0, 428727.4085770171 6909161.765023347 0)",101464452.0,101463895.0,2024-04-10 06:56:44+00:00,2024-04-10 06:59:39+00:00,['BRUSHING'],2024-04-10 06:56:44+00:00,2024-04-10 06:59:15+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428727.4085770171 6909161.765023347 0, 428724.8560875252 6909156.358796157 0, 428804.8803997713 6909102.506310886 0, 429064.483260625 6908939.099009596 0)",101464972.0,101464452.0,2024-04-10 06:59:15+00:00,2024-04-10 07:01:43+00:00,['BRUSHING'],2024-04-10 06:59:15+00:00,2024-04-10 07:01:35+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429064.483260625 6908939.099009596 0, 429122.5550187175 6908876.803666979 0, 429153.3152613918 6908822.886703216 0, 429171.5743126692 6908771.351281551 0, 429178.5708479414 6908729.303036983 0, 429178.8233490034 6908672.464540312 0, 429158.4325709351 6908569.035223973 0)",101465390.0,101464972.0,2024-04-10 07:01:35+00:00,2024-04-10 07:03:46+00:00,['BRUSHING'],2024-04-10 07:01:35+00:00,2024-04-10 07:03:51+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429158.4325709351 6908569.035223973 0, 429140.9782103952 6908503.989960634 0, 429129.6054490722 6908400.258907314 0, 429132.3643740305 6908427.725713858 0, 429129.7374782618 6908399.141742767 0, 429142.3711312603 6908329.226437753 0, 429193.0176328617 6908209.476321255 0)",101465785.0,101465390.0,2024-04-10 07:03:51+00:00,2024-04-10 07:06:49+00:00,['BRUSHING'],2024-04-10 07:03:51+00:00,2024-04-10 07:05:53+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429193.0176328617 6908209.476321255 0, 429321.7428508765 6907954.022495848 0, 429360.172907209 6907911.424326118 0, 429404.9293914883 6907880.951631277 0)",101466183.0,101465785.0,2024-04-10 07:05:53+00:00,2024-04-10 07:08:53+00:00,['BRUSHING'],2024-04-10 07:05:53+00:00,2024-04-10 07:07:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429404.9293914883 6907880.951631277 0, 429505.3255652797 6907839.058096861 0, 429633.2200361891 6907834.145224648 0, 429746.8935857849 6907878.567158075 0, 429832.9216128019 6907965.693933824 0)",101466488.0,101466183.0,2024-04-10 07:07:41+00:00,2024-04-10 07:09:55+00:00,['BRUSHING'],2024-04-10 07:07:41+00:00,2024-04-10 07:09:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429832.9216128019 6907965.693933824 0, 429928.3688056401 6908079.259501924 0, 430005.1770256522 6908122.788355906 0, 430085.1134364711 6908137.280197439 0, 430131.6294305412 6908133.859717985 0, 430185.9129783456 6908114.788580657 0, 430231.6096057494 6908084.418899463 0)",101466876.0,101466488.0,2024-04-10 07:09:41+00:00,2024-04-10 07:11:58+00:00,['BRUSHING'],2024-04-10 07:09:41+00:00,2024-04-10 07:11:34+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (430231.6096057494 6908084.418899463 0, 430298.8492705864 6908017.162585542 0, 430558.6415779205 6907847.965202192 0, 430582.4757867718 6907828.862254944 0, 430606.9213953435 6907789.131149986 0)",101467229.0,101466876.0,2024-04-10 07:11:34+00:00,2024-04-10 07:14:01+00:00,['BRUSHING'],2024-04-10 07:11:34+00:00,2024-04-10 07:13:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (430606.9213953435 6907789.131149986 0, 430753.1300848593 6907482.336513975 0, 430792.519240223 6907427.254775317 0, 430829.158955107 6907392.288660595 0)",101467583.0,101467229.0,2024-04-10 07:13:19+00:00,2024-04-10 07:16:04+00:00,['BRUSHING'],2024-04-10 07:13:19+00:00,2024-04-10 07:15:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
