geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (385224.8144813108 6676227.027311282 0, 385405.5049410007 6676182.244930083 0, 385427.7777629874 6676169.065484682 0, 385440.7438470848 6676150.939802238 0, 385441.847543032 6676129.508034321 0, 385423.289540614 6675993.905036768 0, 385418.7791086802 6675892.409627471 0, 385431.2255722827 6675719.504937589 0, 385449.9487795185 6675591.092751222 0)",99879034.0,99879012.0,2024-03-30 05:36:46+00:00,2024-03-30 05:38:58+00:00,['BRUSHING'],2024-03-30 05:36:44+00:00,2024-03-30 05:39:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (385449.9487795185 6675591.092751222 0, 385481.8410969282 6675431.3986439 0, 385500.7386760653 6675306.659093528 0, 385507.1996431166 6675289.740382679 0, 385505.8507462802 6675282.092990914 0, 385494.5949394953 6675276.984497836 0, 385436.0729773974 6675280.822424661 0)",99879099.0,99879034.0,2024-03-30 05:39:47+00:00,2024-03-30 05:41:58+00:00,['BRUSHING'],2024-03-30 05:39:44+00:00,2024-03-30 05:42:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (385436.0729773974 6675280.822424661 0, 385435.508264993 6675280.50577593 0)",99879157.0,99879099.0,2024-03-30 05:42:46+00:00,2024-03-30 05:44:59+00:00,['BRUSHING'],2024-03-30 05:42:44+00:00,2024-03-30 05:45:45+00:00,,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (385435.508264993 6675280.50577593 0),99879213.0,99879157.0,2024-03-30 05:45:46+00:00,2024-03-30 05:47:59+00:00,['BRUSHING'],2024-03-30 05:45:45+00:00,2024-03-30 05:48:45+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (385435.508264993 6675280.50577593 0, 385301.797830153 6675239.671641062 0, 385186.4072409477 6675215.206835415 0)",99879270.0,99879213.0,2024-03-30 05:48:46+00:00,2024-03-30 05:51:00+00:00,['BRUSHING'],2024-03-30 05:48:45+00:00,2024-03-30 05:51:45+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (385186.4072409477 6675215.206835415 0, 385160.6903347763 6675219.580102455 0, 385139.0044219437 6675318.777268861 0)",99879334.0,99879270.0,2024-03-30 05:51:46+00:00,2024-03-30 05:54:00+00:00,['BRUSHING'],2024-03-30 05:51:45+00:00,2024-03-30 05:53:05+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (385063.2836849864 6675596.310643612 0, 385094.876535904 6675429.378009459 0, 385146.6069415053 6675239.301955276 0, 385149.417397481 6675205.1118888 0, 385163.7874760958 6675194.51945787 0, 385192.6527194665 6675200.300270819 0)",99895858.0,99895754.0,2024-03-30 12:43:57+00:00,2024-03-30 12:46:07+00:00,['BRUSHING'],2024-03-30 12:43:55+00:00,2024-03-30 12:46:55+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (385192.6527194665 6675200.300270819 0, 385395.3306332498 6675242.981638624 0, 385397.6561445714 6675248.146650021 0, 385388.3432241106 6675274.961946669 0)",99896080.0,99895858.0,2024-03-30 12:46:58+00:00,2024-03-30 12:49:08+00:00,['BRUSHING'],2024-03-30 12:46:55+00:00,2024-03-30 12:49:55+00:00,,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (385388.3432241106 6675274.961946669 0),99896319.0,99896080.0,2024-03-30 12:49:57+00:00,2024-03-30 12:52:09+00:00,['BRUSHING'],2024-03-30 12:49:55+00:00,2024-03-30 12:52:56+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (385388.3432241106 6675274.961946669 0, 385385.1432466502 6675279.074157425 0, 385471.2980092932 6675291.309774071 0, 385460.2501938421 6675305.251724826 0, 385442.300150238 6675309.602780669 0, 385433.5544736365 6675297.84071068 0, 385411.1329948747 6675288.735810747 0, 385397.8641036005 6675265.413900158 0, 385390.0553142799 6675262.315184334 0, 385195.7642978908 6675216.362002787 0)",99896439.0,99896319.0,2024-03-30 12:52:57+00:00,2024-03-30 12:55:10+00:00,['BRUSHING'],2024-03-30 12:52:56+00:00,2024-03-30 12:54:24+00:00,,state-roads,Harja/Väylävirasto,True,False,False
