geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (433947.9038639356 6900304.972921751 0, 434067.3389746122 6900509.225981272 0, 434187.3453688283 6900663.661706966 0, 434295.4528144207 6900765.737935379 0, 434439.2128186691 6900870.242721502 0)",103812761.0,103812742.0,2024-05-01 23:39:19+00:00,2024-05-01 23:41:26+00:00,['BRUSHING'],2024-05-01 23:39:20+00:00,2024-05-01 23:39:20+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (436127.4843376157 6902451.28601498 0, 436103.466036711 6902297.522222413 0, 436079.8628528483 6902242.255418954 0, 436046.9103421867 6902192.738077232 0, 436003.6392230602 6902152.666123242 0, 435952.8875596703 6902120.983028144 0, 435762.9713049069 6902059.752283148 0, 435698.4341952246 6902027.556246158 0, 435637.7646780701 6901985.704337629 0, 435572.5464052566 6901918.0886147 0, 435469.0602329765 6901763.066056127 0, 435375.636376182 6901653.428500156 0)",104149714.0,104149686.0,2024-05-05 04:45:35+00:00,2024-05-05 04:48:14+00:00,['BRUSHING'],2024-05-05 04:45:33+00:00,2024-05-05 04:46:34+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435375.636376182 6901653.428500156 0, 434989.4832000171 6901275.427989055 0, 434690.5633358072 6901038.407996207 0, 434496.5677842289 6900921.610043961 0)",104149741.0,104149714.0,2024-05-05 04:46:38+00:00,2024-05-05 04:49:14+00:00,['BRUSHING'],2024-05-05 04:46:34+00:00,2024-05-05 04:47:35+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (434496.5677842289 6900921.610043961 0, 434380.5197736659 6900848.989029327 0, 434289.5707550263 6900781.341831262 0, 434177.2754033979 6900677.78766581 0, 434098.2849644468 6900584.059309386 0, 434008.9952291494 6900453.204904856 0, 433935.0078189326 6900320.826544668 0, 433864.9049580024 6900169.429888357 0, 433808.8484164418 6900008.063711691 0)",104149759.0,104149741.0,2024-05-05 04:47:36+00:00,2024-05-05 04:50:14+00:00,['BRUSHING'],2024-05-05 04:47:35+00:00,2024-05-05 04:48:37+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435543.1396123257 6901869.733796724 0, 435547.0609569862 6901873.670170228 0, 435540.9618918562 6901861.863924619 0)",104314629.0,,2024-05-06 20:35:30+00:00,2024-05-06 20:38:23+00:00,['BRUSHING'],2024-05-06 20:35:34+00:00,2024-05-06 20:38:34+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435540.9618918562 6901861.863924619 0, 435514.3205713578 6901822.259398799 0)",104314730.0,104314629.0,2024-05-06 20:38:30+00:00,2024-05-06 20:41:24+00:00,['BRUSHING'],2024-05-06 20:38:34+00:00,2024-05-06 20:41:34+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435514.3205713578 6901822.259398799 0, 435435.9639978854 6901714.894329328 0)",104314827.0,104314730.0,2024-05-06 20:41:30+00:00,2024-05-06 20:44:25+00:00,['BRUSHING'],2024-05-06 20:41:34+00:00,2024-05-06 20:43:51+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435435.9639978854 6901714.894329328 0, 435158.5860861918 6901437.639998204 0)",104314912.0,104314827.0,2024-05-06 20:43:46+00:00,2024-05-06 20:46:25+00:00,['BRUSHING'],2024-05-06 20:43:51+00:00,2024-05-06 20:46:03+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (435158.5860861918 6901437.639998204 0, 435136.9647806127 6901408.081787121 0, 435020.1159792223 6901300.465407201 0, 434800.4938234319 6901120.629617406 0)",104314998.0,104314912.0,2024-05-06 20:45:58+00:00,2024-05-06 20:48:26+00:00,['BRUSHING'],2024-05-06 20:46:03+00:00,2024-05-06 20:48:23+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (434800.4938234319 6901120.629617406 0, 434651.1218827853 6901009.755865623 0, 434435.3006235324 6900882.910744832 0)",104315068.0,104314998.0,2024-05-06 20:48:23+00:00,2024-05-06 20:50:26+00:00,['BRUSHING'],2024-05-06 20:48:23+00:00,2024-05-06 20:51:23+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (434435.3006235324 6900882.910744832 0, 434260.1792025079 6900753.835076001 0, 434169.2916555817 6900663.011956532 0)",104315171.0,104315068.0,2024-05-06 20:51:23+00:00,2024-05-06 20:53:27+00:00,['BRUSHING'],2024-05-06 20:51:23+00:00,2024-05-06 20:53:53+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (434431.0019600425 6900873.077078499 0, 434741.0929392717 6901049.127865779 0, 434890.696007903 6901161.449636173 0)",104318026.0,,2024-05-06 22:34:05+00:00,2024-05-06 22:36:50+00:00,['BRUSHING'],2024-05-06 22:34:05+00:00,2024-05-06 22:37:05+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (434890.696007903 6901161.449636173 0, 435044.2799161115 6901302.784554298 0, 435210.567758466 6901470.179277781 0)",104318102.0,104318026.0,2024-05-06 22:37:06+00:00,2024-05-06 22:39:51+00:00,['BRUSHING'],2024-05-06 22:37:05+00:00,2024-05-06 22:40:05+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (435210.567758466 6901470.179277781 0, 435432.8578002708 6901704.70228823 0)",104318177.0,104318102.0,2024-05-06 22:40:05+00:00,2024-05-06 22:42:51+00:00,['BRUSHING'],2024-05-06 22:40:05+00:00,2024-05-06 22:43:05+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (435432.8578002708 6901704.70228823 0, 435514.6464734429 6901809.438576444 0, 435547.1520948711 6901864.865369854 0)",104318245.0,104318177.0,2024-05-06 22:43:05+00:00,2024-05-06 22:45:52+00:00,['BRUSHING'],2024-05-06 22:43:05+00:00,2024-05-06 22:46:05+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435547.1520948711 6901864.865369854 0, 435549.495647906 6901867.829101279 0)",104318321.0,104318245.0,2024-05-06 22:46:05+00:00,2024-05-06 22:48:52+00:00,['BRUSHING'],2024-05-06 22:46:05+00:00,2024-05-06 22:49:05+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435549.495647906 6901867.829101279 0, 435581.4751138716 6901912.123181131 0)",104318398.0,104318321.0,2024-05-06 22:49:05+00:00,2024-05-06 22:51:53+00:00,['BRUSHING'],2024-05-06 22:49:05+00:00,2024-05-06 22:50:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435581.4751138716 6901912.123181131 0, 435629.8637704801 6901963.903631569 0, 435715.4781468997 6902027.453295245 0, 435696.5567581605 6902029.932190923 0, 435632.8223898247 6901980.00450579 0, 435572.5336992616 6901909.285805195 0, 435511.1784331815 6901818.308121744 0)",104318422.0,104318398.0,2024-05-06 22:50:17+00:00,2024-05-06 22:52:53+00:00,['BRUSHING'],2024-05-06 22:50:17+00:00,2024-05-06 22:51:23+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435511.1784331815 6901818.308121744 0, 435458.2048936205 6901741.768126253 0, 435405.0373354353 6901679.607257758 0, 435168.9698271469 6901434.319793801 0)",104318447.0,104318422.0,2024-05-06 22:51:23+00:00,2024-05-06 22:53:53+00:00,['BRUSHING'],2024-05-06 22:51:23+00:00,2024-05-06 22:53:12+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (435168.9698271469 6901434.319793801 0, 435157.0779800884 6901418.725744607 0, 435169.5763385433 6901392.967094867 0, 435252.2240478602 6901341.677068865 0, 435398.7269973438 6901231.886786886 0)",104318491.0,104318447.0,2024-05-06 22:53:14+00:00,2024-05-06 22:55:54+00:00,['BRUSHING'],2024-05-06 22:53:12+00:00,2024-05-06 22:53:12+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (434067.1140231962 6900511.013301412 0, 434177.8986723828 6900656.491964829 0, 434281.978595579 6900754.635008998 0, 434402.7880957883 6900844.543287757 0, 434594.130219837 6900960.830434089 0)",104461088.0,104461046.0,2024-05-07 20:34:54+00:00,2024-05-07 20:37:28+00:00,['BRUSHING'],2024-05-07 20:34:54+00:00,2024-05-07 20:35:55+00:00,,state-roads,Harja/Väylävirasto,True,False,False
