geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (532386.5299031417 6973185.605509128 0, 532409.787719168 6973317.202497082 0, 532439.5289402199 6973415.214445733 0)",101890734.0,101890581.0,2024-04-15 16:42:16+00:00,2024-04-15 16:44:23+00:00,['BRUSHING'],2024-04-15 16:42:17+00:00,2024-04-15 16:45:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (532399.9704491491 6973266.18535042 0, 532406.5435380494 6973311.042150586 0, 532423.6434198604 6973371.156666218 0, 532467.4833904573 6973483.0135426 0)",101890846.0,101890686.0,2024-04-15 16:44:22+00:00,2024-04-15 16:46:24+00:00,['BRUSHING'],2024-04-15 16:44:22+00:00,2024-04-15 16:47:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (532439.5289402199 6973415.214445733 0, 532477.0216083532 6973500.490059593 0, 532551.9882539569 6973610.985869795 0)",101890894.0,101890734.0,2024-04-15 16:45:16+00:00,2024-04-15 16:47:24+00:00,['BRUSHING'],2024-04-15 16:45:17+00:00,2024-04-15 16:48:18+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (532467.4833904573 6973483.0135426 0, 532534.4467870016 6973595.657988573 0, 532597.0029789901 6973670.487802316 0)",101890998.0,101890846.0,2024-04-15 16:47:22+00:00,2024-04-15 16:49:25+00:00,['BRUSHING'],2024-04-15 16:47:22+00:00,2024-04-15 16:50:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (532551.9882539569 6973610.985869795 0, 532578.1908864853 6973629.631311259 0, 532582.7713810543 6973644.496084854 0, 532605.7265596892 6973662.440885008 0, 532623.4654747146 6973693.593099303 0, 532699.4813732624 6973759.199672663 0)",101891046.0,101890894.0,2024-04-15 16:48:16+00:00,2024-04-15 16:50:26+00:00,['BRUSHING'],2024-04-15 16:48:18+00:00,2024-04-15 16:51:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (532597.0029789901 6973670.487802316 0, 532633.1658508932 6973709.957487539 0, 532765.9459576703 6973823.821016764 0)",101891152.0,101890998.0,2024-04-15 16:50:22+00:00,2024-04-15 16:52:26+00:00,['BRUSHING'],2024-04-15 16:50:22+00:00,2024-04-15 16:53:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (532699.4813732624 6973759.199672663 0, 532852.1373923604 6973898.224088969 0)",101891197.0,101891046.0,2024-04-15 16:51:16+00:00,2024-04-15 16:53:27+00:00,['BRUSHING'],2024-04-15 16:51:18+00:00,2024-04-15 16:54:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (532765.9459576703 6973823.821016764 0, 532933.5805337685 6973974.253027688 0)",101891296.0,101891152.0,2024-04-15 16:53:22+00:00,2024-04-15 16:55:28+00:00,['BRUSHING'],2024-04-15 16:53:22+00:00,2024-04-15 16:56:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (532852.1373923604 6973898.224088969 0, 532942.6068655314 6973981.586360243 0, 532973.290091011 6974019.221987572 0)",101891350.0,101891197.0,2024-04-15 16:54:16+00:00,2024-04-15 16:56:28+00:00,['BRUSHING'],2024-04-15 16:54:18+00:00,2024-04-15 16:57:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (532933.5805337685 6973974.253027688 0, 533036.621602961 6974080.920425169 0)",101891451.0,101891296.0,2024-04-15 16:56:23+00:00,2024-04-15 16:58:29+00:00,['BRUSHING'],2024-04-15 16:56:22+00:00,2024-04-15 16:59:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (532973.290091011 6974019.221987572 0, 533130.0782922873 6974184.597108351 0)",101891498.0,101891350.0,2024-04-15 16:57:16+00:00,2024-04-15 16:59:29+00:00,['BRUSHING'],2024-04-15 16:57:18+00:00,2024-04-15 17:00:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (533036.621602961 6974080.920425169 0, 533209.0259435662 6974279.772534509 0)",101891600.0,101891451.0,2024-04-15 16:59:23+00:00,2024-04-15 17:01:30+00:00,['BRUSHING'],2024-04-15 16:59:22+00:00,2024-04-15 17:02:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (533130.0782922873 6974184.597108351 0, 533274.9781751471 6974352.756027144 0)",101891645.0,101891498.0,2024-04-15 17:00:16+00:00,2024-04-15 17:02:30+00:00,['BRUSHING'],2024-04-15 17:00:18+00:00,2024-04-15 17:03:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (533209.0259435662 6974279.772534509 0, 533338.9829367182 6974417.030070751 0)",101891745.0,101891600.0,2024-04-15 17:02:23+00:00,2024-04-15 17:04:31+00:00,['BRUSHING'],2024-04-15 17:02:22+00:00,2024-04-15 17:05:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (533274.9781751471 6974352.756027144 0, 533369.9343147899 6974452.443826783 0, 533450.7310919762 6974519.565603197 0)",101891789.0,101891645.0,2024-04-15 17:03:16+00:00,2024-04-15 17:05:32+00:00,['BRUSHING'],2024-04-15 17:03:18+00:00,2024-04-15 17:06:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (533338.9829367182 6974417.030070751 0, 533510.2033176603 6974564.186326851 0)",101891885.0,101891745.0,2024-04-15 17:05:23+00:00,2024-04-15 17:07:32+00:00,['BRUSHING'],2024-04-15 17:05:22+00:00,2024-04-15 17:08:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (533450.7310919762 6974519.565603197 0, 533672.0418824395 6974663.343312166 0)",101891929.0,101891789.0,2024-04-15 17:06:16+00:00,2024-04-15 17:08:33+00:00,['BRUSHING'],2024-04-15 17:06:18+00:00,2024-04-15 17:09:18+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (533510.2033176603 6974564.186326851 0, 533608.4647153034 6974627.814088476 0, 533739.6843707325 6974693.901688056 0)",101892025.0,101891885.0,2024-04-15 17:08:23+00:00,2024-04-15 17:10:33+00:00,['BRUSHING'],2024-04-15 17:08:22+00:00,2024-04-15 17:11:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (533672.0418824395 6974663.343312166 0, 533783.3072496717 6974717.305082577 0, 533942.7281287696 6974763.859020203 0)",101892071.0,101891929.0,2024-04-15 17:09:16+00:00,2024-04-15 17:11:34+00:00,['BRUSHING'],2024-04-15 17:09:18+00:00,2024-04-15 17:12:18+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (533950.6200735555 6974796.810735589 0, 533806.448594483 6974750.302541388 0, 533677.6540323314 6974690.922556587 0)",101900534.0,101900475.0,2024-04-15 20:43:01+00:00,2024-04-15 20:44:43+00:00,['BRUSHING'],2024-04-15 20:42:41+00:00,2024-04-15 20:45:42+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (533677.6540323314 6974690.922556587 0, 533574.8541459261 6974638.945486084 0, 533423.7936065135 6974534.220911047 0)",101900623.0,101900534.0,2024-04-15 20:45:40+00:00,2024-04-15 20:47:44+00:00,['BRUSHING'],2024-04-15 20:45:42+00:00,2024-04-15 20:48:42+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (533982.4130942365 6974804.04912793 0, 533817.8651964848 6974757.105939324 0, 533676.9669552796 6974693.47821034 0)",101900677.0,101900589.0,2024-04-15 20:47:03+00:00,2024-04-15 20:49:44+00:00,['BRUSHING'],2024-04-15 20:47:02+00:00,2024-04-15 20:50:02+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (533423.7936065135 6974534.220911047 0, 533265.8881220777 6974381.8563326 0, 533199.1377813922 6974302.40240055 0)",101900720.0,101900623.0,2024-04-15 20:48:40+00:00,2024-04-15 20:50:45+00:00,['BRUSHING'],2024-04-15 20:48:42+00:00,2024-04-15 20:51:42+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (533676.9669552796 6974693.47821034 0, 533579.1175988622 6974639.54636474 0, 533422.0397710853 6974531.751689469 0, 533434.9079401675 6974540.908439291 0)",101900781.0,101900677.0,2024-04-15 20:50:03+00:00,2024-04-15 20:52:45+00:00,['BRUSHING'],2024-04-15 20:50:02+00:00,2024-04-15 20:53:02+00:00,,state-roads,Harja/Väylävirasto,True,False,False
