geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (326033.2042239604 6823038.572144632 0, 325855.4301863948 6823134.863765623 0, 325268.9985987179 6823531.356395621 0, 325099.9070053282 6823629.818169426 0)",101643491.0,,2024-04-11 10:20:00+00:00,2024-04-11 10:20:44+00:00,['BRUSHING'],2024-04-11 10:17:56+00:00,2024-04-11 10:18:51+00:00,287.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (326031.7193724594 6823051.477746706 0, 326011.1126269463 6823048.830284279 0, 325950.0899556167 6823075.883001969 0, 325829.4486283945 6823154.69090711 0)",101814563.0,,2024-04-13 12:30:18+00:00,2024-04-13 12:32:51+00:00,['BRUSHING'],2024-04-13 12:30:17+00:00,2024-04-13 12:31:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (325829.4486283945 6823154.69090711 0, 325365.2417624429 6823473.505805779 0, 325173.4389584891 6823591.072175338 0, 325048.2873925418 6823654.85114923 0, 324784.482010055 6823728.098758942 0)",101814581.0,101814563.0,2024-04-13 12:31:19+00:00,2024-04-13 12:33:51+00:00,['BRUSHING'],2024-04-13 12:31:18+00:00,2024-04-13 12:32:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (324798.0766877515 6823703.868490437 0, 325086.2780775601 6823618.567468653 0, 325556.7279126181 6823312.340793443 0)",101932321.0,101932077.0,2024-04-16 06:36:00+00:00,2024-04-16 06:36:55+00:00,['BRUSHING'],2024-04-16 06:33:58+00:00,2024-04-16 06:35:00+00:00,101.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325556.7279126181 6823312.340793443 0, 325662.9375721234 6823241.501047034 0, 325721.1816739873 6823192.15607758 0, 325737.5030333645 6823165.784594166 0, 325749.416872764 6823101.58771725 0, 325785.3773568853 6822989.655252033 0, 325807.4923614367 6822950.161854909 0, 325832.0174059565 6822923.60177861 0, 325896.7963529169 6822889.5523568 0, 325931.8740496391 6822884.108452378 0)",101932514.0,101932321.0,2024-04-16 06:37:00+00:00,2024-04-16 06:37:56+00:00,['BRUSHING'],2024-04-16 06:35:00+00:00,2024-04-16 06:35:44+00:00,59.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (325931.8740496391 6822884.108452378 0, 326182.6217497212 6822917.827125751 0, 326295.1015139984 6822982.256188381 0)",101932565.0,101932514.0,2024-04-16 06:38:00+00:00,2024-04-16 06:38:57+00:00,['BRUSHING'],2024-04-16 06:35:44+00:00,2024-04-16 06:36:53+00:00,229.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (326295.1015139984 6822982.256188381 0, 326387.0324147458 6823056.978609583 0, 326382.3059832369 6823064.80240568 0, 326338.7432482369 6823039.203199942 0)",101932777.0,101932565.0,2024-04-16 06:39:00+00:00,2024-04-16 06:39:58+00:00,['BRUSHING'],2024-04-16 06:36:53+00:00,2024-04-16 06:38:00+00:00,275.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (326338.7432482369 6823039.203199942 0, 326311.303488706 6823009.783923753 0, 326208.4982817168 6822948.997498637 0, 326098.4409740054 6822920.153293089 0, 325908.2634617253 6822908.725049929 0, 325868.4240749048 6822922.33026115 0)",101933008.0,101932777.0,2024-04-16 06:40:00+00:00,2024-04-16 06:41:00+00:00,['BRUSHING'],2024-04-16 06:38:00+00:00,2024-04-16 06:38:57+00:00,341.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (325868.4240749048 6822922.33026115 0, 325818.8873843472 6822961.527655213 0, 325804.851138405 6822989.903708398 0, 325730.2718310035 6823302.939366079 0)",101933167.0,101933008.0,2024-04-16 06:41:00+00:00,2024-04-16 06:42:01+00:00,['BRUSHING'],2024-04-16 06:38:57+00:00,2024-04-16 06:39:55+00:00,296.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (325730.2718310035 6823302.939366079 0, 325716.7977744777 6823325.48574922 0, 325695.3022813107 6823341.183286383 0, 325667.8312620199 6823347.251387696 0, 325571.8544088372 6823341.704733747 0, 325537.5239022018 6823356.598916371 0, 325162.9866195287 6823596.285790331 0, 325011.6842021323 6823671.092982497 0)",101933306.0,101933167.0,2024-04-16 06:42:00+00:00,2024-04-16 06:42:02+00:00,['BRUSHING'],2024-04-16 06:39:55+00:00,2024-04-16 06:40:50+00:00,287.0,state-roads,Harja/Väylävirasto,True,False,False
