geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (381960.8666369236 6684867.126944152 0, 382039.7162068614 6684608.575016754 0, 382056.5786329106 6684534.472757995 0, 382078.0335022439 6684475.713612446 0)",99002701.0,99002371.0,2024-03-21 09:13:43+00:00,2024-03-21 09:16:05+00:00,['BRUSHING'],2024-03-21 09:13:44+00:00,2024-03-21 09:16:38+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382078.0335022439 6684475.713612446 0, 382105.7011098236 6684386.550925873 0, 382119.1281630153 6684320.807413555 0, 382157.8856761988 6684208.216748771 0, 382188.61179881 6684093.657052852 0)",99003053.0,99002701.0,2024-03-21 09:16:37+00:00,2024-03-21 09:19:07+00:00,['BRUSHING'],2024-03-21 09:16:38+00:00,2024-03-21 09:19:39+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382188.61179881 6684093.657052852 0, 382214.0052238389 6683993.869801432 0, 382233.2540960762 6683940.309777159 0, 382313.997352828 6683787.135692048 0, 382296.2805803425 6683817.910101349 0)",99003438.0,99003053.0,2024-03-21 09:19:37+00:00,2024-03-21 09:22:10+00:00,['BRUSHING'],2024-03-21 09:19:39+00:00,2024-03-21 09:22:31+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382296.2805803425 6683817.910101349 0, 382292.7819059899 6683822.703872345 0, 382390.8371445582 6683650.026793677 0, 382414.8217581738 6683578.371965527 0, 382429.8610730566 6683497.086668963 0)",99003791.0,99003438.0,2024-03-21 09:22:30+00:00,2024-03-21 09:25:14+00:00,['BRUSHING'],2024-03-21 09:22:31+00:00,2024-03-21 09:25:32+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (382429.8610730566 6683497.086668963 0, 382436.5758042397 6683337.832541922 0, 382430.5118788797 6683104.988161478 0)",99004149.0,99003791.0,2024-03-21 09:25:30+00:00,2024-03-21 09:28:17+00:00,['BRUSHING'],2024-03-21 09:25:32+00:00,2024-03-21 09:28:32+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (382430.5118788797 6683104.988161478 0, 382423.735780873 6682910.170881107 0, 382433.3233457681 6682778.129353106 0, 382444.9950325254 6682727.935673107 0)",99004474.0,99004149.0,2024-03-21 09:28:30+00:00,2024-03-21 09:31:19+00:00,['BRUSHING'],2024-03-21 09:28:32+00:00,2024-03-21 09:31:32+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382444.9950325254 6682727.935673107 0, 382473.9372128044 6682522.829191193 0, 382510.6718587099 6682349.792399502 0)",99004831.0,99004474.0,2024-03-21 09:31:30+00:00,2024-03-21 09:34:22+00:00,['BRUSHING'],2024-03-21 09:31:32+00:00,2024-03-21 09:34:30+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382483.7835024629 6682594.730904236 0, 382446.4138767399 6682871.659004082 0, 382446.3591347973 6682961.042778199 0)",99015750.0,99015521.0,2024-03-21 11:07:36+00:00,2024-03-21 11:09:49+00:00,['BRUSHING'],2024-03-21 11:07:37+00:00,2024-03-21 11:09:46+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382446.3591347973 6682961.042778199 0, 382450.9852786182 6683307.388449159 0)",99015986.0,99015750.0,2024-03-21 11:09:45+00:00,2024-03-21 11:11:50+00:00,['BRUSHING'],2024-03-21 11:09:46+00:00,2024-03-21 11:12:11+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382450.9852786182 6683307.388449159 0, 382454.6479326089 6683441.677892968 0, 382447.1397012852 6683514.473126035 0, 382432.0279135918 6683581.49519929 0, 382397.7370724492 6683668.30488628 0)",99016311.0,99015986.0,2024-03-21 11:12:10+00:00,2024-03-21 11:14:54+00:00,['BRUSHING'],2024-03-21 11:12:11+00:00,2024-03-21 11:14:21+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (382397.7370724492 6683668.30488628 0, 382335.5193985959 6683790.230637116 0, 382272.8317954664 6683897.461509659 0, 382236.5918657435 6683978.540590221 0)",99016562.0,99016311.0,2024-03-21 11:14:20+00:00,2024-03-21 11:16:55+00:00,['BRUSHING'],2024-03-21 11:14:21+00:00,2024-03-21 11:16:46+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (382236.5918657435 6683978.540590221 0, 382142.8565913684 6684322.046588086 0)",99016798.0,99016562.0,2024-03-21 11:16:45+00:00,2024-03-21 11:18:57+00:00,['BRUSHING'],2024-03-21 11:16:46+00:00,2024-03-21 11:19:10+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382142.8565913684 6684322.046588086 0, 382039.0614426808 6684670.45081195 0)",99017131.0,99016798.0,2024-03-21 11:19:09+00:00,2024-03-21 11:22:00+00:00,['BRUSHING'],2024-03-21 11:19:10+00:00,2024-03-21 11:21:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (381984.5781168977 6684811.526059526 0, 382076.9997747342 6684477.976033688 0)",99090229.0,99090028.0,2024-03-22 08:43:08+00:00,2024-03-22 08:45:59+00:00,['BRUSHING'],2024-03-22 08:43:10+00:00,2024-03-22 08:45:30+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382076.9997747342 6684477.976033688 0, 382176.589692726 6684132.718380109 0)",99090494.0,99090229.0,2024-03-22 08:45:33+00:00,2024-03-22 08:48:00+00:00,['BRUSHING'],2024-03-22 08:45:30+00:00,2024-03-22 08:48:09+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382176.589692726 6684132.718380109 0, 382229.9855153788 6683965.937221429 0, 382316.5238126565 6683789.951858683 0)",99090794.0,99090494.0,2024-03-22 08:48:07+00:00,2024-03-22 08:51:03+00:00,['BRUSHING'],2024-03-22 08:48:09+00:00,2024-03-22 08:50:42+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382316.5238126565 6683789.951858683 0, 382378.8535432882 6683678.386912963 0, 382398.6834618065 6683627.261108166 0, 382436.1844612397 6683483.731893939 0, 382439.2739197309 6683442.173300602 0)",99091072.0,99090794.0,2024-03-22 08:50:41+00:00,2024-03-22 08:53:04+00:00,['BRUSHING'],2024-03-22 08:50:42+00:00,2024-03-22 08:53:02+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (382439.2739197309 6683442.173300602 0, 382441.1721993755 6683301.797854278 0, 382435.1098705761 6683075.86327329 0)",99091330.0,99091072.0,2024-03-22 08:53:01+00:00,2024-03-22 08:55:06+00:00,['BRUSHING'],2024-03-22 08:53:02+00:00,2024-03-22 08:55:39+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382435.1098705761 6683075.86327329 0, 382436.1222359808 6682859.842656696 0, 382454.0767146223 6682691.868032145 0)",99091568.0,99091330.0,2024-03-22 08:55:37+00:00,2024-03-22 08:58:08+00:00,['BRUSHING'],2024-03-22 08:55:39+00:00,2024-03-22 08:58:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382454.0767146223 6682691.868032145 0, 382496.4983168996 6682454.787627602 0, 382532.8073923293 6682301.156921756 0)",99091837.0,99091568.0,2024-03-22 08:58:34+00:00,2024-03-22 09:01:10+00:00,['BRUSHING'],2024-03-22 08:58:36+00:00,2024-03-22 09:01:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382478.5300787255 6682581.191887043 0, 382447.2756168708 6682795.288762916 0, 382440.2337491191 6682916.994917872 0)",99098904.0,99098735.0,2024-03-22 10:18:14+00:00,2024-03-22 10:21:06+00:00,['BRUSHING'],2024-03-22 10:18:16+00:00,2024-03-22 10:20:30+00:00,,state-roads,Harja/Väylävirasto,True,False,False
