geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (378925.5478413394 6676191.39851641 0, 378952.2799256192 6676394.025456829 0, 378999.6581071347 6677197.142832985 0)",99861847.0,99861821.0,2024-03-29 13:06:00+00:00,2024-03-29 13:06:26+00:00,['BRUSHING'],2024-03-29 13:03:50+00:00,2024-03-29 13:04:45+00:00,3.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (378999.6581071347 6677197.142832985 0, 379042.5344469752 6677916.374902595 0)",99861886.0,99861847.0,2024-03-29 13:07:00+00:00,2024-03-29 13:07:26+00:00,['BRUSHING'],2024-03-29 13:04:45+00:00,2024-03-29 13:04:45+00:00,3.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (379407.8363590993 6678436.15401725 0, 379484.638949598 6678514.088891544 0, 379553.5728299347 6678676.319277743 0, 379599.1091864381 6678746.036412659 0, 379651.5901759547 6678787.66238336 0, 379696.8139625649 6678807.571987716 0, 379884.282943955 6678832.722825043 0)",99861924.0,,2024-03-29 13:08:00+00:00,2024-03-29 13:08:26+00:00,['BRUSHING'],2024-03-29 13:05:53+00:00,2024-03-29 13:06:59+00:00,61.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (380516.6081910242 6679006.028049423 0, 380326.917325108 6678988.719723995 0, 380245.7836284961 6678967.193020983 0, 379973.9013075113 6678865.999773727 0, 379859.8791749637 6678844.112972432 0, 379723.0436338539 6678831.450821567 0, 379667.5388907619 6678814.108483241 0, 379617.7061634315 6678785.546375782 0, 379563.8574222755 6678732.709312156 0, 379535.8182031418 6678684.260329652 0, 379479.5797348094 6678542.230165465 0)",99953650.0,99953574.0,2024-03-31 02:25:20+00:00,2024-03-31 02:27:52+00:00,['BRUSHING'],2024-03-31 02:25:19+00:00,2024-03-31 02:26:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (380485.2332448871 6679004.267876687 0, 380289.8677780546 6678979.56840808 0, 379981.7124114913 6678865.854663712 0, 379870.1674460495 6678843.440377531 0, 379727.0601782277 6678830.538457509 0, 379660.4262632172 6678810.218994192 0, 379603.3423464989 6678768.521659797 0, 379559.1646464379 6678718.152330304 0, 379536.5216807184 6678673.649210568 0, 379484.4281283419 6678536.274777227 0)",99953655.0,99953579.0,2024-03-31 02:25:30+00:00,2024-03-31 02:27:52+00:00,['BRUSHING'],2024-03-31 02:25:30+00:00,2024-03-31 02:26:52+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (379479.5797348094 6678542.230165465 0, 379431.397028671 6678484.861354697 0, 379337.1139980039 6678414.860447722 0)",99953728.0,99953650.0,2024-03-31 02:26:42+00:00,2024-03-31 02:28:53+00:00,['BRUSHING'],2024-03-31 02:26:41+00:00,2024-03-31 02:26:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (379038.1963216728 6678009.804122679 0, 379027.5790039162 6677983.852717845 0, 379024.0367914434 6677948.86243379 0, 378968.4272238576 6677066.216926921 0)",99953729.0,,2024-03-31 02:26:42+00:00,2024-03-31 02:28:53+00:00,['BRUSHING'],2024-03-31 02:26:41+00:00,2024-03-31 02:27:42+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (379484.4281283419 6678536.274777227 0, 379431.3249955351 6678474.275792163 0, 379310.6091396641 6678392.887930259 0, 379034.4711443902 6678004.46623122 0, 379025.608643833 6677964.525204808 0, 378996.3268898139 6677389.731258946 0, 378973.891082085 6677095.570941769 0)",99953735.0,99953655.0,2024-03-31 02:26:52+00:00,2024-03-31 02:28:53+00:00,['BRUSHING'],2024-03-31 02:26:52+00:00,2024-03-31 02:27:57+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (378968.4272238576 6677066.216926921 0, 378965.0446699078 6677009.265300357 0, 378955.8928692375 6676953.953529011 0, 378940.0297326448 6676900.31283343 0, 378923.6441224004 6676866.082198573 0, 378889.0387933734 6676819.303619938 0, 378810.351017638 6676736.092114743 0, 378766.1725037195 6676700.108385361 0, 378731.8660343034 6676684.193601605 0, 378676.0582365214 6676670.552715277 0, 378533.3701142466 6676656.342258877 0, 378222.5385780777 6676648.178282912 0, 377945.0640680442 6676627.44745909 0)",99953796.0,99953729.0,2024-03-31 02:27:43+00:00,2024-03-31 02:29:53+00:00,['BRUSHING'],2024-03-31 02:27:42+00:00,2024-03-31 02:28:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (378973.891082085 6677095.570941769 0, 378968.7303163388 6677013.378493584 0, 378957.9661742661 6676936.163979769 0, 378940.3856608054 6676880.908344468 0, 378921.8541291928 6676845.522781264 0, 378897.4677471898 6676814.232019234 0, 378796.7923777705 6676716.925828 0, 378734.7435367611 6676677.299577402 0, 378679.2200572898 6676665.543905942 0, 378299.3205059216 6676650.30335062 0, 377835.0797337993 6676617.74536148 0)",99953829.0,99953735.0,2024-03-31 02:27:57+00:00,2024-03-31 02:30:53+00:00,['BRUSHING'],2024-03-31 02:27:57+00:00,2024-03-31 02:29:01+00:00,,state-roads,Harja/Väylävirasto,True,False,False
