geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (240697.2064434938 6808411.571766538 0, 240606.7217612263 6808539.261173761 0)",100559530.0,100559391.0,2024-04-03 13:31:00+00:00,2024-04-03 13:31:54+00:00,['BRUSHING'],2024-04-03 13:28:53+00:00,2024-04-03 13:29:59+00:00,327.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (240606.7217612263 6808539.261173761 0, 240515.1958167482 6808706.269562617 0)",100559815.0,100559530.0,2024-04-03 13:32:00+00:00,2024-04-03 13:32:57+00:00,['BRUSHING'],2024-04-03 13:29:59+00:00,2024-04-03 13:30:54+00:00,326.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (240515.1958167482 6808706.269562617 0, 240437.0622809947 6808845.230423859 0)",100559939.0,100559815.0,2024-04-03 13:33:00+00:00,2024-04-03 13:33:58+00:00,['BRUSHING'],2024-04-03 13:30:54+00:00,2024-04-03 13:32:00+00:00,329.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (240437.0622809947 6808845.230423859 0, 240351.2648550871 6809016.06618612 0)",100560168.0,100559939.0,2024-04-03 13:34:00+00:00,2024-04-03 13:35:01+00:00,['BRUSHING'],2024-04-03 13:32:00+00:00,2024-04-03 13:32:55+00:00,308.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (240351.2648550871 6809016.06618612 0, 240320.0083577977 6809067.359724544 0, 240252.10186434 6809135.023874855 0)",100560289.0,100560168.0,2024-04-03 13:35:00+00:00,2024-04-03 13:35:02+00:00,['BRUSHING'],2024-04-03 13:32:55+00:00,2024-04-03 13:33:50+00:00,308.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (240252.10186434 6809135.023874855 0, 240126.4468395273 6809232.149060008 0)",100560429.0,100560289.0,2024-04-03 13:36:00+00:00,2024-04-03 13:36:04+00:00,['BRUSHING'],2024-04-03 13:33:50+00:00,2024-04-03 13:34:56+00:00,312.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (240126.4468395273 6809232.149060008 0, 239988.8609989145 6809364.378152653 0)",100560685.0,100560429.0,2024-04-03 13:37:00+00:00,2024-04-03 13:37:06+00:00,['BRUSHING'],2024-04-03 13:34:56+00:00,2024-04-03 13:35:51+00:00,312.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (239988.8609989145 6809364.378152653 0, 239880.0910932558 6809480.264601246 0)",100560819.0,100560685.0,2024-04-03 13:38:00+00:00,2024-04-03 13:38:08+00:00,['BRUSHING'],2024-04-03 13:35:51+00:00,2024-04-03 13:36:57+00:00,351.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (239880.0910932558 6809480.264601246 0, 239821.3254395181 6809555.752595169 0, 239808.2431440068 6809584.118812411 0, 239801.2738026286 6809615.941318905 0, 239801.885735288 6809647.868409227 0)",100561025.0,100560819.0,2024-04-03 13:39:00+00:00,2024-04-03 13:39:10+00:00,['BRUSHING'],2024-04-03 13:36:57+00:00,2024-04-03 13:37:52+00:00,334.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (239801.885735288 6809647.868409227 0, 239813.6687620254 6809710.71041826 0, 239815.1757068693 6809741.676323054 0, 239807.3641747535 6809773.002791123 0, 239792.8113726519 6809800.361072096 0)",100561150.0,100561025.0,2024-04-03 13:40:00+00:00,2024-04-03 13:40:11+00:00,['BRUSHING'],2024-04-03 13:37:52+00:00,2024-04-03 13:38:58+00:00,266.0,state-roads,Harja/Väylävirasto,True,False,False
