geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (441098.7630892668 6901800.283169484 0, 441024.0116370982 6901704.317406627 0, 440939.8249368315 6901642.504057218 0, 440819.0427120063 6901601.170377213 0, 440688.6161160917 6901596.670494511 0)",103761223.0,103761207.0,2024-04-30 22:25:10+00:00,2024-04-30 22:27:50+00:00,['BRUSHING'],2024-04-30 22:25:13+00:00,2024-04-30 22:26:14+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440688.6161160917 6901596.670494511 0, 440422.0883716802 6901604.834734728 0, 440228.3478217674 6901579.300604156 0)",103761237.0,103761223.0,2024-04-30 22:26:11+00:00,2024-04-30 22:28:50+00:00,['BRUSHING'],2024-04-30 22:26:14+00:00,2024-04-30 22:27:15+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440228.3478217674 6901579.300604156 0, 439999.6834503871 6901548.27178642 0, 439752.0334283427 6901534.089691839 0)",103761248.0,103761237.0,2024-04-30 22:27:12+00:00,2024-04-30 22:29:50+00:00,['BRUSHING'],2024-04-30 22:27:15+00:00,2024-04-30 22:28:16+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (439752.0334283427 6901534.089691839 0, 439568.6946927784 6901518.212702821 0, 439225.3405108307 6901437.150182661 0)",103761261.0,103761248.0,2024-04-30 22:28:13+00:00,2024-04-30 22:30:50+00:00,['BRUSHING'],2024-04-30 22:28:16+00:00,2024-04-30 22:29:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (439225.3405108307 6901437.150182661 0, 439103.43868046 6901416.066170057 0, 439002.9338639388 6901411.312745249 0, 438833.0998426426 6901421.305003896 0, 438685.2503669711 6901448.287933392 0)",103761273.0,103761261.0,2024-04-30 22:29:14+00:00,2024-04-30 22:31:50+00:00,['BRUSHING'],2024-04-30 22:29:17+00:00,2024-04-30 22:30:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (438808.2161934838 6901473.46033155 0, 438986.210758377 6901492.290091666 0, 439124.4860945023 6901453.236532918 0, 439178.8886594886 6901449.466798801 0, 439459.5685539775 6901507.806361499 0)",103761319.0,103761309.0,2024-04-30 22:33:24+00:00,2024-04-30 22:35:51+00:00,['BRUSHING'],2024-04-30 22:33:27+00:00,2024-04-30 22:34:28+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (439459.5685539775 6901507.806361499 0, 439659.2831176581 6901555.697708674 0, 440101.0879884122 6901729.428528153 0)",103761335.0,103761319.0,2024-04-30 22:34:25+00:00,2024-04-30 22:36:51+00:00,['BRUSHING'],2024-04-30 22:34:28+00:00,2024-04-30 22:37:28+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440101.0879884122 6901729.428528153 0, 440158.8875705635 6901767.845070337 0, 440264.9876183554 6901866.020941222 0, 440281.493582231 6901870.742071047 0, 440293.8435041397 6901863.837179568 0, 440300.2241066736 6901871.969547155 0)",103761373.0,103761335.0,2024-04-30 22:37:25+00:00,2024-04-30 22:39:51+00:00,['BRUSHING'],2024-04-30 22:37:28+00:00,2024-04-30 22:40:28+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440300.2241066736 6901871.969547155 0, 440300.1721543499 6901871.970469275 0)",103761408.0,103761373.0,2024-04-30 22:40:25+00:00,2024-04-30 22:42:52+00:00,['BRUSHING'],2024-04-30 22:40:28+00:00,2024-04-30 22:42:08+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440300.1721543499 6901871.970469275 0, 440304.5659090351 6901894.066531048 0, 440311.2220045475 6901903.085447336 0, 440333.0417172907 6901923.200930578 0, 440346.491236857 6901922.628081528 0, 440350.7806854356 6901915.420657365 0, 440357.2146995511 6901818.141934182 0, 440353.219360931 6901715.922512668 0, 440345.7414264923 6901669.367084146 0, 440329.7046093872 6901632.546233344 0, 440300.9556343661 6901608.653750014 0)",103761431.0,103761408.0,2024-04-30 22:42:05+00:00,2024-04-30 22:44:52+00:00,['BRUSHING'],2024-04-30 22:42:08+00:00,2024-04-30 22:44:09+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440300.9556343661 6901608.653750014 0, 440272.876135801 6901593.218094756 0, 440203.2353169027 6901575.846957424 0, 440302.4742309213 6901609.295363177 0, 440237.2848714152 6901587.944577652 0, 440072.2426133477 6901557.229694408 0, 439839.7395133413 6901538.42568142 0)",103761457.0,103761431.0,2024-04-30 22:44:06+00:00,2024-04-30 22:46:52+00:00,['BRUSHING'],2024-04-30 22:44:09+00:00,2024-04-30 22:45:10+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (439839.7395133413 6901538.42568142 0, 439536.4526051539 6901511.437828 0, 439241.4498510729 6901436.970618919 0, 439109.7318234917 6901416.286541841 0, 438943.216187411 6901411.504642311 0, 438744.1890443148 6901436.739923915 0)",103761469.0,103761457.0,2024-04-30 22:45:07+00:00,2024-04-30 22:47:52+00:00,['BRUSHING'],2024-04-30 22:45:10+00:00,2024-04-30 22:47:11+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (438287.7774776148 6901586.596302285 0, 438327.1728782569 6901606.376701334 0, 438393.6150207106 6901598.919190011 0, 438437.6089522709 6901583.182309498 0, 438559.1808044677 6901515.105284475 0, 438670.2722567571 6901476.306671631 0, 438741.9093902908 6901468.538551477 0, 438860.5594261885 6901476.520028155 0)",103761506.0,103761492.0,2024-04-30 22:48:13+00:00,2024-04-30 22:50:52+00:00,['BRUSHING'],2024-04-30 22:48:16+00:00,2024-04-30 22:49:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (438860.5594261885 6901476.520028155 0, 439000.1537592635 6901493.040085346 0, 439114.3444917186 6901455.760063066 0, 439170.9727735582 6901448.607072672 0, 439601.2546492122 6901542.699202482 0)",103761521.0,103761506.0,2024-04-30 22:49:14+00:00,2024-04-30 22:51:52+00:00,['BRUSHING'],2024-04-30 22:49:17+00:00,2024-04-30 22:50:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (439601.2546492122 6901542.699202482 0, 440096.1804561879 6901728.178793205 0, 440165.297286855 6901771.742431396 0, 440277.4461792657 6901876.942440878 0)",103761536.0,103761521.0,2024-04-30 22:50:15+00:00,2024-04-30 22:52:53+00:00,['BRUSHING'],2024-04-30 22:50:18+00:00,2024-04-30 22:51:53+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440277.4461792657 6901876.942440878 0, 440332.4959399453 6901924.659168229 0, 440347.0166791274 6901922.953044361 0, 440352.9511894964 6901903.01373117 0, 440362.9449615321 6901763.218095485 0, 440354.4394644382 6901690.941162614 0, 440339.511476009 6901646.300696049 0, 440296.6423826248 6901602.824653437 0, 440249.1844255337 6901590.74172793 0)",103761560.0,103761536.0,2024-04-30 22:51:50+00:00,2024-04-30 22:54:53+00:00,['BRUSHING'],2024-04-30 22:51:53+00:00,2024-04-30 22:53:29+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440249.1844255337 6901590.74172793 0, 440255.0555294495 6901590.637446704 0, 440037.5600266916 6901550.493528437 0, 439662.032936419 6901529.351425091 0, 439483.482981384 6901502.361806801 0)",103761576.0,103761560.0,2024-04-30 22:53:26+00:00,2024-04-30 22:55:53+00:00,['BRUSHING'],2024-04-30 22:53:29+00:00,2024-04-30 22:54:30+00:00,,state-roads,Harja/Väylävirasto,True,True,True
