geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (245991.3458776172 6704723.318241095 0, 245987.3063156354 6704841.483549134 0, 246021.71796677 6705182.324215322 0)",97779938.0,97779865.0,2024-03-14 01:00:36+00:00,2024-03-14 01:02:59+00:00,['BRUSHING'],2024-03-14 01:00:35+00:00,2024-03-14 01:02:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (246021.71796677 6705182.324215322 0, 246033.6037811863 6705292.6683042 0, 246039.1808862499 6705401.331935671 0, 246035.2314645156 6705471.891265275 0, 246014.9445334903 6705579.799448953 0, 245989.8637048189 6705646.14297838 0)",97780014.0,97779938.0,2024-03-14 01:02:37+00:00,2024-03-14 01:05:00+00:00,['BRUSHING'],2024-03-14 01:02:36+00:00,2024-03-14 01:05:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (245989.8637048189 6705646.14297838 0, 245940.5934724179 6705761.560798384 0, 245900.1025058594 6705825.634694408 0, 245885.2986576573 6705865.11145578 0)",97780123.0,97780014.0,2024-03-14 01:05:37+00:00,2024-03-14 01:08:01+00:00,['BRUSHING'],2024-03-14 01:05:36+00:00,2024-03-14 01:08:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (245885.2986576573 6705865.11145578 0, 245877.8216560345 6705894.799749636 0, 245884.0496222413 6705916.598223215 0, 245869.185276167 6705917.418288157 0, 245876.5159606824 6705863.605009952 0, 245874.0390055281 6705868.471860803 0, 245889.4384368332 6705831.970133519 0, 245922.9634380476 6705778.10612947 0, 245928.8759856547 6705752.10337965 0, 245952.6074226662 6705709.877363576 0, 245949.8470621762 6705715.4344517 0)",97780253.0,97780123.0,2024-03-14 01:08:37+00:00,2024-03-14 01:11:02+00:00,['BRUSHING'],2024-03-14 01:08:36+00:00,2024-03-14 01:11:14+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (245949.8470621762 6705715.4344517 0, 245999.3942010154 6705614.187992432 0, 245986.9179876484 6705660.875448152 0, 245937.2954742736 6705757.881468803 0, 245933.060291637 6705775.497939014 0, 245976.2682354455 6705684.752244961 0)",97780367.0,97780253.0,2024-03-14 01:11:15+00:00,2024-03-14 01:14:03+00:00,['BRUSHING'],2024-03-14 01:11:14+00:00,2024-03-14 01:13:28+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (245976.2682354455 6705684.752244961 0, 246010.3802124467 6705594.310230307 0, 245986.3403443104 6705669.184500802 0, 245931.8414327295 6705777.818224091 0, 245988.2840054585 6705663.014334064 0, 245982.2973904156 6705678.518866837 0)",97780453.0,97780367.0,2024-03-14 01:13:29+00:00,2024-03-14 01:16:04+00:00,['BRUSHING'],2024-03-14 01:13:28+00:00,2024-03-14 01:16:25+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (245982.2973904156 6705678.518866837 0, 245891.6080517918 6705846.343653563 0, 245878.686684713 6705892.951227387 0, 245880.4401594824 6705924.226269568 0, 245868.2007043246 6705923.074271145 0, 245872.9745694289 6705876.926875633 0, 245896.5079187161 6705817.73021268 0)",97780572.0,97780453.0,2024-03-14 01:16:26+00:00,2024-03-14 01:19:05+00:00,['BRUSHING'],2024-03-14 01:16:25+00:00,2024-03-14 01:19:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (245896.5079187161 6705817.73021268 0, 245926.7233033437 6705768.67980248 0, 245984.9265865343 6705636.433090627 0, 245993.5997455348 6705637.947528665 0, 245981.5660316224 6705679.911027026 0, 245937.2259768867 6705771.853464451 0)",97780696.0,97780572.0,2024-03-14 01:19:23+00:00,2024-03-14 01:22:06+00:00,['BRUSHING'],2024-03-14 01:19:22+00:00,2024-03-14 01:22:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (245937.2259768867 6705771.853464451 0, 245893.3906322219 6705848.118050673 0, 245881.7103801899 6705895.085436276 0, 245881.0128162656 6705908.766339474 0, 245885.2761973593 6705914.389109491 0, 245864.5283947555 6705913.275745169 0, 245889.7567342186 6705908.93466283 0, 245866.1800143288 6705909.24898767 0, 245883.2768567605 6705905.590495301 0, 245873.1626687572 6705912.669565385 0)",97780846.0,97780696.0,2024-03-14 01:22:24+00:00,2024-03-14 01:25:07+00:00,['BRUSHING'],2024-03-14 01:22:22+00:00,2024-03-14 01:25:01+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (245873.1626687572 6705912.669565385 0, 245879.8951688281 6705895.995028667 0, 245878.9048973299 6705914.165968419 0, 245880.772982017 6705883.307106072 0, 245892.8034407719 6705843.689786289 0, 245913.8831283141 6705807.795093638 0, 245881.8147273235 6705872.954156399 0, 245879.8096586381 6705911.309022149 0, 245886.4837249608 6705867.821691819 0, 245908.93683561 6705817.639931322 0, 245888.2435987765 6705867.698148755 0)",97780988.0,97780846.0,2024-03-14 01:25:02+00:00,2024-03-14 01:27:08+00:00,['BRUSHING'],2024-03-14 01:25:01+00:00,2024-03-14 01:27:23+00:00,,state-roads,Harja/Väylävirasto,True,True,False
