geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (426960.9013724978 6758587.528066224 0, 426997.5255151575 6758661.310874961 0, 427049.120627485 6758794.058809391 0, 427075.7402448429 6758879.412327513 0, 427105.1781856434 6758930.615251122 0, 427129.113187742 6758935.471525032 0, 427307.1339584463 6758920.344342454 0)",104097867.0,104097833.0,2024-05-03 19:51:05+00:00,2024-05-03 19:53:08+00:00,['BRUSHING'],2024-05-03 19:50:49+00:00,2024-05-03 19:51:57+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (427307.1339584463 6758920.344342454 0, 427351.9870299548 6758909.732693576 0, 427359.6242457425 6758920.272121137 0, 427352.2932488762 6758980.251741007 0, 427353.9522714436 6759119.485797675 0, 427361.4252282358 6759249.019200763 0, 427367.87467874 6759310.05369348 0, 427390.5081425939 6759415.545540006 0)",104097912.0,104097867.0,2024-05-03 19:52:13+00:00,2024-05-03 19:54:08+00:00,['BRUSHING'],2024-05-03 19:51:57+00:00,2024-05-03 19:53:01+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (427390.5081425939 6759415.545540006 0, 427407.4316079445 6759469.680873988 0, 427430.9768554775 6759508.639868952 0, 427464.5014788363 6759595.9716321 0, 427532.2098881538 6759697.089051061 0, 427589.4268596777 6759804.438200315 0, 427612.9485939118 6759863.676198586 0)",104097955.0,104097912.0,2024-05-03 19:53:17+00:00,2024-05-03 19:55:09+00:00,['BRUSHING'],2024-05-03 19:53:01+00:00,2024-05-03 19:54:05+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (427612.9485939118 6759863.676198586 0, 427631.746905158 6759940.948411305 0, 427637.2191839503 6759988.856344618 0, 427634.1277727982 6760009.865311686 0, 427640.0225017262 6760017.432638875 0, 427756.4589609985 6760068.203739663 0, 428027.0359434589 6760269.7101245 0)",104097991.0,104097955.0,2024-05-03 19:54:21+00:00,2024-05-03 19:56:09+00:00,['BRUSHING'],2024-05-03 19:54:05+00:00,2024-05-03 19:55:07+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (428027.0359434589 6760269.7101245 0, 428124.0568576077 6760362.444430574 0, 428252.5055700311 6760464.572549149 0, 428269.9287259569 6760485.388734017 0, 428290.5532518444 6760533.325250424 0, 428303.3667088082 6760543.093417075 0, 428515.6745546979 6760521.761080704 0)",104098023.0,104097991.0,2024-05-03 19:55:23+00:00,2024-05-03 19:57:09+00:00,['BRUSHING'],2024-05-03 19:55:07+00:00,2024-05-03 19:58:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (426097.8080831616 6759250.603741063 0, 426460.6096610749 6759728.390034157 0, 426500.460662325 6759790.625135512 0)",104131791.0,104131747.0,2024-05-04 12:35:37+00:00,2024-05-04 12:37:36+00:00,['BRUSHING'],2024-05-04 12:35:36+00:00,2024-05-04 12:37:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (426500.460662325 6759790.625135512 0, 426597.5461907098 6759959.74854995 0, 426632.9166732999 6759999.349053343 0, 426958.8208634107 6759933.572914924 0)",104131864.0,104131791.0,2024-05-04 12:37:14+00:00,2024-05-04 12:39:37+00:00,['BRUSHING'],2024-05-04 12:37:13+00:00,2024-05-04 12:38:14+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (426958.8208634107 6759933.572914924 0, 427268.5005050955 6759876.292939487 0, 427645.3342128027 6760017.658522232 0)",104131905.0,104131864.0,2024-05-04 12:38:15+00:00,2024-05-04 12:40:37+00:00,['BRUSHING'],2024-05-04 12:38:14+00:00,2024-05-04 12:39:15+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (427645.3342128027 6760017.658522232 0, 427734.8383909718 6760051.597799901 0, 427977.048639974 6760224.042395865 0, 428242.5242568285 6760452.964625957 0, 428271.8161962801 6760490.364182241 0, 428289.6284968093 6760538.468989129 0)",104131946.0,104131905.0,2024-05-04 12:39:16+00:00,2024-05-04 12:41:38+00:00,['BRUSHING'],2024-05-04 12:39:15+00:00,2024-05-04 12:40:16+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (428241.7572076618 6760471.252028666 0, 427952.2982190098 6760221.202676154 0, 427701.8200166289 6760047.03421193 0)",104447184.0,104447114.0,2024-05-07 15:37:00+00:00,2024-05-07 15:39:57+00:00,['BRUSHING'],2024-05-07 15:37:00+00:00,2024-05-07 15:39:39+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (427701.8200166289 6760047.03421193 0, 427302.314180152 6759895.765809106 0, 427234.0049788689 6759881.679838448 0, 427219.5417551159 6759863.036077525 0, 427206.6293881274 6759790.658674254 0)",104447343.0,104447184.0,2024-05-07 15:39:39+00:00,2024-05-07 15:41:59+00:00,['BRUSHING'],2024-05-07 15:39:39+00:00,2024-05-07 15:40:41+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (427206.6293881274 6759790.658674254 0, 427177.929367407 6759587.693145907 0, 427143.4023817966 6759240.899767832 0, 427120.524334677 6759105.443787559 0, 427090.7848906858 6758989.403645941 0)",104447412.0,104447343.0,2024-05-07 15:40:42+00:00,2024-05-07 15:42:59+00:00,['BRUSHING'],2024-05-07 15:40:41+00:00,2024-05-07 15:41:42+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (427090.7848906858 6758989.403645941 0, 427036.7083487571 6758814.814299657 0, 427007.8604896485 6758737.083073656 0, 426835.1091468032 6758372.303431467 0, 426797.3233035511 6758279.271365849 0, 426754.4903701617 6758151.805232551 0)",104447480.0,104447412.0,2024-05-07 15:41:42+00:00,2024-05-07 15:44:00+00:00,['BRUSHING'],2024-05-07 15:41:42+00:00,2024-05-07 15:42:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (426944.6761331215 6758554.660467383 0, 426990.2938628974 6758646.864329671 0, 427043.2217867622 6758775.90808359 0, 427118.8704762924 6759017.014552291 0, 427151.9982903979 6759160.95039802 0, 427175.5977343408 6759350.093586836 0)",104465950.0,104465925.0,2024-05-07 23:14:45+00:00,2024-05-07 23:17:21+00:00,['BRUSHING'],2024-05-07 23:14:45+00:00,2024-05-07 23:17:45+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (427175.5977343408 6759350.093586836 0, 427192.2722130781 6759539.713280419 0, 427223.652259396 6759754.545280627 0, 427238.6857612573 6759761.367417511 0, 427265.5402155931 6759755.691606029 0, 427273.5558217754 6759742.491750733 0, 427271.703336956 6759712.893447295 0, 427290.734531804 6759703.367317149 0)",104466021.0,104465950.0,2024-05-07 23:17:45+00:00,2024-05-07 23:20:22+00:00,['BRUSHING'],2024-05-07 23:17:45+00:00,2024-05-07 23:20:45+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (427290.734531804 6759703.367317149 0, 427291.4904983068 6759695.329972481 0)",104466097.0,104466021.0,2024-05-07 23:20:45+00:00,2024-05-07 23:23:23+00:00,['BRUSHING'],2024-05-07 23:20:45+00:00,2024-05-07 23:22:16+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (427291.4904983068 6759695.329972481 0, 427301.5416353987 6759694.232654931 0, 427317.9054935246 6759736.90335407 0, 427332.2122969917 6759742.626628378 0, 427511.3273422098 6759700.858151205 0, 427531.6248883573 6759705.568494767 0, 427582.1665140603 6759793.667810611 0, 427619.1886168507 6759885.497485504 0)",104466142.0,104466097.0,2024-05-07 23:22:16+00:00,2024-05-07 23:24:23+00:00,['BRUSHING'],2024-05-07 23:22:16+00:00,2024-05-07 23:23:21+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (427619.1886168507 6759885.497485504 0, 427631.6743242624 6759953.316883436 0, 427632.6866669028 6760010.897443243 0, 427635.7525230884 6760015.180051582 0, 427749.9827360827 6760061.316558038 0, 428024.3633448286 6760268.761635794 0)",104466165.0,104466142.0,2024-05-07 23:23:21+00:00,2024-05-07 23:25:24+00:00,['BRUSHING'],2024-05-07 23:23:21+00:00,2024-05-07 23:24:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (428024.3633448286 6760268.761635794 0, 428131.9999938959 6760369.636779108 0, 428247.406626572 6760461.444709019 0, 428278.4936224653 6760496.579720526 0, 428299.8681330319 6760570.906208908 0, 428334.7372692522 6760919.149646742 0)",104466188.0,104466165.0,2024-05-07 23:24:22+00:00,2024-05-07 23:26:24+00:00,['BRUSHING'],2024-05-07 23:24:22+00:00,2024-05-07 23:25:33+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428149.0206378018 6760391.90893699 0, 427984.0008507858 6760246.406867423 0, 427731.4207035511 6760064.591490391 0, 427358.955855045 6759924.575896667 0)",104938186.0,104938162.0,2024-05-13 21:43:43+00:00,2024-05-13 21:46:27+00:00,['BRUSHING'],2024-05-13 21:43:42+00:00,2024-05-13 21:44:43+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (427358.955855045 6759924.575896667 0, 427262.4888617966 6759892.125674145 0, 427221.0362873046 6759893.644446443 0, 426665.0675847665 6760001.135301716 0)",104938218.0,104938186.0,2024-05-13 21:44:45+00:00,2024-05-13 21:47:27+00:00,['BRUSHING'],2024-05-13 21:44:43+00:00,2024-05-13 21:45:45+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (426665.0675847665 6760001.135301716 0, 426624.7105656144 6760018.905047037 0, 426614.2838587473 6760014.886983276 0, 426475.4896173331 6759769.528069192 0, 426214.4381720829 6759420.313118866 0)",104938251.0,104938218.0,2024-05-13 21:45:46+00:00,2024-05-13 21:48:28+00:00,['BRUSHING'],2024-05-13 21:45:45+00:00,2024-05-13 21:46:46+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428308.9503126809 6760760.349032818 0, 428288.01467808 6760589.863428179 0, 428266.270099087 6760518.664080588 0, 428247.4559299035 6760479.938420678 0, 427952.3051747493 6760224.210715946 0, 427746.9303074269 6760073.63430657 0)",105067856.0,105067806.0,2024-05-14 20:02:01+00:00,2024-05-14 20:04:55+00:00,['BRUSHING'],2024-05-14 20:02:00+00:00,2024-05-14 20:03:08+00:00,,state-roads,Harja/Väylävirasto,True,False,False
