geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (428528.0656600955 7213478.744063118 0, 428636.6815649201 7213362.307999958 0)",103611082.0,103611032.0,2024-04-29 18:53:00+00:00,2024-04-29 18:53:13+00:00,['BRUSHING'],2024-04-29 18:50:57+00:00,2024-04-29 18:51:52+00:00,139.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428705.2857296381 7213329.446829324 0, 428599.834772659 7213448.368532225 0)",103612114.0,103612061.0,2024-04-29 19:18:00+00:00,2024-04-29 19:18:23+00:00,['BRUSHING'],2024-04-29 19:15:56+00:00,2024-04-29 19:16:51+00:00,315.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428599.834772659 7213448.368532225 0, 428499.0134370918 7213561.608579778 0)",103612149.0,103612114.0,2024-04-29 19:19:00+00:00,2024-04-29 19:19:23+00:00,['BRUSHING'],2024-04-29 19:16:51+00:00,2024-04-29 19:17:57+00:00,316.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428499.0134370918 7213561.608579778 0, 428393.184110665 7213675.864723837 0)",103612198.0,103612149.0,2024-04-29 19:20:00+00:00,2024-04-29 19:20:24+00:00,['BRUSHING'],2024-04-29 19:17:57+00:00,2024-04-29 19:18:53+00:00,312.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428418.7907898517 7213616.382900834 0, 428562.8043334874 7213465.869086312 0)",103617588.0,103617557.0,2024-04-29 22:07:00+00:00,2024-04-29 22:07:06+00:00,['BRUSHING'],2024-04-29 22:05:00+00:00,2024-04-29 22:05:55+00:00,137.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428562.8043334874 7213465.869086312 0, 428692.3528084084 7213322.510062649 0)",103617613.0,103617588.0,2024-04-29 22:08:00+00:00,2024-04-29 22:08:06+00:00,['BRUSHING'],2024-04-29 22:05:55+00:00,2024-04-29 22:06:50+00:00,138.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428718.9887746772 7213289.874926041 0, 428619.3588681894 7213409.994271634 0)",103619032.0,103619006.0,2024-04-29 22:58:00+00:00,2024-04-29 22:58:17+00:00,['BRUSHING'],2024-04-29 22:55:50+00:00,2024-04-29 22:56:56+00:00,314.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428619.3588681894 7213409.994271634 0, 428480.9945117441 7213560.59234477 0)",103619070.0,103619032.0,2024-04-29 22:59:00+00:00,2024-04-29 22:59:18+00:00,['BRUSHING'],2024-04-29 22:56:56+00:00,2024-04-29 22:57:51+00:00,313.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428520.8018164739 7213501.885037088 0, 428799.4260683029 7213180.475190928 0)",103621464.0,103621448.0,2024-04-30 00:32:00+00:00,2024-04-30 00:32:38+00:00,['BRUSHING'],2024-04-30 00:29:51+00:00,2024-04-30 00:30:57+00:00,128.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428531.4683305794 7213483.121832208 0, 428593.0580666527 7213419.209922828 0, 428853.0918630182 7213111.741722144 0)",103621471.0,103621442.0,2024-04-30 00:32:00+00:00,2024-04-30 00:32:38+00:00,['BRUSHING'],2024-04-30 00:29:58+00:00,2024-04-30 00:30:53+00:00,127.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428323.3879877119 7213699.843116486 0, 428594.734265876 7213418.389280941 0, 428844.5852592384 7213118.522875699 0, 428974.3224967726 7212981.861738618 0, 429115.1878725339 7212860.884178481 0)",103622325.0,103622281.0,2024-04-30 01:06:00+00:00,2024-04-30 01:06:44+00:00,['BRUSHING'],2024-04-30 01:03:59+00:00,2024-04-30 01:04:54+00:00,153.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (429005.7620585285 7212982.449359002 0, 428929.8501898579 7213053.048968104 0, 428861.0624750925 7213129.835072053 0, 428604.7049961082 7213443.234717229 0)",103622695.0,103622678.0,2024-04-30 01:20:00+00:00,2024-04-30 01:20:47+00:00,['BRUSHING'],2024-04-30 01:17:49+00:00,2024-04-30 01:18:44+00:00,317.0,state-roads,Harja/Väylävirasto,True,False,False
