geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (330931.498469584 6823095.150153361 0, 330282.2352954675 6822939.121261824 0, 330144.6838266623 6822918.303217113 0)",101642352.0,101642192.0,2024-04-11 10:15:00+00:00,2024-04-11 10:15:35+00:00,['BRUSHING'],2024-04-11 10:12:53+00:00,2024-04-11 10:13:55+00:00,289.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (330144.6838266623 6822918.303217113 0, 330080.6416613801 6822919.09964067 0, 329971.7590674031 6822992.606768061 0, 329836.1260877085 6823108.599098036 0, 329696.8951562846 6823211.943937925 0, 329539.7668412921 6823289.399105203 0, 329373.7495370412 6823349.671827064 0)",101642589.0,101642352.0,2024-04-11 10:16:00+00:00,2024-04-11 10:16:37+00:00,['BRUSHING'],2024-04-11 10:13:55+00:00,2024-04-11 10:14:50+00:00,283.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (329373.7495370412 6823349.671827064 0, 329195.0030137915 6823393.845081054 0, 329015.7502724803 6823421.205963819 0, 328838.5970769186 6823462.976498998 0, 328476.5175320478 6823562.661561656 0)",101642751.0,101642589.0,2024-04-11 10:17:00+00:00,2024-04-11 10:17:38+00:00,['BRUSHING'],2024-04-11 10:14:50+00:00,2024-04-11 10:15:39+00:00,242.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (330955.7139798373 6821459.664988145 0, 330890.0464084632 6821738.207231049 0, 330847.3319944396 6821877.068663158 0, 330811.3592424009 6821975.884935813 0, 330765.5670501436 6822078.86268963 0, 330672.7334447188 6822241.59448084 0)",101814479.0,101814464.0,2024-04-13 12:25:16+00:00,2024-04-13 12:27:50+00:00,['BRUSHING'],2024-04-13 12:25:15+00:00,2024-04-13 12:26:16+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (330672.7334447188 6822241.59448084 0, 330617.7490425122 6822306.868556906 0, 330538.8525079069 6822379.225489083 0, 330326.3091845536 6822507.54730016 0, 330267.839922927 6822549.346293553 0, 330213.9201468033 6822600.183465593 0, 330152.8403615131 6822675.693802337 0, 330011.9658767841 6822927.599454008 0, 329908.6492082593 6823047.135759919 0)",101814496.0,101814479.0,2024-04-13 12:26:17+00:00,2024-04-13 12:28:51+00:00,['BRUSHING'],2024-04-13 12:26:16+00:00,2024-04-13 12:27:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (329908.6492082593 6823047.135759919 0, 329822.6917988085 6823124.878121266 0, 329687.6297002306 6823222.998163394 0, 329517.3623326143 6823305.339748004 0, 329260.2563473778 6823383.154124918 0, 328861.5143797298 6823457.493349741 0)",101814509.0,101814496.0,2024-04-13 12:27:18+00:00,2024-04-13 12:29:51+00:00,['BRUSHING'],2024-04-13 12:27:17+00:00,2024-04-13 12:30:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (329119.0079675006 6823391.009404491 0, 329245.4792519142 6823366.700818052 0, 329367.9748080794 6823331.993785882 0, 329607.9528621042 6823243.984783522 0, 329720.7382452838 6823185.111865326 0)",102156567.0,102156553.0,2024-04-17 23:10:00+00:00,2024-04-17 23:10:01+00:00,['BRUSHING'],2024-04-17 23:07:55+00:00,2024-04-17 23:09:00+00:00,315.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (329720.7382452838 6823185.111865326 0, 329822.3232792421 6823107.603379949 0, 329915.9250553259 6823018.329210303 0, 329995.7742493842 6822918.129569875 0, 330050.3473848043 6822826.423210743 0, 330043.5006315804 6822795.520424642 0, 330016.9941448275 6822776.84997473 0, 329985.3497386949 6822783.868849257 0, 329926.8985720641 6822845.420520509 0)",102156599.0,102156567.0,2024-04-17 23:11:00+00:00,2024-04-17 23:11:01+00:00,['BRUSHING'],2024-04-17 23:09:00+00:00,2024-04-17 23:09:51+00:00,252.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (329926.8985720641 6822845.420520509 0, 329925.936184449 6822874.69814961 0, 329950.8863886967 6822890.989792629 0, 329995.089849639 6822890.048435803 0, 329849.1158653363 6822854.147252205 0)",102156610.0,102156599.0,2024-04-17 23:12:00+00:00,2024-04-17 23:12:01+00:00,['BRUSHING'],2024-04-17 23:09:51+00:00,2024-04-17 23:11:00+00:00,263.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (329849.1158653363 6822854.147252205 0, 329939.5487087186 6822871.798848081 0, 329920.7332661781 6822869.709851087 0)",102156642.0,102156610.0,2024-04-17 23:13:00+00:00,2024-04-17 23:13:01+00:00,['BRUSHING'],2024-04-17 23:11:00+00:00,2024-04-17 23:11:58+00:00,261.0,state-roads,Harja/Väylävirasto,True,True,False
