geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (390936.2154144014 6684532.79271294 0, 391309.8275450908 6684439.953393579 0)",99008335.0,99008093.0,2024-03-21 10:02:49+00:00,2024-03-21 10:05:49+00:00,['BRUSHING'],2024-03-21 10:02:49+00:00,2024-03-21 10:05:49+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391309.8275450908 6684439.953393579 0, 391681.7352768552 6684363.696456993 0)",99008685.0,99008335.0,2024-03-21 10:05:49+00:00,2024-03-21 10:07:52+00:00,['BRUSHING'],2024-03-21 10:05:49+00:00,2024-03-21 10:08:49+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391681.7352768552 6684363.696456993 0, 391751.5024826241 6684344.686341691 0, 391890.3375470776 6684286.743639436 0)",99009027.0,99008685.0,2024-03-21 10:08:49+00:00,2024-03-21 10:10:55+00:00,['BRUSHING'],2024-03-21 10:08:49+00:00,2024-03-21 10:11:49+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (392018.495683087 6684243.720784973 0, 391695.5937541201 6684371.976983175 0, 391202.4574855617 6684476.363787387 0, 390683.9619510439 6684623.702363919 0)",99021234.0,99021128.0,2024-03-21 11:58:40+00:00,2024-03-21 12:01:33+00:00,['BRUSHING'],2024-03-21 11:58:39+00:00,2024-03-21 11:59:40+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391958.4428730276 6684261.992107524 0, 391778.0286111986 6684339.775864831 0, 391616.5925613338 6684387.473747496 0)",99086867.0,99086554.0,2024-03-22 08:11:21+00:00,2024-03-22 08:13:33+00:00,['BRUSHING'],2024-03-22 08:11:21+00:00,2024-03-22 08:14:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391616.5925613338 6684387.473747496 0, 391258.5593757728 6684459.423371945 0)",99087177.0,99086867.0,2024-03-22 08:14:17+00:00,2024-03-22 08:16:35+00:00,['BRUSHING'],2024-03-22 08:14:17+00:00,2024-03-22 08:16:30+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391258.5593757728 6684459.423371945 0, 390890.3103102691 6684557.568086227 0)",99087402.0,99087177.0,2024-03-22 08:16:30+00:00,2024-03-22 08:18:37+00:00,['BRUSHING'],2024-03-22 08:16:30+00:00,2024-03-22 08:19:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391024.3618208985 6684419.833351043 0, 390998.4563721743 6684402.888874161 0, 390988.3922281431 6684404.972725741 0, 390981.8355610206 6684418.875665493 0, 390979.348367778 6684457.842055678 0, 390985.4576141902 6684503.014883854 0, 391008.6358139075 6684565.730535155 0, 390999.1127594936 6684578.496297918 0, 390820.4177222354 6684594.317508635 0, 390705.0781780904 6684624.852401217 0)",99499202.0,99498833.0,2024-03-25 12:12:04+00:00,2024-03-25 12:14:03+00:00,['BRUSHING'],2024-03-25 12:12:02+00:00,2024-03-25 12:13:03+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (390996.615162282 6684535.667136958 0, 391011.3214281761 6684564.870195245 0, 391006.9497275263 6684577.816288143 0, 390818.2016611795 6684592.377964317 0, 390643.4828879967 6684642.969222629 0, 390539.3792302234 6684686.433764883 0)",99499378.0,99499225.0,2024-03-25 12:13:40+00:00,2024-03-25 12:16:04+00:00,['BRUSHING'],2024-03-25 12:13:40+00:00,2024-03-25 12:14:41+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (390948.3883190042 6684584.581897354 0, 390907.2280106036 6684581.132655954 0, 390799.5139124791 6684594.720579911 0, 390602.8542586717 6684653.54879372 0, 390467.604816302 6684717.451842307 0, 390162.2785166025 6684897.250429466 0, 390043.0538691654 6684954.446545561 0)",99499384.0,,2024-03-25 12:13:45+00:00,2024-03-25 12:16:04+00:00,['BRUSHING'],2024-03-25 12:13:43+00:00,2024-03-25 12:14:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False
