Päivämäärä,Mittausverkko,Mittauspaikka,Komponentti,Pitoisuus
14.12.2018,Ålands nätverk/Ahvenanmaan verkko,Mariehamn Österleden,PM10 24h,51
29.11.2018,Raahen verkko,Raahe Lapaluoto,PM10 24h,78
28.11.2018,Ilmatieteen laitoksen verkko,Virolahti Koivuniemi Ääpälä,PM10 24h,70
28.11.2018,,Hamina Meltti/siirrettävä,PM10 24h,74
28.11.2018,Kotkan verkko,Kotka Rauhala,PM10 24h,51
22.11.2018,Porin verkko,Pori Paanakedonkatu,PM10 24h,51
21.11.2018,Helsingin seudun verkko (HSY),Espoo Leppävaara Läkkisepänkuja,PM10 24h,51
21.11.2018,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,58
21.11.2018,Porin verkko,Pori Paanakedonkatu,PM10 24h,82
21.11.2018,Rauman verkko,Rauma Tarvonsaari Hallikatu,PM10 24h,67
19.11.2018,,Hamina Meltti/siirrettävä,PM10 24h,55
19.11.2018,Etelä-Karjalan verkko,Imatra Mansikkala,PM10 24h,72
19.11.2018,Jyväskylän verkko,Jyväskylä Hannikaisenkatu,PM10 24h,52
19.11.2018,Jämsän verkko,Jämsä Seppolantie,PM10 24h,88
19.11.2018,Kajaanin verkko,Kajaani Keskusta,PM10 24h,100
19.11.2018,Kuopion verkko,Kuopio Maaherrankatu,PM10 24h,66
19.11.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,62
19.11.2018,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,117
19.11.2018,Etelä-Karjalan verkko,Lappeenranta Ihalainen,PM10 24h,58
19.11.2018,Oulun verkko,Oulu Pyykösjärvi,PM10 24h,61
19.11.2018,Pietarsaaren seudun verkko,Pietarsaari Bottenviksvägen,PM10 24h,95
19.11.2018,Porin verkko,Pori Paanakedonkatu,PM10 24h,80
19.11.2018,Seinäjoen verkko,Seinäjoki Vapaudentie 6a,PM10 24h,113
19.11.2018,Kuopion verkko,Siilinjärvi Kuuslahti,PM10 24h,77
19.11.2018,Kuopion verkko,Siilinjärvi Sorakuja,PM10 24h,101
19.11.2018,Tampereen verkko,Tampere Pirkankatu,PM10 24h,56
19.11.2018,Varkauden verkko,Varkaus Psaari 2,PM10 24h,117
18.11.2018,Oulun verkko,Oulu Pyykösjärvi,PM10 24h,53
15.11.2018,Helsingin seudun verkko (HSY),Helsinki Mäkelänkatu,PM10 24h,60
14.11.2018,Helsingin seudun verkko (HSY),Helsinki Mäkelänkatu,PM10 24h,62
28.10.2018,Oulun verkko,Oulu Pyykösjärvi,PM10 24h,103
28.10.2018,Pietarsaaren seudun verkko,Pietarsaari Bottenviksvägen,PM10 24h,53
15.10.2018,Kajaanin verkko,Kajaani Keskusta,PM10 24h,51
14.10.2018,Ilmatieteen laitoksen verkko,Parainen Utö,PM2.5 24h,26
14.10.2018,Ilmatieteen laitoksen verkko,Virolahti Koivuniemi Ääpälä,PM2.5 24h,26
14.10.2018,Helsingin seudun verkko (HSY),Helsinki Eteläsatama,PM2.5 24h,26
14.10.2018,Helsingin seudun verkko (HSY),Helsinki Kallio 2,PM2.5 24h,27
14.10.2018,Helsingin seudun verkko (HSY),Helsinki Mäkelänkatu,PM2.5 24h,27
14.10.2018,Helsingin seudun verkko (HSY),Helsinki Vartiokylä Huivipolku,PM2.5 24h,29
14.10.2018,Helsingin seudun verkko (HSY),Kauniainen Kauniaistentie,PM2.5 24h,27
14.10.2018,Ålands nätverk/Ahvenanmaan verkko,Mariehamn Österleden,PM2.5 24h,30
14.10.2018,Tampereen verkko,Tampere Epila 2,PM2.5 24h,26
14.10.2018,Turun seudun verkko,Turku Kauppatori väliaikainen,PM2.5 24h,26
14.10.2018,Helsingin seudun verkko (HSY),Vantaa Tikkurila Neilikkatie,PM2.5 24h,26
13.10.2018,Ilmatieteen laitoksen verkko,Parainen Utö,PM2.5 24h,27
13.10.2018,Ålands nätverk/Ahvenanmaan verkko,Mariehamn Österleden,PM2.5 24h,29
11.08.2018,Raahen verkko,Raahe keskusta,PM10 24h,64
10.08.2018,Kokkolan verkko,Kokkola keskusta Pitkänsillankatu,PM10 24h,60
01.08.2018,Tampereen verkko,Tampere Kaleva,PM2.5 24h,27
01.08.2018,Ilmatieteen laitoksen verkko,Virolahti Koivuniemi Ääpälä,PM10 24h,54
01.08.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,61
25.07.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,52
24.07.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,53
12.07.2018,Turun seudun verkko,Parainen,PM10 24h,58
14.06.2018,Raahen verkko,Raahe Lapaluoto,PM10 24h,82
25.05.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,58
23.05.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,51
17.05.2018,Kokkolan verkko,Kokkola Ykspihlaja,PM10 24h,80
17.05.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,57
17.05.2018,Etelä-Karjalan verkko,Lappeenranta Ihalainen,PM10 24h,56
16.05.2018,Etelä-Karjalan verkko,Lappeenranta Pulp,PM2.5 24h,31
16.05.2018,Kokkolan verkko,Kokkola Ykspihlaja,PM10 24h,79
16.05.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,53
16.05.2018,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,51
16.05.2018,Turun seudun verkko,Parainen,PM10 24h,53
16.05.2018,Tampereen verkko,Tampere Epila 2,PM10 24h,67
15.05.2018,Helsingin seudun verkko (HSY),Espoo Leppävaara Läkkisepänkuja,PM10 24h,63
15.05.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,79
15.05.2018,Helsingin seudun verkko (HSY),Helsinki Mäkelänkatu,PM10 24h,64
15.05.2018,Kokkolan verkko,Kokkola Ykspihlaja,PM10 24h,69
15.05.2018,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,53
15.05.2018,Etelä-Karjalan verkko,Lappeenranta keskusta 4,PM10 24h,78
15.05.2018,Turun seudun verkko,Parainen,PM10 24h,65
15.05.2018,Tampereen verkko,Tampere Epila 2,PM10 24h,59
14.05.2018,Helsingin seudun verkko (HSY),Espoo Leppävaara Läkkisepänkuja,PM10 24h,52
14.05.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,89
14.05.2018,Helsingin seudun verkko (HSY),Helsinki Mäkelänkatu,PM10 24h,62
14.05.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,90
14.05.2018,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,59
14.05.2018,Turun seudun verkko,Parainen,PM10 24h,58
14.05.2018,Tampereen verkko,Tampere Epila 2,PM10 24h,52
14.05.2018,Tampereen verkko,Tampere Pirkankatu,PM10 24h,55
13.05.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,68
12.05.2018,Helsingin seudun verkko (HSY),Helsinki Mannerheimintie,PM10 24h,52
28.04.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,66
27.04.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,52
27.04.2018,Tampereen verkko,Tampere Pirkankatu,PM10 24h,56
26.04.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,54
24.04.2018,Kajaanin verkko,Kajaani Keskusta,PM10 24h,67
24.04.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,55
23.04.2018,Kajaanin verkko,Kajaani Keskusta,PM10 24h,59
23.04.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,150
23.04.2018,Etelä-Karjalan verkko,Lappeenranta Joutsenon keskusta,PM10 24h,60
20.04.2018,Helsingin seudun verkko (HSY),Espoo Leppävaara Läkkisepänkuja,PM10 24h,61
20.04.2018,Helsingin seudun verkko (HSY),Helsinki Mäkelänkatu,PM10 24h,58
20.04.2018,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,70
20.04.2018,Lahden verkko,Lahti Saimaankatu,PM10 24h,70
20.04.2018,Etelä-Karjalan verkko,Lappeenranta Lauritsala,PM10 24h,65
20.04.2018,Ålands nätverk/Ahvenanmaan verkko,Mariehamn Österleden,PM10 24h,63
20.04.2018,Kuopion verkko,Siilinjärvi Sorakuja,PM10 24h,56
19.04.2018,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,54
19.04.2018,Lahden verkko,Lahti Saimaankatu,PM10 24h,63
19.04.2018,Etelä-Karjalan verkko,Lappeenranta Joutsenon keskusta,PM10 24h,59
19.04.2018,Kuopion verkko,Siilinjärvi Sorakuja,PM10 24h,115
19.04.2018,Tampereen verkko,Tampere Pirkankatu,PM10 24h,87
19.04.2018,Varkauden verkko,Varkaus Psaari 2,PM10 24h,60
19.04.2018,Äänekosken verkko,Äänekoski Hiski,PM10 24h,58
18.04.2018,Kuopion verkko,Kuopio Kasarmipuisto,PM10 24h,74
18.04.2018,Kuopion verkko,Kuopio Maaherrankatu,PM10 24h,72
18.04.2018,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,113
18.04.2018,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,52
18.04.2018,Lahden verkko,Lahti Saimaankatu,PM10 24h,52
18.04.2018,Etelä-Karjalan verkko,Lappeenranta Joutsenon keskusta,PM10 24h,53
