"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Pienhiukkaset <2.5 µm [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Imatra Teppanala","2024","3","5","00:00","2.5","3.5"
"Imatra Teppanala","2024","3","5","01:00","1.3","3.8"
"Imatra Teppanala","2024","3","5","02:00","2","3.9"
"Imatra Teppanala","2024","3","5","03:00","1.8","3.6"
"Imatra Teppanala","2024","3","5","04:00","3.2","9.7"
"Imatra Teppanala","2024","3","5","05:00","2.4","8.2"
"Imatra Teppanala","2024","3","5","06:00","2.8","10.4"
"Imatra Teppanala","2024","3","5","07:00","1.9","11.4"
"Imatra Teppanala","2024","3","5","08:00","2.3","8.5"
"Imatra Teppanala","2024","3","5","09:00","2.3","15.5"
"Imatra Teppanala","2024","3","5","10:00","1.1","2.9"
"Imatra Teppanala","2024","3","5","11:00","1.7","5.6"
"Imatra Teppanala","2024","3","5","12:00","1.2","7.1"
"Imatra Teppanala","2024","3","5","13:00","1.3","8.3"
"Imatra Teppanala","2024","3","5","14:00","1.6","5.8"
"Imatra Teppanala","2024","3","5","15:00","1.6","5.7"
"Imatra Teppanala","2024","3","5","16:00","3.2","9.9"
"Imatra Teppanala","2024","3","5","17:00","8.3","53.9"
"Imatra Teppanala","2024","3","5","18:00","5.1","38.4"
"Imatra Teppanala","2024","3","5","19:00","7.5","49.9"
"Imatra Teppanala","2024","3","5","20:00","8.3","29"
"Imatra Teppanala","2024","3","5","21:00","6.7","18.4"
"Imatra Teppanala","2024","3","5","22:00","9.8","32.3"
"Imatra Teppanala","2024","3","5","23:00","9","21.3"
"Imatra Teppanala","2024","3","6","00:00","7","13.6"
"Imatra Teppanala","2024","3","6","01:00","3.9","8.6"
"Imatra Teppanala","2024","3","6","02:00","3.6","6.5"
"Imatra Teppanala","2024","3","6","03:00","2.1","5.4"
"Imatra Teppanala","2024","3","6","04:00","1.3","9.1"
"Imatra Teppanala","2024","3","6","05:00","0.8","13.3"
"Imatra Teppanala","2024","3","6","06:00","2.5","28.1"
"Imatra Teppanala","2024","3","6","07:00","5.3","23.8"
"Imatra Teppanala","2024","3","6","08:00","2.6","12.3"
"Imatra Teppanala","2024","3","6","09:00","2.5","16.3"
"Imatra Teppanala","2024","3","6","10:00","2.2","3.5"
"Imatra Teppanala","2024","3","6","11:00","1.9","6.2"
"Imatra Teppanala","2024","3","6","12:00","2.2","6"
"Imatra Teppanala","2024","3","6","13:00","1.5","7.8"
"Imatra Teppanala","2024","3","6","14:00","2.1","6.7"
"Imatra Teppanala","2024","3","6","15:00","4.4","7.4"
"Imatra Teppanala","2024","3","6","16:00","4.7","9.2"
"Imatra Teppanala","2024","3","6","17:00","4.8","13.9"
"Imatra Teppanala","2024","3","6","18:00","5.5","11.9"
"Imatra Teppanala","2024","3","6","19:00","4.9","12.1"
"Imatra Teppanala","2024","3","6","20:00","3.1","10.2"
"Imatra Teppanala","2024","3","6","21:00","3.3","6.6"
"Imatra Teppanala","2024","3","6","22:00","2.9","4.6"
"Imatra Teppanala","2024","3","6","23:00","3.7","6.1"
"Imatra Teppanala","2024","3","7","00:00","3.3","4.8"
"Imatra Teppanala","2024","3","7","01:00","2.5","4.2"
"Imatra Teppanala","2024","3","7","02:00","1.8","3.9"
"Imatra Teppanala","2024","3","7","03:00","2","3.4"
"Imatra Teppanala","2024","3","7","04:00","2.2","5.9"
"Imatra Teppanala","2024","3","7","05:00","3.6","6.8"
"Imatra Teppanala","2024","3","7","06:00","3.7","8.4"
"Imatra Teppanala","2024","3","7","07:00","4.2","13.2"
"Imatra Teppanala","2024","3","7","08:00","2.8","9.9"
"Imatra Teppanala","2024","3","7","09:00","3.1","9.2"
"Imatra Teppanala","2024","3","7","10:00","2.3","4.4"
"Imatra Teppanala","2024","3","7","11:00","3.5","4.2"
"Imatra Teppanala","2024","3","7","12:00","2.7","4.2"
"Imatra Teppanala","2024","3","7","13:00","1.9","4.1"
"Imatra Teppanala","2024","3","7","14:00","1.8","3.8"
"Imatra Teppanala","2024","3","7","15:00","1.8","3.9"
"Imatra Teppanala","2024","3","7","16:00","2.4","5.1"
"Imatra Teppanala","2024","3","7","17:00","2.8","4.5"
"Imatra Teppanala","2024","3","7","18:00","2.1","4.4"
"Imatra Teppanala","2024","3","7","19:00","3.1","5"
"Imatra Teppanala","2024","3","7","20:00","2.9","4.3"
"Imatra Teppanala","2024","3","7","21:00","0.9","3.1"
"Imatra Teppanala","2024","3","7","22:00","2.1","3.8"
"Imatra Teppanala","2024","3","7","23:00","2.2","4.1"
"Imatra Teppanala","2024","3","8","00:00","2.9","4.5"
"Imatra Teppanala","2024","3","8","01:00","1.9","3.5"
"Imatra Teppanala","2024","3","8","02:00","2.4","3.7"
"Imatra Teppanala","2024","3","8","03:00","3","4.9"
"Imatra Teppanala","2024","3","8","04:00","3.5","5.1"
"Imatra Teppanala","2024","3","8","05:00","3","4.5"
"Imatra Teppanala","2024","3","8","06:00","3.4","4.8"
"Imatra Teppanala","2024","3","8","07:00","3.4","5.2"
"Imatra Teppanala","2024","3","8","08:00","3.4","5.3"
"Imatra Teppanala","2024","3","8","09:00","2.3","4.6"
"Imatra Teppanala","2024","3","8","10:00","3.5","5.2"
"Imatra Teppanala","2024","3","8","11:00","2.6","4.9"
"Imatra Teppanala","2024","3","8","12:00","2.9","4.6"
"Imatra Teppanala","2024","3","8","13:00","2.6","3.4"
"Imatra Teppanala","2024","3","8","14:00","1.9","4.4"
"Imatra Teppanala","2024","3","8","15:00","2.2","5.9"
"Imatra Teppanala","2024","3","8","16:00","2.3","5.5"
"Imatra Teppanala","2024","3","8","17:00","3.3","6.5"
"Imatra Teppanala","2024","3","8","18:00","4.4","11.8"
"Imatra Teppanala","2024","3","8","19:00","5.7","17.4"
"Imatra Teppanala","2024","3","8","20:00","5.8","16.8"
"Imatra Teppanala","2024","3","8","21:00","3.9","10.1"
"Imatra Teppanala","2024","3","8","22:00","2.2","7.3"
"Imatra Teppanala","2024","3","8","23:00","3.1","7.2"
"Imatra Teppanala","2024","3","9","00:00","2.7","6"
"Imatra Teppanala","2024","3","9","01:00","1.9","4.9"
"Imatra Teppanala","2024","3","9","02:00","2.8","6.4"
"Imatra Teppanala","2024","3","9","03:00","3.5","8.1"
"Imatra Teppanala","2024","3","9","04:00","3.4","7.7"
"Imatra Teppanala","2024","3","9","05:00","3.7","8.7"
"Imatra Teppanala","2024","3","9","06:00","3","11.8"
"Imatra Teppanala","2024","3","9","07:00","5.7","24.5"
"Imatra Teppanala","2024","3","9","08:00","3.6","18"
"Imatra Teppanala","2024","3","9","09:00","1.7","11.6"
"Imatra Teppanala","2024","3","9","10:00","2.6","6.3"
"Imatra Teppanala","2024","3","9","11:00","2.6","7.4"
"Imatra Teppanala","2024","3","9","12:00","2.6","6.4"
"Imatra Teppanala","2024","3","9","13:00","2.9","6.7"
"Imatra Teppanala","2024","3","9","14:00","4.5","9.5"
"Imatra Teppanala","2024","3","9","15:00","3","7.3"
"Imatra Teppanala","2024","3","9","16:00","2.4","4.5"
"Imatra Teppanala","2024","3","9","17:00","2.8","5"
"Imatra Teppanala","2024","3","9","18:00","3.9","6.1"
"Imatra Teppanala","2024","3","9","19:00","3.1","9.2"
"Imatra Teppanala","2024","3","9","20:00","5.4","14.3"
"Imatra Teppanala","2024","3","9","21:00","3.5","8.9"
"Imatra Teppanala","2024","3","9","22:00","3","6.5"
"Imatra Teppanala","2024","3","9","23:00","2.2","4.5"
"Imatra Teppanala","2024","3","10","00:00","2.2","4.8"
"Imatra Teppanala","2024","3","10","01:00","2.8","5.5"
"Imatra Teppanala","2024","3","10","02:00","2.6","5.1"
"Imatra Teppanala","2024","3","10","03:00","3.5","7.6"
"Imatra Teppanala","2024","3","10","04:00","4.4","8.4"
"Imatra Teppanala","2024","3","10","05:00","4.4","7"
"Imatra Teppanala","2024","3","10","06:00","3.7","9.1"
"Imatra Teppanala","2024","3","10","07:00","3.3","6.7"
"Imatra Teppanala","2024","3","10","08:00","3.3","5.8"
"Imatra Teppanala","2024","3","10","09:00","4.1","7.3"
"Imatra Teppanala","2024","3","10","10:00","2.5","5.6"
"Imatra Teppanala","2024","3","10","11:00","2.5","5.5"
"Imatra Teppanala","2024","3","10","12:00","3","5.7"
"Imatra Teppanala","2024","3","10","13:00","2.9","5.4"
"Imatra Teppanala","2024","3","10","14:00","2.6","5.4"
"Imatra Teppanala","2024","3","10","15:00","2.9","5.9"
"Imatra Teppanala","2024","3","10","16:00","3.2","6"
"Imatra Teppanala","2024","3","10","17:00","5","12.4"
"Imatra Teppanala","2024","3","10","18:00","3.9","8.1"
"Imatra Teppanala","2024","3","10","19:00","3.1","6.9"
"Imatra Teppanala","2024","3","10","20:00","3.6","8.8"
"Imatra Teppanala","2024","3","10","21:00","3.3","7.6"
"Imatra Teppanala","2024","3","10","22:00","4.1","13.8"
"Imatra Teppanala","2024","3","10","23:00","3.7","6.4"
"Imatra Teppanala","2024","3","11","00:00","3.2","4.9"
"Imatra Teppanala","2024","3","11","01:00","3.2","4.9"
"Imatra Teppanala","2024","3","11","02:00","2.9","4.8"
"Imatra Teppanala","2024","3","11","03:00","2.7","4.7"
"Imatra Teppanala","2024","3","11","04:00","2.5","5.9"
"Imatra Teppanala","2024","3","11","05:00","2.8","5.2"
"Imatra Teppanala","2024","3","11","06:00","3.4","8.5"
"Imatra Teppanala","2024","3","11","07:00","3.3","13.4"
"Imatra Teppanala","2024","3","11","08:00","2.1","14.1"
"Imatra Teppanala","2024","3","11","09:00","2.4","13.2"
"Imatra Teppanala","2024","3","11","10:00","2.5","8.7"
"Imatra Teppanala","2024","3","11","11:00","2.5","9.3"
"Imatra Teppanala","2024","3","11","12:00","2.8","7.9"
"Imatra Teppanala","2024","3","11","13:00","1.8","7.5"
"Imatra Teppanala","2024","3","11","14:00","2.2","6.4"
"Imatra Teppanala","2024","3","11","15:00","2.5","6.1"
"Imatra Teppanala","2024","3","11","16:00","3.5","12.2"
"Imatra Teppanala","2024","3","11","17:00","7.9","57.8"
"Imatra Teppanala","2024","3","11","18:00","6.7","43.8"
"Imatra Teppanala","2024","3","11","19:00","7.9","36.8"
"Imatra Teppanala","2024","3","11","20:00","9.4","27.6"
"Imatra Teppanala","2024","3","11","21:00","7.5","17.1"
"Imatra Teppanala","2024","3","11","22:00","13.3","30.6"
"Imatra Teppanala","2024","3","11","23:00","9.4","14.7"
"Imatra Teppanala","2024","3","12","00:00","7","10.2"
"Imatra Teppanala","2024","3","12","01:00","6.8","17.7"
"Imatra Teppanala","2024","3","12","02:00","7.7","17.9"
"Imatra Teppanala","2024","3","12","03:00","7.5","13.3"
"Imatra Teppanala","2024","3","12","04:00","6.5","23.9"
"Imatra Teppanala","2024","3","12","05:00","5.6","27.4"
"Imatra Teppanala","2024","3","12","06:00","8.6","57.7"
"Imatra Teppanala","2024","3","12","07:00","14.4","89.7"
"Imatra Teppanala","2024","3","12","08:00","27","65.8"
"Imatra Teppanala","2024","3","12","09:00","19.8","39.7"
"Imatra Teppanala","2024","3","12","10:00","11.2","22.6"
"Imatra Teppanala","2024","3","12","11:00","4.2","11"
"Imatra Teppanala","2024","3","12","12:00","4.9","10.4"
"Imatra Teppanala","2024","3","12","13:00","3.9","8.6"
"Imatra Teppanala","2024","3","12","14:00","5.1","8.2"
"Imatra Teppanala","2024","3","12","15:00","3.4","8.6"
"Imatra Teppanala","2024","3","12","16:00","3.7","7.9"
"Imatra Teppanala","2024","3","12","17:00","3.5","17.3"
"Imatra Teppanala","2024","3","12","18:00","6","18.2"
"Imatra Teppanala","2024","3","12","19:00","7.5","31.5"
"Imatra Teppanala","2024","3","12","20:00","10","47.5"
"Imatra Teppanala","2024","3","12","21:00","9.4","39.4"
"Imatra Teppanala","2024","3","12","22:00","13","33.6"
"Imatra Teppanala","2024","3","12","23:00","10.9","16.9"
"Imatra Teppanala","2024","3","13","00:00","6.2","11.9"
"Imatra Teppanala","2024","3","13","01:00","6.7","12.8"
"Imatra Teppanala","2024","3","13","02:00","6.6","11.3"
"Imatra Teppanala","2024","3","13","03:00","7.9","11.4"
"Imatra Teppanala","2024","3","13","04:00","9.4","16.5"
"Imatra Teppanala","2024","3","13","05:00","10.4","28.7"
"Imatra Teppanala","2024","3","13","06:00","13","61.4"
"Imatra Teppanala","2024","3","13","07:00","11.7","48.4"
"Imatra Teppanala","2024","3","13","08:00","8.4","23"
"Imatra Teppanala","2024","3","13","09:00","25.8","36.5"
"Imatra Teppanala","2024","3","13","10:00","11.6","27.1"
"Imatra Teppanala","2024","3","13","11:00","11","17.8"
"Imatra Teppanala","2024","3","13","12:00","18.4","24.1"
"Imatra Teppanala","2024","3","13","13:00","13.9","24.5"
"Imatra Teppanala","2024","3","13","14:00","20.1","24.9"
"Imatra Teppanala","2024","3","13","15:00","12.4","20.4"
"Imatra Teppanala","2024","3","13","16:00","8.9","14.5"
"Imatra Teppanala","2024","3","13","17:00","9.1","14.5"
"Imatra Teppanala","2024","3","13","18:00","9.8","14.9"
"Imatra Teppanala","2024","3","13","19:00","10.8","16.3"
"Imatra Teppanala","2024","3","13","20:00","10.8","16"
"Imatra Teppanala","2024","3","13","21:00","10.5","15.7"
"Imatra Teppanala","2024","3","13","22:00","11.1","14.2"
"Imatra Teppanala","2024","3","13","23:00","11.1","14.2"
"Imatra Teppanala","2024","3","14","00:00","10.7","13.5"
"Imatra Teppanala","2024","3","14","01:00","10.2","12.7"
"Imatra Teppanala","2024","3","14","02:00","9","11"
"Imatra Teppanala","2024","3","14","03:00","11","11.5"
"Imatra Teppanala","2024","3","14","04:00","10.2","12.1"
"Imatra Teppanala","2024","3","14","05:00","9","10.9"
"Imatra Teppanala","2024","3","14","06:00","11.1","11.6"
"Imatra Teppanala","2024","3","14","07:00","10.1","12"
"Imatra Teppanala","2024","3","14","08:00","11.1","12.2"
"Imatra Teppanala","2024","3","14","09:00","14.6","15.8"
"Imatra Teppanala","2024","3","14","10:00","15.5","18.2"
"Imatra Teppanala","2024","3","14","11:00","13.5","16"
"Imatra Teppanala","2024","3","14","12:00","13.7","16.1"
"Imatra Teppanala","2024","3","14","13:00","9.9","13.6"
"Imatra Teppanala","2024","3","14","14:00","10.5","13.1"
"Imatra Teppanala","2024","3","14","15:00","8.7","10.9"
"Imatra Teppanala","2024","3","14","16:00","8.7","10.2"
"Imatra Teppanala","2024","3","14","17:00","7.4","10.2"
"Imatra Teppanala","2024","3","14","18:00","5.9","7.6"
"Imatra Teppanala","2024","3","14","19:00","4.9","5.8"
"Imatra Teppanala","2024","3","14","20:00","5.1","7.2"
"Imatra Teppanala","2024","3","14","21:00","2.3","4.4"
"Imatra Teppanala","2024","3","14","22:00","2","3.4"
"Imatra Teppanala","2024","3","14","23:00","2.9","4.4"
"Imatra Teppanala","2024","3","15","00:00","4.1","5.3"
"Imatra Teppanala","2024","3","15","01:00","3.3","6.1"
"Imatra Teppanala","2024","3","15","02:00","4.2","5.5"
"Imatra Teppanala","2024","3","15","03:00","4.9","7.5"
"Imatra Teppanala","2024","3","15","04:00","5.1","6.4"
"Imatra Teppanala","2024","3","15","05:00","2.8","5.8"
"Imatra Teppanala","2024","3","15","06:00","2.6","4.2"
"Imatra Teppanala","2024","3","15","07:00","7.7","11.5"
"Imatra Teppanala","2024","3","15","08:00","11.5","15.2"
"Imatra Teppanala","2024","3","15","09:00","11.8","19.1"
"Imatra Teppanala","2024","3","15","10:00","4.4","13.3"
"Imatra Teppanala","2024","3","15","11:00","10","14.4"
"Imatra Teppanala","2024","3","15","12:00","7.2","12.5"
"Imatra Teppanala","2024","3","15","13:00","7","9.5"
"Imatra Teppanala","2024","3","15","14:00","6","8.2"
"Imatra Teppanala","2024","3","15","15:00","3.9","5.3"
"Imatra Teppanala","2024","3","15","16:00","4","5"
"Imatra Teppanala","2024","3","15","17:00","4.7","5.9"
"Imatra Teppanala","2024","3","15","18:00","4.3","5.1"
"Imatra Teppanala","2024","3","15","19:00","4.7","5.9"
"Imatra Teppanala","2024","3","15","20:00","3.7","5"
"Imatra Teppanala","2024","3","15","21:00","3.3","4.6"
"Imatra Teppanala","2024","3","15","22:00","2.8","4"
"Imatra Teppanala","2024","3","15","23:00","7.4","8.3"
"Imatra Teppanala","2024","3","16","00:00","11.4","-"
"Imatra Teppanala","2024","3","16","01:00","11.8","-"
"Imatra Teppanala","2024","3","16","02:00","12.3","-"
"Imatra Teppanala","2024","3","16","03:00","12.6","-"
"Imatra Teppanala","2024","3","16","04:00","13.1","-"
"Imatra Teppanala","2024","3","16","05:00","13.3","-"
"Imatra Teppanala","2024","3","16","06:00","15","-"
"Imatra Teppanala","2024","3","16","07:00","22.5","-"
"Imatra Teppanala","2024","3","16","08:00","16.8","-"
"Imatra Teppanala","2024","3","16","09:00","20.1","-"
"Imatra Teppanala","2024","3","16","10:00","17.5","-"
"Imatra Teppanala","2024","3","16","11:00","18.3","-"
"Imatra Teppanala","2024","3","16","12:00","18.1","-"
"Imatra Teppanala","2024","3","16","13:00","14.1","-"
