"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Suhteellisen kosteuden keskiarvo [%]","Keskituulen nopeus [m/s]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]"
"Lappeenranta Lepola","2024","3","5","00:00","-1.8","-1.6","-2","87","-","-","-","-","0","1031.8"
"Lappeenranta Lepola","2024","3","5","01:00","-2","-1.9","-2.1","85","-","-","-","-","0","1032.1"
"Lappeenranta Lepola","2024","3","5","02:00","-2.3","-2","-2.5","83","-","-","-","-","0","1032.3"
"Lappeenranta Lepola","2024","3","5","03:00","-2.9","-2.5","-3.2","86","-","-","-","-","0","1032.6"
"Lappeenranta Lepola","2024","3","5","04:00","-3.5","-3.2","-3.7","88","-","-","-","-","0","1032.8"
"Lappeenranta Lepola","2024","3","5","05:00","-3.9","-3.7","-4.1","87","-","-","-","-","0","1033.3"
"Lappeenranta Lepola","2024","3","5","06:00","-4.1","-4","-4.2","87","-","-","-","-","0","1033.7"
"Lappeenranta Lepola","2024","3","5","07:00","-3.7","-3.3","-4","84","-","-","-","-","0","1033.9"
"Lappeenranta Lepola","2024","3","5","08:00","-2.6","-1.7","-3.3","77","-","-","-","-","0","1033.8"
"Lappeenranta Lepola","2024","3","5","09:00","-1.7","-1.3","-2","72","-","-","-","-","0","1034.2"
"Lappeenranta Lepola","2024","3","5","10:00","-1","-0.5","-1.4","66","-","-","-","-","0","1034.3"
"Lappeenranta Lepola","2024","3","5","11:00","-0.5","-0.4","-0.7","66","-","-","-","-","0","1034.1"
"Lappeenranta Lepola","2024","3","5","12:00","-0.1","0.1","-0.4","64","-","-","-","-","0","1034"
"Lappeenranta Lepola","2024","3","5","13:00","0.2","0.4","0","61","-","-","-","-","0","1033.8"
"Lappeenranta Lepola","2024","3","5","14:00","0.4","0.5","0.4","59","-","-","-","-","0","1033.6"
"Lappeenranta Lepola","2024","3","5","15:00","0.4","0.5","0.2","59","-","-","-","-","0","1033.4"
"Lappeenranta Lepola","2024","3","5","16:00","-0.2","0.4","-0.9","62","-","-","-","-","0","1033.5"
"Lappeenranta Lepola","2024","3","5","17:00","-1","-0.6","-1.3","66","-","-","-","-","0","1033.6"
"Lappeenranta Lepola","2024","3","5","18:00","-1.9","-1.2","-2.2","71","-","-","-","-","0","1033.7"
"Lappeenranta Lepola","2024","3","5","19:00","-2.3","-2.1","-2.5","74","-","-","-","-","0","1033.8"
"Lappeenranta Lepola","2024","3","5","20:00","-3.1","-2.4","-3.4","78","-","-","-","-","0","1033.9"
"Lappeenranta Lepola","2024","3","5","21:00","-3.6","-3.4","-3.8","79","-","-","-","-","0","1033.9"
"Lappeenranta Lepola","2024","3","5","22:00","-4.4","-3.7","-4.7","82","-","-","-","-","0","1033.8"
"Lappeenranta Lepola","2024","3","5","23:00","-4.5","-4.3","-4.8","82","-","-","-","-","0","1033.7"
"Lappeenranta Lepola","2024","3","6","00:00","-4.7","-4.6","-4.8","81","-","-","-","-","0","1033.6"
"Lappeenranta Lepola","2024","3","6","01:00","-5.2","-3.9","-5.7","82","-","-","-","-","0","1033.5"
"Lappeenranta Lepola","2024","3","6","02:00","-3.7","-3.2","-4.3","73","-","-","-","-","0","1033.3"
"Lappeenranta Lepola","2024","3","6","03:00","-4.8","-4.1","-5.3","76","-","-","-","-","0","1033.3"
"Lappeenranta Lepola","2024","3","6","04:00","-5.6","-5.3","-6","79","-","-","-","-","0","1033.4"
"Lappeenranta Lepola","2024","3","6","05:00","-5.9","-5.5","-6.2","79","-","-","-","-","0","1033.1"
"Lappeenranta Lepola","2024","3","6","06:00","-5.5","-4.7","-6","79","-","-","-","-","0","1032.8"
"Lappeenranta Lepola","2024","3","6","07:00","-4.3","-3.6","-4.7","75","-","-","-","-","0","1032.4"
"Lappeenranta Lepola","2024","3","6","08:00","-2.9","-2.1","-3.6","72","-","-","-","-","0","1032.1"
"Lappeenranta Lepola","2024","3","6","09:00","-1.2","-0.4","-2","68","-","-","-","-","0","1031.7"
"Lappeenranta Lepola","2024","3","6","10:00","0.1","0.7","-0.4","66","-","-","-","-","0","1031.3"
"Lappeenranta Lepola","2024","3","6","11:00","1.3","2.1","0.8","62","-","-","-","-","0","1030.8"
"Lappeenranta Lepola","2024","3","6","12:00","2.8","3.2","2.1","54","-","-","-","-","0","1030.1"
"Lappeenranta Lepola","2024","3","6","13:00","3.5","3.7","3.2","50","-","-","-","-","0","1029.5"
"Lappeenranta Lepola","2024","3","6","14:00","3.7","3.8","3.5","50","-","-","-","-","0","1029.1"
"Lappeenranta Lepola","2024","3","6","15:00","3.1","3.5","2.6","53","-","-","-","-","0","1029"
"Lappeenranta Lepola","2024","3","6","16:00","0.8","2.6","-1.3","66","-","-","-","-","0","1029.2"
"Lappeenranta Lepola","2024","3","6","17:00","-2.1","-1.3","-2.8","80","-","-","-","-","0","1029.5"
"Lappeenranta Lepola","2024","3","6","18:00","-3.3","-2.8","-4","84","-","-","-","-","0","1029.5"
"Lappeenranta Lepola","2024","3","6","19:00","-4.3","-4","-4.6","87","-","-","-","-","0","1029.6"
"Lappeenranta Lepola","2024","3","6","20:00","-4.9","-4.6","-5","89","-","-","-","-","0","1029.6"
"Lappeenranta Lepola","2024","3","6","21:00","-4.9","-4.8","-5","90","-","-","-","-","0","1029.6"
"Lappeenranta Lepola","2024","3","6","22:00","-4.9","-4.8","-5","90","-","-","-","-","0","1029.5"
"Lappeenranta Lepola","2024","3","6","23:00","-4.8","-4.6","-5","91","-","-","-","-","0","1029.5"
"Lappeenranta Lepola","2024","3","7","00:00","-4.6","-4.5","-4.7","91","-","-","-","-","0","1029.3"
"Lappeenranta Lepola","2024","3","7","01:00","-4.5","-4.4","-4.5","91","-","-","-","-","0","1029.2"
"Lappeenranta Lepola","2024","3","7","02:00","-4.5","-4.4","-4.6","93","-","-","-","-","0","1028.9"
"Lappeenranta Lepola","2024","3","7","03:00","-4.6","-4.5","-4.6","94","-","-","-","-","0","1028.6"
"Lappeenranta Lepola","2024","3","7","04:00","-4.5","-4.4","-4.5","95","-","-","-","-","0","1028.6"
"Lappeenranta Lepola","2024","3","7","05:00","-4.4","-4.3","-4.5","95","-","-","-","-","0","1028.3"
"Lappeenranta Lepola","2024","3","7","06:00","-4.3","-4.2","-4.5","94","-","-","-","-","0","1028.1"
"Lappeenranta Lepola","2024","3","7","07:00","-4.2","-3.9","-4.4","94","-","-","-","-","0","1028.3"
"Lappeenranta Lepola","2024","3","7","08:00","-3.7","-3.4","-3.9","91","-","-","-","-","0","1028"
"Lappeenranta Lepola","2024","3","7","09:00","-3.2","-2.8","-3.5","90","-","-","-","-","0","1027.7"
"Lappeenranta Lepola","2024","3","7","10:00","-2.6","-2.3","-2.9","89","-","-","-","-","0","1027.4"
"Lappeenranta Lepola","2024","3","7","11:00","-2","-1.7","-2.3","87","-","-","-","-","0","1027.2"
"Lappeenranta Lepola","2024","3","7","12:00","-1.5","-1.3","-1.9","85","-","-","-","-","0","1026.8"
"Lappeenranta Lepola","2024","3","7","13:00","-1","-0.8","-1.3","85","-","-","-","-","0","1026.2"
"Lappeenranta Lepola","2024","3","7","14:00","-0.6","-0.4","-0.8","84","-","-","-","-","0","1025.8"
"Lappeenranta Lepola","2024","3","7","15:00","-0.3","-0.3","-0.4","85","-","-","-","-","0","1025.3"
"Lappeenranta Lepola","2024","3","7","16:00","-0.2","-0.1","-0.3","87","-","-","-","-","0","1025"
"Lappeenranta Lepola","2024","3","7","17:00","-0.4","-0.3","-0.4","89","-","-","-","-","0","1024.7"
"Lappeenranta Lepola","2024","3","7","18:00","-0.7","-0.4","-0.9","93","-","-","-","-","0","1024.3"
"Lappeenranta Lepola","2024","3","7","19:00","-0.9","-0.8","-1.1","90","-","-","-","-","0","1024.1"
"Lappeenranta Lepola","2024","3","7","20:00","-1.1","-1","-1.4","87","-","-","-","-","0","1023.9"
"Lappeenranta Lepola","2024","3","7","21:00","-1.7","-1.4","-2","89","-","-","-","-","0","1023.7"
"Lappeenranta Lepola","2024","3","7","22:00","-2.1","-2","-2.2","91","-","-","-","-","0","1023.2"
"Lappeenranta Lepola","2024","3","7","23:00","-2.3","-2.1","-2.4","90","-","-","-","-","0","1023.3"
"Lappeenranta Lepola","2024","3","8","00:00","-2.6","-2.4","-2.6","93","-","-","-","-","0","1023.4"
"Lappeenranta Lepola","2024","3","8","01:00","-2.6","-2.5","-2.7","94","-","-","-","-","0","1023.4"
"Lappeenranta Lepola","2024","3","8","02:00","-2.4","-2.3","-2.6","88","-","-","-","-","0","1023.3"
"Lappeenranta Lepola","2024","3","8","03:00","-2.4","-2.1","-2.6","93","-","-","-","-","0","1023.2"
"Lappeenranta Lepola","2024","3","8","04:00","-2","-1.9","-2.1","90","-","-","-","-","0","1023.4"
"Lappeenranta Lepola","2024","3","8","05:00","-2","-1.9","-2.1","89","-","-","-","-","0","1023.7"
"Lappeenranta Lepola","2024","3","8","06:00","-2.1","-2","-2.1","89","-","-","-","-","0","1023.9"
"Lappeenranta Lepola","2024","3","8","07:00","-2.2","-2.1","-2.4","88","-","-","-","-","0","1024.3"
"Lappeenranta Lepola","2024","3","8","08:00","-2.3","-2.2","-2.4","88","-","-","-","-","0","1024.6"
