geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (596623.9574692943 6781640.816879059 0, 596663.3547286113 6781612.03249097 0, 596851.5499226127 6781508.105476527 0)",102008285.0,102008200.0,2024-04-16 14:07:00+00:00,2024-04-16 14:07:54+00:00,['BRUSHING'],2024-04-16 14:04:56+00:00,2024-04-16 14:05:51+00:00,125.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (596851.5499226127 6781508.105476527 0, 596995.302443065 6781411.098185505 0, 597027.4633689716 6781396.940062497 0)",102008354.0,102008285.0,2024-04-16 14:08:00+00:00,2024-04-16 14:08:55+00:00,['BRUSHING'],2024-04-16 14:05:51+00:00,2024-04-16 14:06:23+00:00,101.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (597027.4633689716 6781396.940062497 0, 597032.9194439342 6781396.31040362 0)",102008422.0,102008354.0,2024-04-16 14:09:00+00:00,2024-04-16 14:09:56+00:00,['BRUSHING'],2024-04-16 14:06:23+00:00,2024-04-16 14:07:47+00:00,101.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (597032.9194439342 6781396.31040362 0, 597028.9053552102 6781395.419628493 0)",102008521.0,102008422.0,2024-04-16 14:10:00+00:00,2024-04-16 14:10:56+00:00,['BRUSHING'],2024-04-16 14:07:47+00:00,2024-04-16 14:08:55+00:00,307.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (597028.9053552102 6781395.419628493 0, 597032.3291684442 6781398.188647118 0, 597010.0760542898 6781402.590033916 0, 596923.6928213838 6781461.614434827 0)",102008628.0,102008521.0,2024-04-16 14:11:00+00:00,2024-04-16 14:11:57+00:00,['BRUSHING'],2024-04-16 14:08:55+00:00,2024-04-16 14:09:53+00:00,296.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (596923.6928213838 6781461.614434827 0, 596749.8558726262 6781566.043937997 0)",102008702.0,102008628.0,2024-04-16 14:12:00+00:00,2024-04-16 14:12:58+00:00,['BRUSHING'],2024-04-16 14:09:53+00:00,2024-04-16 14:10:54+00:00,315.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (596749.8558726262 6781566.043937997 0, 596602.6626995314 6781655.499735683 0, 596586.1939522452 6781682.685227322 0)",102008795.0,102008702.0,2024-04-16 14:13:00+00:00,2024-04-16 14:13:58+00:00,['BRUSHING'],2024-04-16 14:10:54+00:00,2024-04-16 14:11:57+00:00,333.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (596598.1713087596 6781638.660154421 0, 596878.8897642946 6781473.419448124 0, 597008.5496135238 6781372.01277067 0, 597120.3766771427 6781269.226902811 0, 597226.317372323 6781143.881807459 0, 597275.3631983623 6781070.347687144 0)",102009567.0,102009452.0,2024-04-16 14:22:00+00:00,2024-04-16 14:22:05+00:00,['BRUSHING'],2024-04-16 14:20:00+00:00,2024-04-16 14:20:57+00:00,328.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (597275.3631983623 6781070.347687144 0, 597291.9606739599 6781068.020396208 0, 597294.2974175706 6781077.000396358 0, 597233.4646933872 6781171.717001813 0)",102009635.0,102009567.0,2024-04-16 14:23:00+00:00,2024-04-16 14:23:05+00:00,['BRUSHING'],2024-04-16 14:20:57+00:00,2024-04-16 14:22:00+00:00,330.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (597233.4646933872 6781171.717001813 0, 597183.2741167011 6781243.882714182 0, 597144.0944595149 6781270.327286252 0, 597088.7149777438 6781329.646580057 0)",102009725.0,102009635.0,2024-04-16 14:24:00+00:00,2024-04-16 14:24:06+00:00,['BRUSHING'],2024-04-16 14:22:00+00:00,2024-04-16 14:22:58+00:00,141.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (597088.7149777438 6781329.646580057 0, 597062.4654567409 6781377.399911772 0, 597069.9321603307 6781366.35018493 0)",102009798.0,102009725.0,2024-04-16 14:25:00+00:00,2024-04-16 14:25:07+00:00,['BRUSHING'],2024-04-16 14:22:58+00:00,2024-04-16 14:23:54+00:00,151.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (597069.9321603307 6781366.35018493 0, 597064.4132388516 6781375.113345727 0, 597086.0048053976 6781340.047393464 0)",102009857.0,102009798.0,2024-04-16 14:26:00+00:00,2024-04-16 14:26:07+00:00,['BRUSHING'],2024-04-16 14:23:54+00:00,2024-04-16 14:24:53+00:00,142.0,state-roads,Harja/Väylävirasto,True,False,False
