pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
535;kt62_Imatra_raja1;20240305;*;;*;;;;;;3;27;41;5;3;4;7;6;3;9;22;8;2;15;21;;1;;;177
535;kt62_Imatra_raja1;20240306;*;;*;;;2;;;3;27;29;11;2;6;6;3;7;4;19;10;4;21;9;1;3;2;;169
535;kt62_Imatra_raja1;20240307;*;;*;;;;;;2;27;34;5;7;2;12;6;3;14;18;8;3;6;12;1;;2;;162
535;kt62_Imatra_raja1;20240308;*;;*;;1;;;;1;16;13;10;5;2;5;3;2;18;7;5;9;11;6;1;3;;1;119
535;kt62_Imatra_raja1;20240309;*;;*;;;;;;;17;11;1;2;2;1;;1;2;2;2;3;9;8;3;1;;;65
535;kt62_Imatra_raja1;20240310;*;;*;;;;;;;12;8;1;2;3;2;3;3;3;2;1;2;8;9;4;;;;63
535;kt62_Imatra_raja1;20240311;*;;*;;;;;;2;19;28;6;;4;7;3;2;9;10;21;4;8;6;;1;;1;131
535;kt62_Imatra_raja1;20240312;*;;*;;;;;;4;26;27;3;1;6;3;2;1;18;2;9;5;8;8;;1;;;124
535;kt62_Imatra_raja1;20240313;*;;*;;;;;;2;19;25;14;9;;8;4;12;3;3;19;1;7;9;3;;;;138
535;kt62_Imatra_raja1;20240314;*;;*;;;;;;2;19;27;3;5;3;6;3;5;8;26;6;2;8;6;1;2;;;132
535;kt62_Imatra_raja1;20240315;*;;*;;;;;;1;27;31;6;5;1;7;12;9;12;19;4;3;10;6;1;2;2;;158
535;kt62_Imatra_raja1;20240316;*;;*;1;;;;;1;13;8;;1;1;2;3;6;1;1;2;3;9;10;;2;2;;66
535;kt62_Imatra_raja1;20240317;*;;*;;;;;;;17;8;2;2;5;6;1;2;2;1;;3;7;17;3;1;;1;78
535;kt62_Imatra_raja1;20240318;*;;*;;;;;;1;18;41;6;5;;7;4;5;7;12;13;6;12;11;2;1;;2;153
535;kt62_Imatra_raja1;20240319;*;;*;;;;;;1;23;33;4;1;7;8;3;2;5;6;18;4;11;9;3;1;;;139
535;kt62_Imatra_raja1;20240320;*;;*;;;;;;1;14;28;9;;3;5;4;3;10;6;20;;9;6;2;;1;;121
535;kt62_Imatra_raja1;20240321;*;;*;;;;;;1;16;31;4;1;4;5;2;2;9;14;4;8;11;10;2;4;1;;129
535;kt62_Imatra_raja1;20240322;*;;*;;;;;;;13;17;3;4;2;3;10;2;9;10;4;;12;5;2;;;;96
535;kt62_Imatra_raja1;20240323;*;;*;;;;;;;17;5;;;5;2;3;;2;;4;;10;8;1;2;1;;60
535;kt62_Imatra_raja1;20240324;*;;*;1;;;;;;16;5;;2;;1;1;;2;1;2;;12;8;;2;;1;54
535;kt62_Imatra_raja1;20240325;*;;*;1;;;;;1;14;19;4;3;;6;1;1;5;11;2;3;9;5;1;;1;;87
535;kt62_Imatra_raja1;20240326;*;;*;;;;;;1;17;14;9;6;3;5;4;2;6;7;3;3;15;10;3;1;;2;111
535;kt62_Imatra_raja1;20240327;*;;*;;;;;;1;17;20;4;4;1;5;6;10;4;3;2;4;12;10;;;1;;104
535;kt62_Imatra_raja1;20240328;*;;*;;;;;;;18;14;2;6;4;13;4;3;9;7;1;3;8;13;1;;;;106
535;kt62_Imatra_raja1;20240329;*;;*;;;;;;;15;9;;2;2;2;2;1;;3;3;1;9;13;2;1;1;;66
535;kt62_Imatra_raja1;20240330;*;;*;;;;;;;16;6;;1;3;5;1;;4;2;1;3;13;8;;;;2;65
535;kt62_Imatra_raja1;20240331;*;;*;;;;;;;16;10;1;1;1;3;3;3;3;3;2;4;13;7;;;;;70
535;kt62_Imatra_raja1;20240401;*;;*;;;;;;;19;6;;2;3;4;1;3;2;4;1;2;17;7;;4;;;75
535;kt62_Imatra_raja1;20240402;*;;*;;;;;;1;19;21;6;10;7;10;6;3;10;13;10;3;8;9;1;1;1;;139
535;kt62_Imatra_raja1;20240403;*;;*;;;;;;1;17;18;8;6;5;6;3;3;12;7;6;5;8;7;3;1;;;116
535;kt62_Imatra_raja1;20240404;*;;*;;;;;;;16;25;9;4;6;5;4;7;14;8;8;5;9;3;1;;;;124
535;kt62_Imatra_raja1;20240405;*;;*;;;;;;;18;13;7;2;2;3;6;6;11;7;4;3;8;6;1;2;2;;101
535;kt62_Imatra_raja1;20240406;*;;*;;;;;;1;15;9;3;1;1;5;6;1;2;4;1;3;11;7;;1;;;71
535;kt62_Imatra_raja1;20240407;*;;*;;;;;;1;20;8;1;1;4;4;2;;6;1;1;1;10;10;3;2;3;;78
535;kt62_Imatra_raja1;20240408;*;;*;;;;;;6;39;25;9;6;5;5;6;;11;13;15;3;15;10;1;1;;;170
535;kt62_Imatra_raja1;20240409;*;;*;;;;;;5;22;32;10;6;6;10;2;1;13;10;18;4;14;10;2;;;;165
535;kt62_Imatra_raja1;20240410;*;;*;;;;;;5;24;43;8;5;15;11;5;2;12;16;13;4;14;6;1;;;;184
535;kt62_Imatra_raja1;20240411;*;;*;;;;;;5;22;35;7;3;7;7;11;6;11;17;18;9;13;14;2;;;;187
535;kt62_Imatra_raja1;20240412;*;;*;;;;;;;23;26;10;3;5;5;7;2;14;14;2;3;16;5;2;1;;;138
535;kt62_Imatra_raja1;20240413;*;;*;;;;;;;16;6;;2;2;1;;;;5;;2;13;9;2;1;;;59
535;kt62_Imatra_raja1;20240414;*;;*;;;;;;;21;5;2;;2;2;1;2;4;2;8;;14;11;3;;;;77
535;kt62_Imatra_raja1;20240415;*;;*;;;;;;2;24;39;3;3;2;7;2;5;15;10;16;14;12;4;2;;;1;161
535;kt62_Imatra_raja1;20240416;*;;*;;;;;;1;25;35;6;4;1;3;4;2;8;8;10;;28;7;;3;2;;147
535;kt62_Imatra_raja1;20240417;*;;*;;1;;;;1;24;29;14;2;2;6;2;10;7;19;7;1;21;7;3;;;1;157
535;kt62_Imatra_raja1;20240418;*;;*;2;;;;;1;21;47;5;8;3;10;6;2;18;26;16;;14;8;3;;;;190
535;kt62_Imatra_raja1;20240419;*;;*;;;;;;;18;25;1;2;5;5;4;9;11;9;4;2;11;9;2;1;;;118
535;kt62_Imatra_raja1;20240420;*;;*;;2;;;;;15;9;2;2;2;4;5;2;2;2;3;1;11;10;1;;;;73
535;kt62_Imatra_raja1;20240421;*;;*;;;;;;;22;7;;;2;3;2;8;;1;2;1;16;6;;;;;70
535;kt62_Imatra_raja1;20240422;*;;*;;;;;;2;27;32;5;3;4;6;6;3;8;13;15;5;11;6;3;;;1;150
535;kt62_Imatra_raja1;20240423;*;;*;;;;;;3;30;27;8;1;4;9;1;5;10;16;5;4;12;7;;1;1;;144
535;kt62_Imatra_raja1;20240424;*;;*;;;;;;3;23;19;8;3;3;6;5;7;11;16;12;7;8;6;1;;;;138
535;kt62_Imatra_raja1;20240425;*;;*;;;;;;2;21;21;16;6;3;3;7;6;12;34;21;2;11;9;;1;;;175
535;kt62_Imatra_raja1;20240426;*;;*;;;;;;1;20;27;7;3;5;8;5;10;15;14;6;5;12;8;;;;;146
535;kt62_Imatra_raja1;20240427;*;;*;;;;;;1;19;10;1;1;;3;2;1;2;4;4;1;13;13;;3;2;;80
535;kt62_Imatra_raja1;20240428;*;;*;;;;;;1;19;8;1;1;;6;5;2;2;2;1;2;18;15;1;;;;84
535;kt62_Imatra_raja1;20240429;*;;*;;;;;;5;17;32;4;2;1;4;7;8;8;17;4;6;13;6;1;;;;135
535;kt62_Imatra_raja1;20240430;*;;*;;;;;;4;17;26;13;4;10;10;7;6;11;16;3;1;14;3;1;1;;2;149
535;kt62_Imatra_raja1;20240501;*;;*;;;;;;1;16;7;3;1;;1;4;4;3;;2;2;14;4;2;;;;64
535;kt62_Imatra_raja1;20240502;*;;*;;;;;;2;19;16;8;6;3;11;11;20;14;12;2;1;15;5;1;;;;146
535;kt62_Imatra_raja1;20240503;*;;*;;;;;;1;18;11;9;8;4;8;2;11;14;5;4;4;10;5;2;;;1;117
535;kt62_Imatra_raja1;20240504;*;;*;;;;;;;16;7;1;2;;3;2;2;1;3;2;4;16;4;1;1;;;65
535;kt62_Imatra_raja1;20240505;*;;*;;;;;;;17;5;2;2;;9;6;3;1;;1;3;20;8;;;;;77
535;kt62_Imatra_raja1;20240506;*;;*;;;;;;15;17;21;10;3;8;3;7;5;6;9;19;6;15;5;1;;;;150
535;kt62_Imatra_raja1;20240507;*;;*;;;;;;11;25;20;8;5;2;9;6;2;7;19;5;15;17;5;4;;1;;161
535;kt62_Imatra_raja1;20240508;*;;*;;;;;;1;20;28;6;6;4;2;11;8;10;11;8;1;17;6;2;1;1;;143
535;kt62_Imatra_raja1;20240509;*;;*;;;;;;;19;9;8;;3;1;3;;1;1;10;2;15;5;4;;;;81
535;kt62_Imatra_raja1;20240510;*;;*;;;;;1;3;14;15;8;;2;8;3;;6;;9;2;17;4;;;;;92
535;kt62_Imatra_raja1;20240511;*;;*;;1;;;;;10;11;1;;;1;1;5;3;8;3;1;13;8;;2;;;68
535;kt62_Imatra_raja1;20240512;*;;*;;;;;;;13;8;;3;;3;1;1;5;;4;3;17;6;;;1;;65
535;kt62_Imatra_raja1;20240513;*;;*;;;;;1;2;19;24;11;5;4;7;4;3;10;12;8;3;13;6;2;1;2;;137
535;kt62_Imatra_raja1;20240514;*;;*;;;;;;1;12;18;6;8;5;4;4;3;8;6;3;4;13;4;1;1;;;101
535;kt62_Imatra_raja1;20240515;*;;*;;;;;;5;14;13;8;2;3;4;;5;12;6;3;8;8;3;2;;1;;97
535;kt62_Imatra_raja1;20240516;*;;*;;;;;2;3;19;16;9;3;4;7;4;2;16;7;6;3;10;7;;;;;118
535;kt62_Imatra_raja1;20240517;*;;*;;;;;;4;12;22;8;10;7;6;6;5;12;5;4;6;13;6;4;2;;;132
535;kt62_Imatra_raja1;20240518;*;;*;;;;;;;17;7;4;1;2;4;2;4;4;2;1;2;13;5;1;1;;1;71
535;kt62_Imatra_raja1;20240519;*;;*;;;;;;;16;6;;;;1;;5;1;4;;5;17;5;;2;1;;63
535;kt62_Imatra_raja1;20240520;*;;*;;;;;;2;25;18;3;3;12;4;5;1;9;7;12;7;;4;;;;;112
535;kt62_Imatra_raja1;20240521;*;;*;;;;;;;15;15;6;6;7;11;8;6;9;11;5;9;3;1;;;;;112
535;kt62_Imatra_raja1;20240522;*;;*;;;;;;;7;22;1;3;3;7;10;4;7;23;7;13;3;1;2;;1;;114
535;kt62_Imatra_raja1;20240523;*;;*;;;;;;;11;16;6;4;5;4;6;3;7;6;10;6;5;1;;;;;90
535;kt62_Imatra_raja1;20240524;*;;*;;;;;;;8;7;8;10;4;12;8;10;12;8;5;10;3;;;1;;;106
