"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]"
"Jyväskylä Hannikaisenkatu","2024","3","5","00:00","6.4","4.2"
"Jyväskylä Hannikaisenkatu","2024","3","5","01:00","4.8","3.8"
"Jyväskylä Hannikaisenkatu","2024","3","5","02:00","4.6","3.8"
"Jyväskylä Hannikaisenkatu","2024","3","5","03:00","4.4","3.5"
"Jyväskylä Hannikaisenkatu","2024","3","5","04:00","5.2","3.6"
"Jyväskylä Hannikaisenkatu","2024","3","5","05:00","5.7","3.9"
"Jyväskylä Hannikaisenkatu","2024","3","5","06:00","8.5","4.5"
"Jyväskylä Hannikaisenkatu","2024","3","5","07:00","13.6","5.5"
"Jyväskylä Hannikaisenkatu","2024","3","5","08:00","10.2","4.8"
"Jyväskylä Hannikaisenkatu","2024","3","5","09:00","5.6","2.8"
"Jyväskylä Hannikaisenkatu","2024","3","5","10:00","3.9","2"
"Jyväskylä Hannikaisenkatu","2024","3","5","11:00","2.6","1.3"
"Jyväskylä Hannikaisenkatu","2024","3","5","12:00","2.6","1.2"
"Jyväskylä Hannikaisenkatu","2024","3","5","13:00","2.3","1.1"
"Jyväskylä Hannikaisenkatu","2024","3","5","14:00","2.9","1.3"
"Jyväskylä Hannikaisenkatu","2024","3","5","15:00","5.6","1.8"
"Jyväskylä Hannikaisenkatu","2024","3","5","16:00","6.1","2.2"
"Jyväskylä Hannikaisenkatu","2024","3","5","17:00","25.3","6.7"
"Jyväskylä Hannikaisenkatu","2024","3","5","18:00","20.7","8.4"
"Jyväskylä Hannikaisenkatu","2024","3","5","19:00","20.9","8.7"
"Jyväskylä Hannikaisenkatu","2024","3","5","20:00","23.2","10"
"Jyväskylä Hannikaisenkatu","2024","3","5","21:00","22.6","8.8"
"Jyväskylä Hannikaisenkatu","2024","3","5","22:00","21.7","8.4"
"Jyväskylä Hannikaisenkatu","2024","3","5","23:00","18.7","7.6"
"Jyväskylä Hannikaisenkatu","2024","3","6","00:00","16","6.1"
"Jyväskylä Hannikaisenkatu","2024","3","6","01:00","12.5","4.9"
"Jyväskylä Hannikaisenkatu","2024","3","6","02:00","12","4.7"
"Jyväskylä Hannikaisenkatu","2024","3","6","03:00","17.5","8.1"
"Jyväskylä Hannikaisenkatu","2024","3","6","04:00","20.4","8.6"
"Jyväskylä Hannikaisenkatu","2024","3","6","05:00","26.7","9"
"Jyväskylä Hannikaisenkatu","2024","3","6","06:00","37.3","10.3"
"Jyväskylä Hannikaisenkatu","2024","3","6","07:00","41.2","10.2"
"Jyväskylä Hannikaisenkatu","2024","3","6","08:00","62.6","11.7"
"Jyväskylä Hannikaisenkatu","2024","3","6","09:00","27.6","5.9"
"Jyväskylä Hannikaisenkatu","2024","3","6","10:00","9.8","3.6"
"Jyväskylä Hannikaisenkatu","2024","3","6","11:00","6.3","3.2"
"Jyväskylä Hannikaisenkatu","2024","3","6","12:00","5","2.8"
"Jyväskylä Hannikaisenkatu","2024","3","6","13:00","6.1","3.2"
"Jyväskylä Hannikaisenkatu","2024","3","6","14:00","6.6","3.2"
"Jyväskylä Hannikaisenkatu","2024","3","6","15:00","5.8","3.1"
"Jyväskylä Hannikaisenkatu","2024","3","6","16:00","5.4","2.7"
"Jyväskylä Hannikaisenkatu","2024","3","6","17:00","6.1","2.8"
"Jyväskylä Hannikaisenkatu","2024","3","6","18:00","7","3.5"
"Jyväskylä Hannikaisenkatu","2024","3","6","19:00","6.1","3.5"
"Jyväskylä Hannikaisenkatu","2024","3","6","20:00","5.2","3.6"
"Jyväskylä Hannikaisenkatu","2024","3","6","21:00","5.6","3.9"
"Jyväskylä Hannikaisenkatu","2024","3","6","22:00","5.6","4.2"
"Jyväskylä Hannikaisenkatu","2024","3","6","23:00","6.2","4.9"
"Jyväskylä Hannikaisenkatu","2024","3","7","00:00","6.3","5"
"Jyväskylä Hannikaisenkatu","2024","3","7","01:00","6.4","4.9"
"Jyväskylä Hannikaisenkatu","2024","3","7","02:00","5.2","4.6"
"Jyväskylä Hannikaisenkatu","2024","3","7","03:00","5","4.3"
"Jyväskylä Hannikaisenkatu","2024","3","7","04:00","5","4.3"
"Jyväskylä Hannikaisenkatu","2024","3","7","05:00","6","5"
"Jyväskylä Hannikaisenkatu","2024","3","7","06:00","6.4","5.3"
"Jyväskylä Hannikaisenkatu","2024","3","7","07:00","8.3","5.4"
"Jyväskylä Hannikaisenkatu","2024","3","7","08:00","11.7","6.1"
"Jyväskylä Hannikaisenkatu","2024","3","7","09:00","8.6","5.4"
"Jyväskylä Hannikaisenkatu","2024","3","7","10:00","8.1","5.2"
"Jyväskylä Hannikaisenkatu","2024","3","7","11:00","5.9","3.9"
"Jyväskylä Hannikaisenkatu","2024","3","7","12:00","6","3.8"
"Jyväskylä Hannikaisenkatu","2024","3","7","13:00","5.6","4.2"
"Jyväskylä Hannikaisenkatu","2024","3","7","14:00","6.4","4.3"
"Jyväskylä Hannikaisenkatu","2024","3","7","15:00","5.3","4"
"Jyväskylä Hannikaisenkatu","2024","3","7","16:00","5.3","3.7"
"Jyväskylä Hannikaisenkatu","2024","3","7","17:00","5.5","3.7"
"Jyväskylä Hannikaisenkatu","2024","3","7","18:00","5.7","3.5"
"Jyväskylä Hannikaisenkatu","2024","3","7","19:00","5.7","3.5"
"Jyväskylä Hannikaisenkatu","2024","3","7","20:00","7.1","4.5"
"Jyväskylä Hannikaisenkatu","2024","3","7","21:00","5.4","3.6"
"Jyväskylä Hannikaisenkatu","2024","3","7","22:00","5.6","3.7"
"Jyväskylä Hannikaisenkatu","2024","3","7","23:00","5.3","3.8"
"Jyväskylä Hannikaisenkatu","2024","3","8","00:00","5.5","4"
"Jyväskylä Hannikaisenkatu","2024","3","8","01:00","7.6","6.4"
"Jyväskylä Hannikaisenkatu","2024","3","8","02:00","4.6","3.9"
"Jyväskylä Hannikaisenkatu","2024","3","8","03:00","4.7","3.6"
"Jyväskylä Hannikaisenkatu","2024","3","8","04:00","5.7","4.2"
"Jyväskylä Hannikaisenkatu","2024","3","8","05:00","9.9","4.8"
"Jyväskylä Hannikaisenkatu","2024","3","8","06:00","16","5.6"
