"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]","Alin lämpötila [°C]","Suhteellisen kosteuden keskiarvo [%]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Keskituulen nopeus [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]","Kovin puuska [m/s]"
"Jyväskylä lentoasema","2024","3","5","00:00","-3.4","-3.8","-5","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","01:00","-3.5","-4.2","-4.8","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","02:00","-4.6","-5.1","-5.9","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","03:00","-6","-7","-8.1","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","04:00","-6.3","-7.3","-7.9","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","05:00","-6.2","-7.8","-9.1","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","06:00","-6.6","-7.5","-8.8","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","07:00","-5.5","-6.3","-7.8","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","08:00","-4","-4.6","-5.5","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","09:00","-1.4","-2.4","-3.9","81","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","10:00","0.3","-0.5","-1.5","68","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","11:00","0.8","0.1","-0.3","60","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","12:00","1.8","0.8","0.3","58","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","13:00","2.9","1.7","0.9","56","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","14:00","2.8","2.2","1.5","55","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","15:00","2.9","0.9","-0.6","61","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","16:00","-0.6","-1.5","-3.4","71","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","17:00","-2.8","-3.3","-3.9","82","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","18:00","-3.5","-4.9","-5.8","87","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","19:00","-4.7","-6.1","-7.2","91","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","20:00","-6.4","-7.1","-8","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","21:00","-7.3","-7.9","-8.6","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","22:00","-8.3","-8.6","-9.2","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","5","23:00","-8.9","-9.6","-10.1","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","00:00","-9.8","-10.2","-10.7","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","01:00","-10.2","-10.5","-10.8","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","02:00","-10.7","-11","-11.9","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","03:00","-11","-11.4","-11.7","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","04:00","-10.4","-11.3","-11.8","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","05:00","-8.5","-10.8","-12.1","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","06:00","-8.7","-11.4","-12.5","89","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","07:00","-4","-7.4","-10.8","89","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","08:00","-3.1","-4.2","-5.1","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","09:00","-1.7","-2.9","-4.3","81","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","10:00","-1.1","-1.6","-2.3","78","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","11:00","-0.7","-1.1","-1.3","72","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","12:00","-0.4","-1","-1.4","70","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","13:00","-0.2","-0.4","-0.6","66","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","14:00","-0.3","-0.6","-1","69","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","15:00","-0.8","-1.2","-1.7","72","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","16:00","-1.5","-2.3","-3","77","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","17:00","-2.9","-3.9","-4.6","85","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","18:00","-3.4","-4","-5.2","91","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","19:00","-3.4","-3.5","-3.6","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","20:00","-3.5","-3.7","-3.9","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","21:00","-3.9","-4","-4.1","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","22:00","-4","-4.2","-4.2","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","6","23:00","-4.1","-4.2","-4.2","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","00:00","-4.1","-4.2","-4.3","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","01:00","-4.2","-4.2","-4.3","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","02:00","-4.2","-4.2","-4.3","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","03:00","-4.3","-4.3","-4.4","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","04:00","-4.3","-4.4","-4.5","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","05:00","-4.4","-4.5","-4.6","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","06:00","-4.5","-4.6","-4.7","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","07:00","-4.5","-4.6","-4.7","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","08:00","-4.5","-4.6","-4.7","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","09:00","-4.3","-4.4","-4.6","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","10:00","-4.1","-4.2","-4.4","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","11:00","-3.6","-3.9","-4.2","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","12:00","-3.3","-3.6","-3.8","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","13:00","-3","-3.3","-3.7","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","14:00","-3.1","-3.2","-3.4","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","15:00","-3","-3.3","-3.6","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","16:00","-3.5","-3.8","-4.1","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","17:00","-3.9","-4.2","-4.5","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","18:00","-4.4","-4.5","-4.7","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","19:00","-4.5","-4.6","-4.7","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","20:00","-4.5","-4.6","-4.7","97","-","-","-","0","-","-"
