"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]","Alin lämpötila [°C]","Suhteellisen kosteuden keskiarvo [%]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Keskituulen nopeus [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]","Kovin puuska [m/s]"
"Jyväskylä lentoasema AWOS","2024","3","5","00:00","-3.4","-4.7","-5.5","95","1.4","356","1","-","1033.8","2"
"Jyväskylä lentoasema AWOS","2024","3","5","01:00","-4.6","-5.1","-6.2","96","1.1","11","0.9","-","1034.2","1.4"
"Jyväskylä lentoasema AWOS","2024","3","5","02:00","-4.4","-5.9","-6.6","95","1.1","5","0.8","-","1034.6","1.6"
"Jyväskylä lentoasema AWOS","2024","3","5","03:00","-5.4","-6.4","-7.4","95","1.3","312","0.9","-","1034.8","1.5"
"Jyväskylä lentoasema AWOS","2024","3","5","04:00","-7","-8","-8.8","92","1.4","340","1.1","-","1035","1.8"
"Jyväskylä lentoasema AWOS","2024","3","5","05:00","-8","-8.3","-8.7","92","1.6","336","1.1","-","1035.3","2"
"Jyväskylä lentoasema AWOS","2024","3","5","06:00","-7.9","-8.4","-8.9","92","0.9","342","0.8","-","1035.8","1.2"
"Jyväskylä lentoasema AWOS","2024","3","5","07:00","-6.4","-7.5","-8.6","92","0.9","343","0.8","-","1035.9","1.3"
"Jyväskylä lentoasema AWOS","2024","3","5","08:00","-3.4","-5.2","-6.6","91","0.8","307","0.3","-","1035.8","0.8"
"Jyväskylä lentoasema AWOS","2024","3","5","09:00","-1.1","-1.7","-3.4","76","3.2","124","1.9","-","1035.8","3.9"
"Jyväskylä lentoasema AWOS","2024","3","5","10:00","0.1","-0.6","-1.2","66","2.8","136","1.9","-","1035.7","3.4"
"Jyväskylä lentoasema AWOS","2024","3","5","11:00","0.5","0.1","-0.2","60","3.5","140","2.4","-","1035.5","4.4"
"Jyväskylä lentoasema AWOS","2024","3","5","12:00","1.3","0.7","0.3","57","2.7","148","1.9","-","1035.2","2.8"
"Jyväskylä lentoasema AWOS","2024","3","5","13:00","1.7","1.2","0.7","57","2.3","156","1.8","-","1035","3.2"
"Jyväskylä lentoasema AWOS","2024","3","5","14:00","2.7","1.8","1.2","54","0.8","170","0.3","-","1034.9","1"
"Jyväskylä lentoasema AWOS","2024","3","5","15:00","2.6","2","0.7","54","0.4","343","0.3","-","1034.5","0.6"
"Jyväskylä lentoasema AWOS","2024","3","5","16:00","0.7","-1","-2.3","70","0.7","153","0.5","-","1034.4","1.6"
"Jyväskylä lentoasema AWOS","2024","3","5","17:00","-1.7","-3.1","-4.7","77","1.4","321","1.1","-","1034.6","1.6"
"Jyväskylä lentoasema AWOS","2024","3","5","18:00","-3.4","-4.1","-5.2","82","0.8","249","0.5","-","1034.6","1.2"
"Jyväskylä lentoasema AWOS","2024","3","5","19:00","-4.9","-5.8","-7.2","87","1","311","0.8","-","1034.9","1.2"
"Jyväskylä lentoasema AWOS","2024","3","5","20:00","-5.8","-6.6","-7.5","90","1","259","0.7","-","1034.9","1.3"
"Jyväskylä lentoasema AWOS","2024","3","5","21:00","-7.3","-7.9","-8.4","92","0.8","217","0.4","-","1034.9","0.9"
"Jyväskylä lentoasema AWOS","2024","3","5","22:00","-7.8","-8.6","-9.6","93","0.9","227","0.5","-","1034.8","1.2"
"Jyväskylä lentoasema AWOS","2024","3","5","23:00","-8.8","-9.6","-10.1","92","0.5","167","0.4","-","1034.7","0.7"
"Jyväskylä lentoasema AWOS","2024","3","6","00:00","-9.9","-10.2","-10.6","92","0.6","203","0.3","-","1034.8","1"
"Jyväskylä lentoasema AWOS","2024","3","6","01:00","-10.4","-10.9","-11.2","90","0.9","146","0.4","-","1034.6","1.1"
"Jyväskylä lentoasema AWOS","2024","3","6","02:00","-10.8","-11.3","-11.8","88","1.1","124","0.9","-","1034.5","1.7"
"Jyväskylä lentoasema AWOS","2024","3","6","03:00","-11.1","-11.6","-12.5","88","1.1","208","0.6","-","1034.6","1.4"
"Jyväskylä lentoasema AWOS","2024","3","6","04:00","-11","-12.1","-12.7","88","1.5","198","0.9","-","1034.4","1.9"
"Jyväskylä lentoasema AWOS","2024","3","6","05:00","-12.1","-12.5","-13.1","87","1","108","0.6","-","1034.1","1.4"
"Jyväskylä lentoasema AWOS","2024","3","6","06:00","-11.7","-12.5","-13.2","86","0.9","330","0.7","-","1033.8","1.8"
"Jyväskylä lentoasema AWOS","2024","3","6","07:00","-8.2","-10.8","-12.1","84","2.6","312","1.5","-","1033.7","3.3"
"Jyväskylä lentoasema AWOS","2024","3","6","08:00","-5","-7.5","-9.5","80","3.2","311","2.6","-","1033.4","4.3"
"Jyväskylä lentoasema AWOS","2024","3","6","09:00","-1.2","-2.4","-5","76","4.1","325","3.2","-","1032.9","5.6"
"Jyväskylä lentoasema AWOS","2024","3","6","10:00","-0.8","-1.1","-1.5","75","6.2","326","5.6","-","1032.5","7.8"
"Jyväskylä lentoasema AWOS","2024","3","6","11:00","-0.5","-0.7","-1","69","5.7","335","4.4","-","1032.5","7.2"
"Jyväskylä lentoasema AWOS","2024","3","6","12:00","0","-0.6","-1","65","4.4","353","3.6","-","1032.3","5.7"
"Jyväskylä lentoasema AWOS","2024","3","6","13:00","0.4","0.2","0","60","3.9","342","3.5","-","1031.8","5.2"
"Jyväskylä lentoasema AWOS","2024","3","6","14:00","0.4","0.2","0","61","4","340","3.6","-","1031.6","4.8"
"Jyväskylä lentoasema AWOS","2024","3","6","15:00","0","-0.3","-0.7","65","4.4","343","3.7","-","1031.4","5.5"
"Jyväskylä lentoasema AWOS","2024","3","6","16:00","-0.7","-1.3","-2","71","3.6","357","3.2","-","1031.4","4.6"
"Jyväskylä lentoasema AWOS","2024","3","6","17:00","-2","-2.6","-3.2","80","3.3","347","2.9","-","1031.4","4.8"
"Jyväskylä lentoasema AWOS","2024","3","6","18:00","-3","-3.2","-3.4","88","4","343","3.6","-","1031.4","6.4"
"Jyväskylä lentoasema AWOS","2024","3","6","19:00","-3","-3.1","-3.3","90","4.6","352","3.6","-","1031.4","6.1"
"Jyväskylä lentoasema AWOS","2024","3","6","20:00","-3.3","-3.4","-3.5","92","4.1","337","3.4","-","1031.2","5.3"
