pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
938;vt9_Jyväskylä_Lutakko;20240305;*;;*;124;93;66;60;144;557;1257;2088;1800;1388;1364;1457;1548;1614;1974;2605;2595;1901;1551;1332;1014;853;352;194;27931
938;vt9_Jyväskylä_Lutakko;20240306;*;;*;118;97;59;90;140;570;1313;2140;1746;1427;1396;1525;1555;1691;2069;2634;2649;1968;1619;1317;1064;724;397;211;28519
938;vt9_Jyväskylä_Lutakko;20240307;*;;*;129;116;75;75;144;546;1228;2001;1912;1401;1350;1582;1692;1804;2194;2724;2718;2009;1662;1384;1195;740;407;234;29322
938;vt9_Jyväskylä_Lutakko;20240308;*;;*;140;116;65;75;159;527;1177;1958;1688;1412;1510;1825;2023;2221;2557;2980;2714;2133;1772;1365;1146;866;553;425;31407
938;vt9_Jyväskylä_Lutakko;20240309;*;;*;286;216;118;99;120;209;374;653;931;1390;1837;1894;2053;2029;2025;1902;1846;1590;1394;1056;922;651;520;346;24461
938;vt9_Jyväskylä_Lutakko;20240310;*;;*;286;167;135;107;82;97;209;280;396;736;1105;1508;1775;2035;2245;2148;1949;1838;1461;1160;916;603;286;188;21712
938;vt9_Jyväskylä_Lutakko;20240311;*;;*;115;82;70;63;185;593;1313;2089;1783;1496;1348;1501;1559;1671;1915;2459;2422;1836;1482;1207;967;640;338;166;27300
938;vt9_Jyväskylä_Lutakko;20240312;*;;*;110;85;78;70;150;572;1311;2116;1736;1376;1304;1432;1558;1672;1940;2527;2505;1810;1552;1195;1059;856;391;192;27597
938;vt9_Jyväskylä_Lutakko;20240313;*;;*;135;105;67;77;150;544;1312;2147;1785;1392;1384;1553;1560;1718;2035;2622;2569;1991;1567;1298;1009;748;409;237;28414
938;vt9_Jyväskylä_Lutakko;20240314;*;;*;143;91;75;76;150;527;1269;2082;1794;1412;1477;1549;1588;1842;2000;2638;2644;2075;1657;1366;1143;754;420;185;28957
938;vt9_Jyväskylä_Lutakko;20240315;*;;*;163;106;81;72;157;520;1164;1911;1753;1597;1606;1813;2043;2381;2648;2939;2690;2188;1842;1373;1129;786;511;504;31977
938;vt9_Jyväskylä_Lutakko;20240316;*;;*;310;212;161;104;147;230;322;557;839;1370;1689;1874;2027;2112;2010;2005;1848;1768;1389;1015;965;779;494;329;24556
938;vt9_Jyväskylä_Lutakko;20240317;*;;*;227;212;132;81;96;114;212;320;402;762;1063;1485;1720;1997;1940;1876;2104;1819;1493;1138;901;687;329;173;21283
938;vt9_Jyväskylä_Lutakko;20240318;*;;*;101;67;51;71;211;580;1352;2090;1908;1464;1416;1586;1581;1699;2041;2555;2522;1819;1507;1251;979;625;345;181;28002
938;vt9_Jyväskylä_Lutakko;20240319;*;;*;129;93;69;79;171;542;1352;2082;1835;1399;1340;1545;1484;1569;2022;2697;2590;1868;1559;1309;1020;663;319;191;27927
938;vt9_Jyväskylä_Lutakko;20240320;*;;*;128;91;88;73;153;534;1307;2101;1843;1374;1411;1556;1571;1685;2015;2635;2529;1973;1614;1305;1125;708;387;204;28410
938;vt9_Jyväskylä_Lutakko;20240321;*;;*;120;112;77;78;159;561;1271;1983;1804;1406;1382;1577;1601;1782;2071;2699;2691;2068;1707;1392;1159;778;382;225;29085
938;vt9_Jyväskylä_Lutakko;20240322;*;;*;143;114;82;76;174;507;1179;1996;1791;1544;1572;1800;1887;2110;2484;2834;2589;2099;1736;1359;1034;703;473;379;30665
938;vt9_Jyväskylä_Lutakko;20240323;*;;*;260;190;133;98;132;237;385;546;858;1313;1664;1906;1920;1939;1869;1794;1717;1580;1397;1045;876;757;554;389;23559
938;vt9_Jyväskylä_Lutakko;20240324;*;;*;261;161;123;87;88;127;219;269;430;806;1144;1426;1729;1865;1896;1908;1798;1780;1455;1205;911;648;311;170;20817
938;vt9_Jyväskylä_Lutakko;20240325;*;;*;128;84;68;77;196;557;1284;2129;1826;1443;1394;1502;1588;1693;1942;2575;2443;1819;1478;1197;1002;728;326;191;27670
938;vt9_Jyväskylä_Lutakko;20240326;*;;*;134;79;64;71;143;568;1323;2111;1851;1434;1340;1529;1647;1749;1992;2599;2521;1927;1577;1301;996;735;375;209;28275
938;vt9_Jyväskylä_Lutakko;20240327;*;;*;134;106;81;76;171;541;1271;2081;1811;1499;1425;1626;1708;1828;2043;2704;2682;1991;1793;1466;1138;758;445;225;29603
938;vt9_Jyväskylä_Lutakko;20240328;*;;*;159;121;84;87;169;560;1222;1979;1742;1651;1693;1957;2001;2158;2697;2947;2862;2387;2070;1665;1441;814;646;349;33461
938;vt9_Jyväskylä_Lutakko;20240329;*;;*;246;150;109;71;88;134;307;425;631;1121;1593;1847;2110;2012;1884;1714;1592;1419;1116;859;738;606;380;337;21489
938;vt9_Jyväskylä_Lutakko;20240330;*;;*;204;134;103;90;100;143;261;408;559;1074;1522;1754;1873;1863;1727;1690;1558;1449;1250;1032;823;657;450;306;21030
938;vt9_Jyväskylä_Lutakko;20240331;*;;*;199;139;113;;113;103;174;238;268;521;936;1220;1512;1689;1776;1890;1687;1634;1491;1176;961;687;502;312;19341
938;vt9_Jyväskylä_Lutakko;20240401;*;;*;245;146;98;59;71;85;221;264;274;539;889;1312;1703;1979;2028;2166;1919;1784;1682;1298;1011;672;352;196;20993
938;vt9_Jyväskylä_Lutakko;20240402;*;;*;116;83;68;84;159;586;1372;2064;1841;1434;1506;1667;1713;1795;2078;2515;2686;1894;1654;1298;1036;717;377;211;28954
938;vt9_Jyväskylä_Lutakko;20240403;*;;*;121;96;80;59;146;535;1361;2121;1771;1383;1274;1539;1664;1686;1988;2653;2627;1978;1673;1301;1079;711;369;206;28421
938;vt9_Jyväskylä_Lutakko;20240404;*;;*;147;108;77;74;156;528;1313;2150;1890;1460;1448;1591;1714;1868;2144;2662;2677;2104;1813;1467;1102;765;479;251;29988
