"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]"
"Jyväskylä Jyskä","2024","3","5","00:00","2.8","2.4"
"Jyväskylä Jyskä","2024","3","5","01:00","2.6","2.3"
"Jyväskylä Jyskä","2024","3","5","02:00","2.7","2.4"
"Jyväskylä Jyskä","2024","3","5","03:00","3.1","2.6"
"Jyväskylä Jyskä","2024","3","5","04:00","4.4","2.9"
"Jyväskylä Jyskä","2024","3","5","05:00","12.5","4"
"Jyväskylä Jyskä","2024","3","5","06:00","14.4","5"
"Jyväskylä Jyskä","2024","3","5","07:00","18.8","5.9"
"Jyväskylä Jyskä","2024","3","5","08:00","4.6","2.9"
"Jyväskylä Jyskä","2024","3","5","09:00","3.4","2"
"Jyväskylä Jyskä","2024","3","5","10:00","3.5","1.9"
"Jyväskylä Jyskä","2024","3","5","11:00","5.8","1.8"
"Jyväskylä Jyskä","2024","3","5","12:00","4","1.4"
"Jyväskylä Jyskä","2024","3","5","13:00","1.8","1.1"
"Jyväskylä Jyskä","2024","3","5","14:00","3.7","1.4"
"Jyväskylä Jyskä","2024","3","5","15:00","2.4","1.3"
"Jyväskylä Jyskä","2024","3","5","16:00","3","2.1"
"Jyväskylä Jyskä","2024","3","5","17:00","7.9","3.4"
"Jyväskylä Jyskä","2024","3","5","18:00","13","8.7"
"Jyväskylä Jyskä","2024","3","5","19:00","13.6","9"
"Jyväskylä Jyskä","2024","3","5","20:00","25.8","13.7"
"Jyväskylä Jyskä","2024","3","5","21:00","15.2","10"
"Jyväskylä Jyskä","2024","3","5","22:00","19.4","14.1"
"Jyväskylä Jyskä","2024","3","5","23:00","13.1","7.7"
"Jyväskylä Jyskä","2024","3","6","00:00","14.8","7.6"
"Jyväskylä Jyskä","2024","3","6","01:00","16.9","6.9"
"Jyväskylä Jyskä","2024","3","6","02:00","16.3","7.6"
"Jyväskylä Jyskä","2024","3","6","03:00","12.1","6.7"
"Jyväskylä Jyskä","2024","3","6","04:00","22.6","8.1"
"Jyväskylä Jyskä","2024","3","6","05:00","30.5","8.5"
"Jyväskylä Jyskä","2024","3","6","06:00","42.9","13.1"
"Jyväskylä Jyskä","2024","3","6","07:00","56.6","13"
"Jyväskylä Jyskä","2024","3","6","08:00","22.5","6.4"
"Jyväskylä Jyskä","2024","3","6","09:00","25.1","5.7"
"Jyväskylä Jyskä","2024","3","6","10:00","5.8","2.9"
"Jyväskylä Jyskä","2024","3","6","11:00","6.8","3.4"
"Jyväskylä Jyskä","2024","3","6","12:00","9.3","4.5"
"Jyväskylä Jyskä","2024","3","6","13:00","6.8","3"
"Jyväskylä Jyskä","2024","3","6","14:00","7.3","3.9"
"Jyväskylä Jyskä","2024","3","6","15:00","7","3.1"
"Jyväskylä Jyskä","2024","3","6","16:00","5.3","3.4"
"Jyväskylä Jyskä","2024","3","6","17:00","7","4.8"
"Jyväskylä Jyskä","2024","3","6","18:00","4.5","3.6"
"Jyväskylä Jyskä","2024","3","6","19:00","5","4.1"
"Jyväskylä Jyskä","2024","3","6","20:00","8","5.2"
"Jyväskylä Jyskä","2024","3","6","21:00","7.2","5.2"
"Jyväskylä Jyskä","2024","3","6","22:00","6.7","5.5"
"Jyväskylä Jyskä","2024","3","6","23:00","6.2","5.2"
"Jyväskylä Jyskä","2024","3","7","00:00","5.8","5"
"Jyväskylä Jyskä","2024","3","7","01:00","5.4","4.8"
"Jyväskylä Jyskä","2024","3","7","02:00","5.1","4.6"
"Jyväskylä Jyskä","2024","3","7","03:00","4.6","4.2"
"Jyväskylä Jyskä","2024","3","7","04:00","4.9","4.4"
"Jyväskylä Jyskä","2024","3","7","05:00","5.9","5.3"
"Jyväskylä Jyskä","2024","3","7","06:00","5.7","5"
"Jyväskylä Jyskä","2024","3","7","07:00","6.1","5"
