"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ilmanpaineen keskiarvo [hPa]","Tunnin sademäärä [mm]","Kovin puuska [m/s]","Tuulen suunnan keskiarvo [°]","Kovin keskituulen nopeus [m/s]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Alin lämpötila [°C]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]"
"Jyväskylä lentoasema","2024","3","5","00:00","-","0","-","-","-","-","98","-5","-3.4","-3.8"
"Jyväskylä lentoasema","2024","3","5","01:00","-","0","-","-","-","-","98","-4.8","-3.5","-4.2"
"Jyväskylä lentoasema","2024","3","5","02:00","-","0","-","-","-","-","98","-5.9","-4.6","-5.1"
"Jyväskylä lentoasema","2024","3","5","03:00","-","0","-","-","-","-","96","-8.1","-6","-7"
"Jyväskylä lentoasema","2024","3","5","04:00","-","0","-","-","-","-","96","-7.9","-6.3","-7.3"
"Jyväskylä lentoasema","2024","3","5","05:00","-","0","-","-","-","-","95","-9.1","-6.2","-7.8"
"Jyväskylä lentoasema","2024","3","5","06:00","-","0","-","-","-","-","95","-8.8","-6.6","-7.5"
"Jyväskylä lentoasema","2024","3","5","07:00","-","0","-","-","-","-","95","-7.8","-5.5","-6.3"
"Jyväskylä lentoasema","2024","3","5","08:00","-","0","-","-","-","-","93","-5.5","-4","-4.6"
"Jyväskylä lentoasema","2024","3","5","09:00","-","0","-","-","-","-","81","-3.9","-1.4","-2.4"
"Jyväskylä lentoasema","2024","3","5","10:00","-","0","-","-","-","-","68","-1.5","0.3","-0.5"
"Jyväskylä lentoasema","2024","3","5","11:00","-","0","-","-","-","-","60","-0.3","0.8","0.1"
"Jyväskylä lentoasema","2024","3","5","12:00","-","0","-","-","-","-","58","0.3","1.8","0.8"
"Jyväskylä lentoasema","2024","3","5","13:00","-","0","-","-","-","-","56","0.9","2.9","1.7"
"Jyväskylä lentoasema","2024","3","5","14:00","-","0","-","-","-","-","55","1.5","2.8","2.2"
"Jyväskylä lentoasema","2024","3","5","15:00","-","0","-","-","-","-","61","-0.6","2.9","0.9"
"Jyväskylä lentoasema","2024","3","5","16:00","-","0","-","-","-","-","71","-3.4","-0.6","-1.5"
"Jyväskylä lentoasema","2024","3","5","17:00","-","0","-","-","-","-","82","-3.9","-2.8","-3.3"
"Jyväskylä lentoasema","2024","3","5","18:00","-","0","-","-","-","-","87","-5.8","-3.5","-4.9"
"Jyväskylä lentoasema","2024","3","5","19:00","-","0","-","-","-","-","91","-7.2","-4.7","-6.1"
"Jyväskylä lentoasema","2024","3","5","20:00","-","0","-","-","-","-","94","-8","-6.4","-7.1"
"Jyväskylä lentoasema","2024","3","5","21:00","-","0","-","-","-","-","96","-8.6","-7.3","-7.9"
"Jyväskylä lentoasema","2024","3","5","22:00","-","0","-","-","-","-","95","-9.2","-8.3","-8.6"
"Jyväskylä lentoasema","2024","3","5","23:00","-","0","-","-","-","-","95","-10.1","-8.9","-9.6"
"Jyväskylä lentoasema","2024","3","6","00:00","-","0","-","-","-","-","95","-10.7","-9.8","-10.2"
"Jyväskylä lentoasema","2024","3","6","01:00","-","0","-","-","-","-","93","-10.8","-10.2","-10.5"
"Jyväskylä lentoasema","2024","3","6","02:00","-","0","-","-","-","-","92","-11.9","-10.7","-11"
"Jyväskylä lentoasema","2024","3","6","03:00","-","0","-","-","-","-","92","-11.7","-11","-11.4"
"Jyväskylä lentoasema","2024","3","6","04:00","-","0","-","-","-","-","92","-11.8","-10.4","-11.3"
"Jyväskylä lentoasema","2024","3","6","05:00","-","0","-","-","-","-","93","-12.1","-8.5","-10.8"
"Jyväskylä lentoasema","2024","3","6","06:00","-","0","-","-","-","-","89","-12.5","-8.7","-11.4"
"Jyväskylä lentoasema","2024","3","6","07:00","-","0","-","-","-","-","89","-10.8","-4","-7.4"
"Jyväskylä lentoasema","2024","3","6","08:00","-","0","-","-","-","-","83","-5.1","-3.1","-4.2"
"Jyväskylä lentoasema","2024","3","6","09:00","-","0","-","-","-","-","81","-4.3","-1.7","-2.9"
"Jyväskylä lentoasema","2024","3","6","10:00","-","0","-","-","-","-","78","-2.3","-1.1","-1.6"
"Jyväskylä lentoasema","2024","3","6","11:00","-","0","-","-","-","-","72","-1.3","-0.7","-1.1"
"Jyväskylä lentoasema","2024","3","6","12:00","-","0","-","-","-","-","70","-1.4","-0.4","-1"
"Jyväskylä lentoasema","2024","3","6","13:00","-","0","-","-","-","-","66","-0.6","-0.2","-0.4"
"Jyväskylä lentoasema","2024","3","6","14:00","-","0","-","-","-","-","69","-1","-0.3","-0.6"
"Jyväskylä lentoasema","2024","3","6","15:00","-","0","-","-","-","-","72","-1.7","-0.8","-1.2"
"Jyväskylä lentoasema","2024","3","6","16:00","-","0","-","-","-","-","77","-3","-1.5","-2.3"
"Jyväskylä lentoasema","2024","3","6","17:00","-","0","-","-","-","-","85","-4.6","-2.9","-3.9"
"Jyväskylä lentoasema","2024","3","6","18:00","-","0","-","-","-","-","91","-5.2","-3.4","-4"
"Jyväskylä lentoasema","2024","3","6","19:00","-","0","-","-","-","-","94","-3.6","-3.4","-3.5"
"Jyväskylä lentoasema","2024","3","6","20:00","-","0","-","-","-","-","95","-3.9","-3.5","-3.7"
"Jyväskylä lentoasema","2024","3","6","21:00","-","0","-","-","-","-","96","-4.1","-3.9","-4"
"Jyväskylä lentoasema","2024","3","6","22:00","-","0","-","-","-","-","97","-4.2","-4","-4.2"
"Jyväskylä lentoasema","2024","3","6","23:00","-","0","-","-","-","-","98","-4.2","-4.1","-4.2"
"Jyväskylä lentoasema","2024","3","7","00:00","-","0","-","-","-","-","98","-4.3","-4.1","-4.2"
"Jyväskylä lentoasema","2024","3","7","01:00","-","0","-","-","-","-","98","-4.3","-4.2","-4.2"
"Jyväskylä lentoasema","2024","3","7","02:00","-","0","-","-","-","-","98","-4.3","-4.2","-4.2"
"Jyväskylä lentoasema","2024","3","7","03:00","-","0","-","-","-","-","97","-4.4","-4.3","-4.3"
"Jyväskylä lentoasema","2024","3","7","04:00","-","0","-","-","-","-","97","-4.5","-4.3","-4.4"
"Jyväskylä lentoasema","2024","3","7","05:00","-","0","-","-","-","-","97","-4.6","-4.4","-4.5"
"Jyväskylä lentoasema","2024","3","7","06:00","-","0","-","-","-","-","96","-4.7","-4.5","-4.6"
