"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ilmanpaineen keskiarvo [hPa]","Tunnin sademäärä [mm]","Kovin puuska [m/s]","Tuulen suunnan keskiarvo [°]","Kovin keskituulen nopeus [m/s]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Alin lämpötila [°C]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]"
"Jyväskylä lentoasema AWOS","2024","3","5","00:00","1033.8","-","2","356","1.4","1","95","-5.5","-3.4","-4.7"
"Jyväskylä lentoasema AWOS","2024","3","5","01:00","1034.2","-","1.4","11","1.1","0.9","96","-6.2","-4.6","-5.1"
"Jyväskylä lentoasema AWOS","2024","3","5","02:00","1034.6","-","1.6","5","1.1","0.8","95","-6.6","-4.4","-5.9"
"Jyväskylä lentoasema AWOS","2024","3","5","03:00","1034.8","-","1.5","312","1.3","0.9","95","-7.4","-5.4","-6.4"
"Jyväskylä lentoasema AWOS","2024","3","5","04:00","1035","-","1.8","340","1.4","1.1","92","-8.8","-7","-8"
"Jyväskylä lentoasema AWOS","2024","3","5","05:00","1035.3","-","2","336","1.6","1.1","92","-8.7","-8","-8.3"
"Jyväskylä lentoasema AWOS","2024","3","5","06:00","1035.8","-","1.2","342","0.9","0.8","92","-8.9","-7.9","-8.4"
"Jyväskylä lentoasema AWOS","2024","3","5","07:00","1035.9","-","1.3","343","0.9","0.8","92","-8.6","-6.4","-7.5"
"Jyväskylä lentoasema AWOS","2024","3","5","08:00","1035.8","-","0.8","307","0.8","0.3","91","-6.6","-3.4","-5.2"
"Jyväskylä lentoasema AWOS","2024","3","5","09:00","1035.8","-","3.9","124","3.2","1.9","76","-3.4","-1.1","-1.7"
"Jyväskylä lentoasema AWOS","2024","3","5","10:00","1035.7","-","3.4","136","2.8","1.9","66","-1.2","0.1","-0.6"
"Jyväskylä lentoasema AWOS","2024","3","5","11:00","1035.5","-","4.4","140","3.5","2.4","60","-0.2","0.5","0.1"
"Jyväskylä lentoasema AWOS","2024","3","5","12:00","1035.2","-","2.8","148","2.7","1.9","57","0.3","1.3","0.7"
"Jyväskylä lentoasema AWOS","2024","3","5","13:00","1035","-","3.2","156","2.3","1.8","57","0.7","1.7","1.2"
"Jyväskylä lentoasema AWOS","2024","3","5","14:00","1034.9","-","1","170","0.8","0.3","54","1.2","2.7","1.8"
"Jyväskylä lentoasema AWOS","2024","3","5","15:00","1034.5","-","0.6","343","0.4","0.3","54","0.7","2.6","2"
