"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]"
"Jyväskylä lentoasema AWOS","2024","3","5","00:00","-4.7","-3.4","-5.5","1","95","1.4","356","2","-","1033.8"
"Jyväskylä lentoasema AWOS","2024","3","5","01:00","-5.1","-4.6","-6.2","0.9","96","1.1","11","1.4","-","1034.2"
"Jyväskylä lentoasema AWOS","2024","3","5","02:00","-5.9","-4.4","-6.6","0.8","95","1.1","5","1.6","-","1034.6"
"Jyväskylä lentoasema AWOS","2024","3","5","03:00","-6.4","-5.4","-7.4","0.9","95","1.3","312","1.5","-","1034.8"
"Jyväskylä lentoasema AWOS","2024","3","5","04:00","-8","-7","-8.8","1.1","92","1.4","340","1.8","-","1035"
"Jyväskylä lentoasema AWOS","2024","3","5","05:00","-8.3","-8","-8.7","1.1","92","1.6","336","2","-","1035.3"
"Jyväskylä lentoasema AWOS","2024","3","5","06:00","-8.4","-7.9","-8.9","0.8","92","0.9","342","1.2","-","1035.8"
"Jyväskylä lentoasema AWOS","2024","3","5","07:00","-7.5","-6.4","-8.6","0.8","92","0.9","343","1.3","-","1035.9"
"Jyväskylä lentoasema AWOS","2024","3","5","08:00","-5.2","-3.4","-6.6","0.3","91","0.8","307","0.8","-","1035.8"
"Jyväskylä lentoasema AWOS","2024","3","5","09:00","-1.7","-1.1","-3.4","1.9","76","3.2","124","3.9","-","1035.8"
"Jyväskylä lentoasema AWOS","2024","3","5","10:00","-0.6","0.1","-1.2","1.9","66","2.8","136","3.4","-","1035.7"
"Jyväskylä lentoasema AWOS","2024","3","5","11:00","0.1","0.5","-0.2","2.4","60","3.5","140","4.4","-","1035.5"
"Jyväskylä lentoasema AWOS","2024","3","5","12:00","0.7","1.3","0.3","1.9","57","2.7","148","2.8","-","1035.2"
"Jyväskylä lentoasema AWOS","2024","3","5","13:00","1.2","1.7","0.7","1.8","57","2.3","156","3.2","-","1035"
"Jyväskylä lentoasema AWOS","2024","3","5","14:00","1.8","2.7","1.2","0.3","54","0.8","170","1","-","1034.9"
"Jyväskylä lentoasema AWOS","2024","3","5","15:00","2","2.6","0.7","0.3","54","0.4","343","0.6","-","1034.5"
"Jyväskylä lentoasema AWOS","2024","3","5","16:00","-1","0.7","-2.3","0.5","70","0.7","153","1.6","-","1034.4"
"Jyväskylä lentoasema AWOS","2024","3","5","17:00","-3.1","-1.7","-4.7","1.1","77","1.4","321","1.6","-","1034.6"
"Jyväskylä lentoasema AWOS","2024","3","5","18:00","-4.1","-3.4","-5.2","0.5","82","0.8","249","1.2","-","1034.6"
"Jyväskylä lentoasema AWOS","2024","3","5","19:00","-5.8","-4.9","-7.2","0.8","87","1","311","1.2","-","1034.9"
"Jyväskylä lentoasema AWOS","2024","3","5","20:00","-6.6","-5.8","-7.5","0.7","90","1","259","1.3","-","1034.9"
"Jyväskylä lentoasema AWOS","2024","3","5","21:00","-7.9","-7.3","-8.4","0.4","92","0.8","217","0.9","-","1034.9"
"Jyväskylä lentoasema AWOS","2024","3","5","22:00","-8.6","-7.8","-9.6","0.5","93","0.9","227","1.2","-","1034.8"
"Jyväskylä lentoasema AWOS","2024","3","5","23:00","-9.6","-8.8","-10.1","0.4","92","0.5","167","0.7","-","1034.7"
"Jyväskylä lentoasema AWOS","2024","3","6","00:00","-10.2","-9.9","-10.6","0.3","92","0.6","203","1","-","1034.8"
"Jyväskylä lentoasema AWOS","2024","3","6","01:00","-10.9","-10.4","-11.2","0.4","90","0.9","146","1.1","-","1034.6"
"Jyväskylä lentoasema AWOS","2024","3","6","02:00","-11.3","-10.8","-11.8","0.9","88","1.1","124","1.7","-","1034.5"
"Jyväskylä lentoasema AWOS","2024","3","6","03:00","-11.6","-11.1","-12.5","0.6","88","1.1","208","1.4","-","1034.6"
"Jyväskylä lentoasema AWOS","2024","3","6","04:00","-12.1","-11","-12.7","0.9","88","1.5","198","1.9","-","1034.4"
"Jyväskylä lentoasema AWOS","2024","3","6","05:00","-12.5","-12.1","-13.1","0.6","87","1","108","1.4","-","1034.1"
"Jyväskylä lentoasema AWOS","2024","3","6","06:00","-12.5","-11.7","-13.2","0.7","86","0.9","330","1.8","-","1033.8"
"Jyväskylä lentoasema AWOS","2024","3","6","07:00","-10.8","-8.2","-12.1","1.5","84","2.6","312","3.3","-","1033.7"
"Jyväskylä lentoasema AWOS","2024","3","6","08:00","-7.5","-5","-9.5","2.6","80","3.2","311","4.3","-","1033.4"
"Jyväskylä lentoasema AWOS","2024","3","6","09:00","-2.4","-1.2","-5","3.2","76","4.1","325","5.6","-","1032.9"
"Jyväskylä lentoasema AWOS","2024","3","6","10:00","-1.1","-0.8","-1.5","5.6","75","6.2","326","7.8","-","1032.5"
"Jyväskylä lentoasema AWOS","2024","3","6","11:00","-0.7","-0.5","-1","4.4","69","5.7","335","7.2","-","1032.5"
"Jyväskylä lentoasema AWOS","2024","3","6","12:00","-0.6","0","-1","3.6","65","4.4","353","5.7","-","1032.3"
"Jyväskylä lentoasema AWOS","2024","3","6","13:00","0.2","0.4","0","3.5","60","3.9","342","5.2","-","1031.8"
"Jyväskylä lentoasema AWOS","2024","3","6","14:00","0.2","0.4","0","3.6","61","4","340","4.8","-","1031.6"
"Jyväskylä lentoasema AWOS","2024","3","6","15:00","-0.3","0","-0.7","3.7","65","4.4","343","5.5","-","1031.4"
"Jyväskylä lentoasema AWOS","2024","3","6","16:00","-1.3","-0.7","-2","3.2","71","3.6","357","4.6","-","1031.4"
"Jyväskylä lentoasema AWOS","2024","3","6","17:00","-2.6","-2","-3.2","2.9","80","3.3","347","4.8","-","1031.4"
"Jyväskylä lentoasema AWOS","2024","3","6","18:00","-3.2","-3","-3.4","3.6","88","4","343","6.4","-","1031.4"
"Jyväskylä lentoasema AWOS","2024","3","6","19:00","-3.1","-3","-3.3","3.6","90","4.6","352","6.1","-","1031.4"
"Jyväskylä lentoasema AWOS","2024","3","6","20:00","-3.4","-3.3","-3.5","3.4","92","4.1","337","5.3","-","1031.2"
"Jyväskylä lentoasema AWOS","2024","3","6","21:00","-3.6","-3.5","-3.7","4.1","94","4.7","338","6.1","-","1031.1"
"Jyväskylä lentoasema AWOS","2024","3","6","22:00","-3.9","-3.7","-4","3.4","96","4.4","341","6.1","-","1031"
"Jyväskylä lentoasema AWOS","2024","3","6","23:00","-4","-3.9","-4","3.1","97","4","339","5.2","-","1031"
"Jyväskylä lentoasema AWOS","2024","3","7","00:00","-4","-3.9","-4.1","3.2","97","3.9","330","4.9","-","1030.9"
"Jyväskylä lentoasema AWOS","2024","3","7","01:00","-4","-3.9","-4","2.8","97","3.6","339","4.8","-","1030.7"
"Jyväskylä lentoasema AWOS","2024","3","7","02:00","-4","-4","-4.1","2.9","97","3.4","323","4.4","-","1030.3"
"Jyväskylä lentoasema AWOS","2024","3","7","03:00","-4.1","-4","-4.3","2.4","97","3.4","335","4.2","-","1030"
"Jyväskylä lentoasema AWOS","2024","3","7","04:00","-4.2","-4.1","-4.3","2.8","96","3.4","344","4.7","-","1029.8"
"Jyväskylä lentoasema AWOS","2024","3","7","05:00","-4.2","-4.2","-4.3","2.4","96","3.1","346","4.1","-","1029.7"
"Jyväskylä lentoasema AWOS","2024","3","7","06:00","-4.4","-4.2","-4.5","1.8","95","2.6","2","3.5","-","1029.5"
"Jyväskylä lentoasema AWOS","2024","3","7","07:00","-4.4","-4.3","-4.5","1.5","96","2.1","343","3.1","-","1029.5"
"Jyväskylä lentoasema AWOS","2024","3","7","08:00","-4.5","-4.3","-4.6","1.8","95","2.5","315","3.2","-","1029.3"
"Jyväskylä lentoasema AWOS","2024","3","7","09:00","-4.4","-3.8","-4.6","1.4","95","1.6","347","2.9","-","1029"
"Jyväskylä lentoasema AWOS","2024","3","7","10:00","-4.2","-4","-4.3","1.1","93","1.7","294","3","-","1028.8"
"Jyväskylä lentoasema AWOS","2024","3","7","11:00","-3.8","-3.6","-4.1","1.1","93","1.6","329","2.7","-","1028.3"
"Jyväskylä lentoasema AWOS","2024","3","7","12:00","-3.5","-3","-3.8","2.1","90","2.6","306","3.6","-","1027.9"
"Jyväskylä lentoasema AWOS","2024","3","7","13:00","-3.1","-2.8","-3.3","2.1","87","2.7","310","4.1","-","1027.6"
"Jyväskylä lentoasema AWOS","2024","3","7","14:00","-3.1","-2.8","-3.2","2.7","90","3.2","308","4.7","-","1027.2"
"Jyväskylä lentoasema AWOS","2024","3","7","15:00","-3.1","-3","-3.3","2.7","90","3.2","317","4.8","-","1026.8"
"Jyväskylä lentoasema AWOS","2024","3","7","16:00","-3.5","-3.2","-3.8","2.9","92","3.5","323","4.8","-","1026.4"
"Jyväskylä lentoasema AWOS","2024","3","7","17:00","-4","-3.7","-4.3","3.2","94","3.8","324","4.9","-","1026.4"
"Jyväskylä lentoasema AWOS","2024","3","7","18:00","-4.4","-4.1","-4.6","3.4","95","3.9","325","5.3","-","1026.4"
"Jyväskylä lentoasema AWOS","2024","3","7","19:00","-4.4","-4.3","-4.6","3.3","96","3.9","334","4.9","-","1026.5"
"Jyväskylä lentoasema AWOS","2024","3","7","20:00","-4.4","-4.3","-4.5","3.8","96","4.6","332","5.8","-","1026.6"
"Jyväskylä lentoasema AWOS","2024","3","7","21:00","-4.5","-4.4","-4.6","3.6","96","4.1","339","5.8","-","1026.5"
"Jyväskylä lentoasema AWOS","2024","3","7","22:00","-4.6","-4.5","-4.7","2.9","96","3.7","342","5.1","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","7","23:00","-4.8","-4.7","-4.9","3.8","96","4.5","341","5.8","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","8","00:00","-4.9","-4.8","-4.9","3.4","96","4.1","346","5.3","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","8","01:00","-4.9","-4.8","-5.1","3.2","96","3.8","357","5.2","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","8","02:00","-5.1","-5","-5.2","2.9","95","3.9","351","4.9","-","1026.3"
"Jyväskylä lentoasema AWOS","2024","3","8","03:00","-5.1","-5.1","-5.2","2.7","95","3.1","357","4.4","-","1026.4"
"Jyväskylä lentoasema AWOS","2024","3","8","04:00","-5.2","-5.2","-5.3","2.5","95","2.9","353","4.3","-","1026.5"
"Jyväskylä lentoasema AWOS","2024","3","8","05:00","-5.2","-5.2","-5.3","2.4","95","2.7","343","4.1","-","1026.6"
