"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]"
"Jyväskylä lentoasema","2024","3","5","00:00","-3.8","-3.4","-5","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","01:00","-4.2","-3.5","-4.8","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","02:00","-5.1","-4.6","-5.9","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","03:00","-7","-6","-8.1","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","04:00","-7.3","-6.3","-7.9","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","05:00","-7.8","-6.2","-9.1","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","06:00","-7.5","-6.6","-8.8","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","07:00","-6.3","-5.5","-7.8","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","08:00","-4.6","-4","-5.5","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","09:00","-2.4","-1.4","-3.9","-","81","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","10:00","-0.5","0.3","-1.5","-","68","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","11:00","0.1","0.8","-0.3","-","60","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","12:00","0.8","1.8","0.3","-","58","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","13:00","1.7","2.9","0.9","-","56","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","14:00","2.2","2.8","1.5","-","55","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","15:00","0.9","2.9","-0.6","-","61","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","16:00","-1.5","-0.6","-3.4","-","71","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","17:00","-3.3","-2.8","-3.9","-","82","-","-","-","0","-"
