geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (440938.2472899101 6900996.033447771 0, 440886.29422965704 6900941.455285971 0, 440896.297902022 6900951.64223711 0)",103611726.0,103611607.0,2024-04-29 19:06:17+00:00,2024-04-29 19:08:20+00:00,['BRUSHING'],2024-04-29 19:06:17+00:00,2024-04-29 19:09:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440896.297902022 6900951.64223711 0, 440884.5558449378 6900940.148706586 0, 440857.5796625305 6900890.0350045115 0, 440843.5167087974 6900823.426140275 0, 440849.9225231407 6900862.535757751 0)",103611840.0,103611726.0,2024-04-29 19:09:17+00:00,2024-04-29 19:11:21+00:00,['BRUSHING'],2024-04-29 19:09:17+00:00,2024-04-29 19:12:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440853.455015361 6900838.739754624 0, 440854.9594908563 6900862.224362024 0, 440866.4217810449 6900896.230924118 0, 440893.4332291249 6900942.444136747 0)",103614446.0,103614356.0,2024-04-29 20:20:07+00:00,2024-04-29 20:22:41+00:00,['BRUSHING'],2024-04-29 20:20:07+00:00,2024-04-29 20:23:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440893.4332291249 6900942.444136747 0, 440942.35176316364 6900992.952878757 0, 440957.89117641543 6900998.697201178 0, 440946.6274702367 6900996.66634099 0, 440954.95535495033 6901003.205789946 0)",103614530.0,103614446.0,2024-04-29 20:23:07+00:00,2024-04-29 20:25:42+00:00,['BRUSHING'],2024-04-29 20:23:07+00:00,2024-04-29 20:26:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440950.403560973 6901010.416983793 0, 440917.28322926705 6900980.3560588155 0, 440884.81088933256 6900936.91284893 0, 440865.39400404494 6900902.823167599 0, 440854.46510724246 6900869.587220535 0, 440847.4123864227 6900823.246226406 0, 440854.5750484698 6900656.982998035 0)",103618269.0,103618209.0,2024-04-29 22:29:26+00:00,2024-04-29 22:32:11+00:00,['BRUSHING'],2024-04-29 22:29:26+00:00,2024-04-29 22:31:03+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440842.0122937175 6900563.38249676 0, 440853.3631341059 6900620.567749578 0, 440850.0400600177 6900792.334813705 0, 440853.43120031984 6900849.214291536 0, 440863.32634075906 6900894.613924586 0, 440884.6254255088 6900941.150325137 0, 440957.7561196119 6901011.7364995815 0, 440949.78729155357 6901001.959366988 0, 440955.94856747176 6901003.522640492 0)",103618618.0,103618579.0,2024-04-29 22:41:47+00:00,2024-04-29 22:44:14+00:00,['BRUSHING'],2024-04-29 22:41:47+00:00,2024-04-29 22:43:58+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (441390.034591924 6902082.6757306 0, 441368.40781851707 6902055.307460567 0, 441280.61076333176 6902012.045656152 0, 441202.1360536644 6901952.24338377 0, 441164.54998377943 6901906.881424531 0, 441098.76308926684 6901800.283169484 0)",103761207.0,,2024-04-30 22:24:09+00:00,2024-04-30 22:26:50+00:00,['BRUSHING'],2024-04-30 22:24:12+00:00,2024-04-30 22:25:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (441098.76308926684 6901800.283169484 0, 441024.01163709816 6901704.317406627 0, 440939.8249368315 6901642.504057218 0, 440819.04271200625 6901601.170377213 0, 440688.6161160917 6901596.670494511 0)",103761223.0,103761207.0,2024-04-30 22:25:10+00:00,2024-04-30 22:27:50+00:00,['BRUSHING'],2024-04-30 22:25:13+00:00,2024-04-30 22:26:14+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440688.6161160917 6901596.670494511 0, 440422.0883716802 6901604.834734728 0, 440228.3478217674 6901579.300604156 0)",103761237.0,103761223.0,2024-04-30 22:26:11+00:00,2024-04-30 22:28:50+00:00,['BRUSHING'],2024-04-30 22:26:14+00:00,2024-04-30 22:27:15+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440228.3478217674 6901579.300604156 0, 439999.6834503871 6901548.27178642 0, 439752.0334283427 6901534.089691839 0)",103761248.0,103761237.0,2024-04-30 22:27:12+00:00,2024-04-30 22:29:50+00:00,['BRUSHING'],2024-04-30 22:27:15+00:00,2024-04-30 22:28:16+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (439752.0334283427 6901534.089691839 0, 439568.6946927784 6901518.212702821 0, 439225.3405108307 6901437.150182661 0)",103761261.0,103761248.0,2024-04-30 22:28:13+00:00,2024-04-30 22:30:50+00:00,['BRUSHING'],2024-04-30 22:28:16+00:00,2024-04-30 22:29:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (439225.3405108307 6901437.150182661 0, 439103.43868046 6901416.066170057 0, 439002.93386393884 6901411.312745249 0, 438833.0998426426 6901421.305003896 0, 438685.2503669711 6901448.287933392 0)",103761273.0,103761261.0,2024-04-30 22:29:14+00:00,2024-04-30 22:31:50+00:00,['BRUSHING'],2024-04-30 22:29:17+00:00,2024-04-30 22:30:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (438808.2161934838 6901473.46033155 0, 438986.210758377 6901492.290091666 0, 439124.48609450227 6901453.236532918 0, 439178.8886594886 6901449.466798801 0, 439459.56855397753 6901507.806361499 0)",103761319.0,103761309.0,2024-04-30 22:33:24+00:00,2024-04-30 22:35:51+00:00,['BRUSHING'],2024-04-30 22:33:27+00:00,2024-04-30 22:34:28+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439459.56855397753 6901507.806361499 0, 439659.28311765805 6901555.697708674 0, 440101.08798841224 6901729.428528153 0)",103761335.0,103761319.0,2024-04-30 22:34:25+00:00,2024-04-30 22:36:51+00:00,['BRUSHING'],2024-04-30 22:34:28+00:00,2024-04-30 22:37:28+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440101.08798841224 6901729.428528153 0, 440158.88757056353 6901767.845070337 0, 440264.98761835543 6901866.020941222 0, 440281.493582231 6901870.742071047 0, 440293.84350413975 6901863.837179568 0, 440300.22410667356 6901871.969547155 0)",103761373.0,103761335.0,2024-04-30 22:37:25+00:00,2024-04-30 22:39:51+00:00,['BRUSHING'],2024-04-30 22:37:28+00:00,2024-04-30 22:40:28+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440300.22410667356 6901871.969547155 0, 440300.1721543499 6901871.9704692755 0)",103761408.0,103761373.0,2024-04-30 22:40:25+00:00,2024-04-30 22:42:52+00:00,['BRUSHING'],2024-04-30 22:40:28+00:00,2024-04-30 22:42:08+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440300.1721543499 6901871.9704692755 0, 440304.5659090351 6901894.066531048 0, 440311.2220045475 6901903.085447336 0, 440333.0417172907 6901923.200930578 0, 440346.49123685696 6901922.628081528 0, 440350.78068543563 6901915.420657365 0, 440357.21469955106 6901818.141934182 0, 440353.21936093096 6901715.922512668 0, 440345.74142649234 6901669.3670841465 0, 440329.7046093872 6901632.546233344 0, 440300.9556343661 6901608.653750014 0)",103761431.0,103761408.0,2024-04-30 22:42:05+00:00,2024-04-30 22:44:52+00:00,['BRUSHING'],2024-04-30 22:42:08+00:00,2024-04-30 22:44:09+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440300.9556343661 6901608.653750014 0, 440272.87613580097 6901593.218094756 0, 440203.23531690275 6901575.846957424 0, 440302.4742309213 6901609.295363177 0, 440237.28487141524 6901587.944577652 0, 440072.24261334765 6901557.229694408 0, 439839.7395133413 6901538.42568142 0)",103761457.0,103761431.0,2024-04-30 22:44:06+00:00,2024-04-30 22:46:52+00:00,['BRUSHING'],2024-04-30 22:44:09+00:00,2024-04-30 22:45:10+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (439839.7395133413 6901538.42568142 0, 439536.4526051539 6901511.437828 0, 439241.4498510729 6901436.970618919 0, 439109.7318234917 6901416.286541841 0, 438943.21618741105 6901411.504642311 0, 438744.1890443148 6901436.739923915 0)",103761469.0,103761457.0,2024-04-30 22:45:07+00:00,2024-04-30 22:47:52+00:00,['BRUSHING'],2024-04-30 22:45:10+00:00,2024-04-30 22:47:11+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (438860.55942618847 6901476.520028155 0, 439000.1537592635 6901493.040085346 0, 439114.3444917186 6901455.760063066 0, 439170.97277355817 6901448.607072672 0, 439601.25464921223 6901542.699202482 0)",103761521.0,103761506.0,2024-04-30 22:49:14+00:00,2024-04-30 22:51:52+00:00,['BRUSHING'],2024-04-30 22:49:17+00:00,2024-04-30 22:50:18+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439601.25464921223 6901542.699202482 0, 440096.1804561879 6901728.178793205 0, 440165.297286855 6901771.742431396 0, 440277.4461792657 6901876.942440878 0)",103761536.0,103761521.0,2024-04-30 22:50:15+00:00,2024-04-30 22:52:53+00:00,['BRUSHING'],2024-04-30 22:50:18+00:00,2024-04-30 22:51:53+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440277.4461792657 6901876.942440878 0, 440332.49593994534 6901924.659168229 0, 440347.01667912735 6901922.953044361 0, 440352.9511894964 6901903.0137311695 0, 440362.9449615321 6901763.218095485 0, 440354.4394644382 6901690.941162614 0, 440339.511476009 6901646.300696049 0, 440296.6423826248 6901602.824653437 0, 440249.1844255337 6901590.74172793 0)",103761560.0,103761536.0,2024-04-30 22:51:50+00:00,2024-04-30 22:54:53+00:00,['BRUSHING'],2024-04-30 22:51:53+00:00,2024-04-30 22:53:29+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440249.1844255337 6901590.74172793 0, 440255.0555294495 6901590.637446704 0, 440037.56002669164 6901550.493528437 0, 439662.032936419 6901529.351425091 0, 439483.482981384 6901502.361806801 0)",103761576.0,103761560.0,2024-04-30 22:53:26+00:00,2024-04-30 22:55:53+00:00,['BRUSHING'],2024-04-30 22:53:29+00:00,2024-04-30 22:54:30+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (439483.482981384 6901502.361806801 0, 439226.7470698888 6901434.450497592 0, 439003.65321861784 6901410.853988988 0, 438830.5720612641 6901422.3538217 0, 438552.05246272346 6901472.001178377 0, 438394.2808925724 6901487.701091073 0)",103761589.0,103761576.0,2024-04-30 22:54:27+00:00,2024-04-30 22:56:53+00:00,['BRUSHING'],2024-04-30 22:54:30+00:00,2024-04-30 22:57:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439124.991999019 6901403.641836863 0, 439235.2766616619 6901420.367904723 0, 439473.76375409483 6901482.145355696 0, 439604.49549124646 6901506.092685593 0, 440080.3386133672 6901536.13710784 0)",103761827.0,103761816.0,2024-04-30 23:15:23+00:00,2024-04-30 23:17:55+00:00,['BRUSHING'],2024-04-30 23:15:26+00:00,2024-04-30 23:17:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440080.3386133672 6901536.13710784 0, 440274.1934967446 6901547.398069055 0, 440322.0986607123 6901564.15337103 0, 440347.0832615762 6901586.77566477 0, 440361.2277877374 6901613.601690442 0, 440369.5294714906 6901647.996971279 0, 440369.94878445053 6901715.625898696 0)",103761850.0,103761827.0,2024-04-30 23:17:19+00:00,2024-04-30 23:19:55+00:00,['BRUSHING'],2024-04-30 23:17:22+00:00,2024-04-30 23:19:27+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440369.94878445053 6901715.625898696 0, 440358.9148515641 6901858.337048421 0, 440359.9374056954 6901918.935380566 0, 440355.4818183284 6901937.288472259 0, 440332.271440442 6901938.368715004 0, 440254.1429570363 6901858.19078514 0)",103761873.0,103761850.0,2024-04-30 23:19:24+00:00,2024-04-30 23:21:56+00:00,['BRUSHING'],2024-04-30 23:19:27+00:00,2024-04-30 23:20:28+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440254.1429570363 6901858.19078514 0, 440156.18596556503 6901767.8931348305 0, 440088.95319022384 6901725.076114269 0, 439648.717814518 6901560.678638815 0)",103761883.0,103761873.0,2024-04-30 23:20:25+00:00,2024-04-30 23:22:56+00:00,['BRUSHING'],2024-04-30 23:20:28+00:00,2024-04-30 23:21:29+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (439648.717814518 6901560.678638815 0, 439566.24910965055 6901535.416528106 0, 439183.82717160694 6901452.386074757 0, 439126.8701560572 6901452.859107154 0, 438982.5924366039 6901496.255711131 0)",103761893.0,103761883.0,2024-04-30 23:21:26+00:00,2024-04-30 23:23:56+00:00,['BRUSHING'],2024-04-30 23:21:29+00:00,2024-04-30 23:22:30+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (438777.955027775 6901407.153853832 0, 439017.471213061 6901393.22066562 0, 439164.44388969126 6901406.605293894 0, 439315.3279836408 6901438.088523009 0)",103762077.0,103762065.0,2024-04-30 23:35:50+00:00,2024-04-30 23:37:58+00:00,['BRUSHING'],2024-04-30 23:35:53+00:00,2024-04-30 23:36:54+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439315.3279836408 6901438.088523009 0, 439563.8141370641 6901498.243367686 0, 439733.6148562706 6901518.485453481 0, 439948.647223117 6901528.0112433145 0)",103762088.0,103762077.0,2024-04-30 23:36:51+00:00,2024-04-30 23:38:58+00:00,['BRUSHING'],2024-04-30 23:36:54+00:00,2024-04-30 23:37:55+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (439948.647223117 6901528.0112433145 0, 440236.77583103103 6901538.814154019 0, 440297.909768026 6901548.314199941 0, 440344.9903795385 6901580.127142431 0, 440362.1096790822 6901610.577518575 0, 440372.51933651976 6901655.409597995 0)",103762101.0,103762088.0,2024-04-30 23:37:52+00:00,2024-04-30 23:39:58+00:00,['BRUSHING'],2024-04-30 23:37:55+00:00,2024-04-30 23:39:14+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440372.51933651976 6901655.409597995 0, 440368.5543146449 6901780.612732179 0, 440359.07401621086 6901890.759576695 0, 440359.4433493406 6901940.895325182 0, 440422.04155524814 6902007.087985369 0, 440474.78245736146 6902042.033720617 0)",103762120.0,103762101.0,2024-04-30 23:39:11+00:00,2024-04-30 23:41:58+00:00,['BRUSHING'],2024-04-30 23:39:14+00:00,2024-04-30 23:40:15+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440474.78245736146 6902042.033720617 0, 440580.0295526631 6902110.594622785 0, 440657.8210050477 6902231.34527143 0, 440789.2562628913 6902350.595533981 0, 440845.7006183706 6902372.1104429355 0, 440906.8234192776 6902381.95566056 0, 440956.49509885086 6902378.854635976 0, 441040.3966746213 6902354.317202054 0)",103762133.0,103762120.0,2024-04-30 23:40:12+00:00,2024-04-30 23:42:58+00:00,['BRUSHING'],2024-04-30 23:40:15+00:00,2024-04-30 23:41:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (438878.52594953193 6901401.202246274 0, 439059.25851264736 6901401.71197187 0, 439265.43251700676 6901432.414711 0)",103762654.0,103762644.0,2024-05-01 00:33:55+00:00,2024-05-01 00:36:04+00:00,['BRUSHING'],2024-05-01 00:33:58+00:00,2024-05-01 00:34:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439265.43251700676 6901432.414711 0, 439516.2303728839 6901496.758596568 0, 439682.51834706357 6901518.175551341 0)",103762662.0,103762654.0,2024-05-01 00:34:56+00:00,2024-05-01 00:37:04+00:00,['BRUSHING'],2024-05-01 00:34:59+00:00,2024-05-01 00:36:00+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439682.51834706357 6901518.175551341 0, 440105.3444902915 6901548.171659772 0)",103762893.0,103762662.0,2024-05-01 00:35:57+00:00,2024-05-01 00:38:05+00:00,['BRUSHING'],2024-05-01 00:36:00+00:00,2024-05-01 00:37:01+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440105.3444902915 6901548.171659772 0, 440370.2434974688 6901588.593577385 0, 440543.89190826623 6901588.974098141 0)",103762903.0,103762893.0,2024-05-01 00:36:58+00:00,2024-05-01 00:39:05+00:00,['BRUSHING'],2024-05-01 00:37:01+00:00,2024-05-01 00:38:02+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440543.89190826623 6901588.974098141 0, 440796.5691085257 6901585.186075799 0, 440871.8246137078 6901599.907901859 0, 440959.34385137295 6901638.261467451 0)",103762913.0,103762903.0,2024-05-01 00:37:59+00:00,2024-05-01 00:40:06+00:00,['BRUSHING'],2024-05-01 00:38:02+00:00,2024-05-01 00:39:03+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440959.34385137295 6901638.261467451 0, 441034.57179109735 6901695.998115415 0, 441110.27637072274 6901787.044644608 0, 441166.5564741591 6901843.333094739 0, 441262.79093431134 6901896.2502333205 0)",103762921.0,103762913.0,2024-05-01 00:39:00+00:00,2024-05-01 00:41:06+00:00,['BRUSHING'],2024-05-01 00:39:03+00:00,2024-05-01 00:40:21+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (441411.44410328893 6902139.3531086035 0, 441409.5247085653 6902118.661201995 0, 441394.5376039942 6902087.611457087 0, 441368.95595932304 6902053.960785644 0, 441263.0187849604 6902001.544450491 0, 441199.6703575882 6901947.940847737 0, 441067.1296572916 6901747.798119898 0, 440998.1535633693 6901676.022758827 0)",103762947.0,103762929.0,2024-05-01 00:42:18+00:00,2024-05-01 00:45:06+00:00,['BRUSHING'],2024-05-01 00:42:21+00:00,2024-05-01 00:43:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440998.1535633693 6901676.022758827 0, 440897.3434173654 6901620.63054583 0, 440797.5631348594 6901594.417018024 0, 440401.6931743904 6901606.533149913 0, 440035.96887625847 6901554.533281974 0)",103762955.0,103762947.0,2024-05-01 00:43:19+00:00,2024-05-01 00:46:06+00:00,['BRUSHING'],2024-05-01 00:43:22+00:00,2024-05-01 00:44:23+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440035.96887625847 6901554.533281974 0, 439614.5355743471 6901523.963751374 0, 439451.114581982 6901494.364307182 0, 439177.63035494665 6901425.866782473 0, 438968.971953733 6901410.14585703 0)",103762964.0,103762955.0,2024-05-01 00:44:20+00:00,2024-05-01 00:47:06+00:00,['BRUSHING'],2024-05-01 00:44:23+00:00,2024-05-01 00:45:32+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (439083.6326884593 6901395.810538139 0, 439271.94454536727 6901424.608612318 0, 439456.0634823554 6901474.7753450265 0, 439585.24490310834 6901499.1955503 0)",103763153.0,103763143.0,2024-05-01 01:07:36+00:00,2024-05-01 01:10:08+00:00,['BRUSHING'],2024-05-01 01:07:39+00:00,2024-05-01 01:08:40+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439585.24490310834 6901499.1955503 0, 440119.3936060431 6901543.241590107 0)",103763164.0,103763153.0,2024-05-01 01:08:37+00:00,2024-05-01 01:11:08+00:00,['BRUSHING'],2024-05-01 01:08:40+00:00,2024-05-01 01:09:41+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440119.3936060431 6901543.241590107 0, 440384.02315033844 6901583.112257493 0, 440652.19973639684 6901579.930166545 0)",103763172.0,103763164.0,2024-05-01 01:09:38+00:00,2024-05-01 01:12:08+00:00,['BRUSHING'],2024-05-01 01:09:41+00:00,2024-05-01 01:10:42+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (440652.19973639684 6901579.930166545 0, 440802.2392777979 6901576.617838386 0, 440905.56090803555 6901603.215007772 0, 441007.1437336554 6901661.156739548 0, 441050.59029827197 6901699.617288301 0, 441096.7593411967 6901757.084676482 0)",103763185.0,103763172.0,2024-05-01 01:10:39+00:00,2024-05-01 01:13:08+00:00,['BRUSHING'],2024-05-01 01:10:42+00:00,2024-05-01 01:11:43+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (441096.7593411967 6901757.084676482 0, 441131.0995330361 6901800.942759639 0, 441177.3145795239 6901843.367788614 0, 441290.6218269795 6901906.795564258 0, 441370.17373761133 6901992.654928946 0, 441398.03954302706 6902038.07703387 0, 441418.03941665206 6902085.419184081 0)",103763195.0,103763185.0,2024-05-01 01:11:40+00:00,2024-05-01 01:14:08+00:00,['BRUSHING'],2024-05-01 01:11:43+00:00,2024-05-01 01:12:49+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (438389.75063252595 6901456.026863435 0, 438596.6024661009 6901443.887704061 0, 438893.7420499744 6901400.480109248 0, 439054.85959315865 6901399.897381525 0, 439236.74596124317 6901424.018492451 0, 439528.06893309165 6901498.9971749745 0, 439778.85783189564 6901525.698005642 0)",103813333.0,103813311.0,2024-05-02 00:07:58+00:00,2024-05-02 00:10:31+00:00,['BRUSHING'],2024-05-02 00:08:01+00:00,2024-05-02 00:09:02+00:00,,state-roads,Harja/Väylävirasto,True,True,False
