pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
923;vt4_Jyväskylä_Halssila;20240305;*;;*;109;95;87;70;177;506;1190;2085;1776;1392;1264;1445;1627;1624;2005;2584;2679;2013;1706;1262;978;756;345;194;27969
923;vt4_Jyväskylä_Halssila;20240306;*;;*;117;115;68;100;154;480;1156;2024;1716;1384;1333;1482;1581;1685;2045;2575;2766;2134;1760;1400;1038;701;390;185;28389
923;vt4_Jyväskylä_Halssila;20240307;*;;*;133;138;98;91;160;488;1169;2109;1814;1441;1311;1487;1663;1833;2229;2681;2812;2159;1834;1410;1202;723;383;193;29561
923;vt4_Jyväskylä_Halssila;20240308;*;;*;153;136;87;87;157;485;1043;1893;1677;1474;1505;1857;2124;2270;2668;2978;3021;2343;1980;1560;1198;831;504;353;32384
923;vt4_Jyväskylä_Halssila;20240309;*;;*;253;229;155;147;161;220;356;646;914;1539;1775;1933;2072;2033;2042;1983;1975;1669;1484;1154;880;599;485;340;25044
923;vt4_Jyväskylä_Halssila;20240310;*;;*;281;223;217;170;149;119;196;219;391;740;1098;1555;1905;1926;2187;2253;2223;1994;1646;1347;954;561;299;151;22804
923;vt4_Jyväskylä_Halssila;20240311;*;;*;118;74;69;77;205;550;1274;1999;1783;1503;1418;1397;1585;1607;1929;2490;2510;1928;1557;1255;989;568;309;155;27349
923;vt4_Jyväskylä_Halssila;20240312;*;;*;122;100;71;90;185;530;1191;2146;1797;1355;1238;1406;1536;1623;1927;2588;2673;1974;1645;1246;1024;762;362;165;27756
923;vt4_Jyväskylä_Halssila;20240313;*;;*;140;122;77;72;150;532;1235;2068;1814;1376;1327;1459;1565;1588;2030;2549;2704;2068;1715;1493;977;673;354;215;28303
923;vt4_Jyväskylä_Halssila;20240314;*;;*;168;118;78;85;174;506;1191;2018;1804;1454;1335;1537;1614;1779;2024;2698;2712;2251;1783;1489;1091;696;408;204;29217
923;vt4_Jyväskylä_Halssila;20240315;*;;*;134;125;73;90;173;481;1111;1967;1786;1562;1636;1828;2034;2256;2691;3072;2841;2390;1969;1503;1144;743;530;394;32533
923;vt4_Jyväskylä_Halssila;20240316;*;;*;306;251;198;156;173;223;336;502;838;1370;1771;1851;1995;2121;1998;2043;1846;1859;1390;1127;898;656;476;324;24708
923;vt4_Jyväskylä_Halssila;20240317;*;;*;249;223;178;162;137;99;190;244;346;758;1062;1405;1704;2008;1999;2047;2203;1983;1623;1305;964;623;318;165;21995
923;vt4_Jyväskylä_Halssila;20240318;*;;*;112;78;68;80;192;550;1228;2016;1853;1390;1392;1438;1576;1645;1976;2540;2518;1966;1560;1261;990;579;363;151;27522
923;vt4_Jyväskylä_Halssila;20240319;*;;*;113;103;82;72;162;510;1191;2004;1828;1397;1331;1444;1466;1624;1890;2574;2624;1940;1634;1292;985;640;339;172;27417
923;vt4_Jyväskylä_Halssila;20240320;*;;*;126;95;93;72;164;525;1256;2132;1869;1394;1294;1457;1495;1712;1915;2628;2661;2061;1705;1374;1014;623;342;197;28204
923;vt4_Jyväskylä_Halssila;20240321;*;;*;161;105;87;92;182;505;1180;2016;1863;1469;1288;1573;1604;1806;2105;2827;2766;2221;1794;1463;1090;664;402;207;29470
923;vt4_Jyväskylä_Halssila;20240322;*;;*;155;114;94;87;188;489;1096;1935;1728;1401;1512;1777;2054;2174;2599;2975;2718;2379;1922;1452;1059;751;531;345;31535
923;vt4_Jyväskylä_Halssila;20240323;*;;*;256;191;165;167;140;223;347;554;836;1442;1656;1821;2027;1949;1961;1875;1811;1656;1553;1227;864;653;550;401;24325
923;vt4_Jyväskylä_Halssila;20240324;*;;*;287;204;174;143;119;126;223;225;449;803;1125;1426;1765;1903;2036;2083;2028;1960;1575;1217;917;620;310;165;21883
923;vt4_Jyväskylä_Halssila;20240325;*;;*;136;97;65;84;185;567;1252;2018;1746;1468;1317;1480;1524;1721;1899;2501;2482;1899;1572;1167;995;590;341;187;27293
923;vt4_Jyväskylä_Halssila;20240326;*;;*;130;105;69;80;162;524;1209;2128;1808;1464;1306;1510;1652;1677;1997;2550;2628;2013;1699;1334;979;651;375;182;28232
923;vt4_Jyväskylä_Halssila;20240327;*;;*;;;;;;;;;;;;;;1047;2139;2743;2790;2225;1975;1643;1204;749;432;245;17192
923;vt4_Jyväskylä_Halssila;20240328;*;;*;188;125;119;96;190;539;1137;1935;1791;1642;1660;2000;2144;2333;2892;3287;3269;2730;2436;2075;1629;923;675;345;36160
923;vt4_Jyväskylä_Halssila;20240329;*;;*;264;203;132;96;107;157;291;409;685;1226;1726;2108;2418;2220;2043;1853;1734;1437;1188;909;787;541;380;305;23219
923;vt4_Jyväskylä_Halssila;20240330;*;;*;224;161;167;126;128;123;243;308;568;1045;1481;1778;1888;1964;1822;1719;1726;1543;1441;1074;847;633;518;362;21889
