startTime,endTime,direction,domain,source,1000m,500m,100m
2024-03-14 01:00:35+00:00,2024-03-14 01:02:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-14 01:02:36+00:00,2024-03-14 01:05:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:05:36+00:00,2024-03-14 01:08:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:08:36+00:00,2024-03-14 01:11:14+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:11:14+00:00,2024-03-14 01:13:28+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:13:28+00:00,2024-03-14 01:16:25+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:16:25+00:00,2024-03-14 01:19:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:19:22+00:00,2024-03-14 01:22:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:22:22+00:00,2024-03-14 01:25:01+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:25:01+00:00,2024-03-14 01:27:23+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:27:23+00:00,2024-03-14 01:29:49+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:29:49+00:00,2024-03-14 01:32:38+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:32:38+00:00,2024-03-14 01:35:38+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:35:38+00:00,2024-03-14 01:38:38+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:38:38+00:00,2024-03-14 01:41:38+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:41:38+00:00,2024-03-14 01:44:38+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:44:38+00:00,2024-03-14 01:47:38+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:47:38+00:00,2024-03-14 01:49:25+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:49:25+00:00,2024-03-14 01:51:25+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 01:51:25+00:00,2024-03-14 01:53:25+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-14 15:16:56+00:00,2024-03-14 15:19:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-14 15:19:17+00:00,2024-03-14 15:22:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:22:17+00:00,2024-03-14 15:25:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:25:17+00:00,2024-03-14 15:28:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:28:17+00:00,2024-03-14 15:31:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:31:17+00:00,2024-03-14 15:34:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:34:17+00:00,2024-03-14 15:37:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:37:17+00:00,2024-03-14 15:40:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:40:17+00:00,2024-03-14 15:43:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:43:17+00:00,2024-03-14 15:46:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:46:17+00:00,2024-03-14 15:49:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:49:17+00:00,2024-03-14 15:52:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:52:17+00:00,2024-03-14 15:55:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:55:17+00:00,2024-03-14 15:58:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 15:58:17+00:00,2024-03-14 16:01:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-14 16:01:17+00:00,2024-03-14 16:04:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-14 16:04:17+00:00,2024-03-14 16:07:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-27 08:33:09+00:00,2024-03-27 08:36:09+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-27 08:36:09+00:00,2024-03-27 08:38:33+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-27 08:38:33+00:00,2024-03-27 08:39:54+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-27 08:39:54+00:00,2024-03-27 08:40:55+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-27 08:40:55+00:00,2024-03-27 08:41:56+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-27 13:04:49+00:00,2024-03-27 13:07:23+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-27 13:07:23+00:00,2024-03-27 13:10:23+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-27 13:10:23+00:00,2024-03-27 13:13:23+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-27 13:13:23+00:00,2024-03-27 13:16:12+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-27 13:16:12+00:00,2024-03-27 13:18:28+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-27 13:18:28+00:00,2024-03-27 13:21:28+00:00,,state-roads,Harja/Väylävirasto,True,False,False
