pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
239;vt1_Kaarina;20240305;*;;*;46;32;26;24;46;226;954;1596;1382;908;803;837;920;904;1135;1633;1648;1243;910;677;535;350;166;120;17121
239;vt1_Kaarina;20240306;*;;*;56;36;19;24;56;227;862;1575;1378;974;796;915;875;930;1181;1654;1777;1383;935;751;538;316;187;100;17545
239;vt1_Kaarina;20240307;*;;*;58;43;29;22;66;224;874;1640;1362;908;762;878;925;1007;1180;1823;1814;1354;987;799;619;414;195;107;18090
239;vt1_Kaarina;20240308;*;;*;80;52;19;30;68;200;793;1395;1133;840;792;942;1051;1182;1474;1917;1898;1504;1151;871;639;448;366;278;19123
239;vt1_Kaarina;20240309;*;;*;156;99;66;43;52;76;182;263;479;685;977;1265;1362;1470;1264;1254;1117;1047;947;843;638;431;346;225;15287
239;vt1_Kaarina;20240310;*;;*;156;123;95;62;59;52;115;164;246;450;734;954;1145;1134;1161;1256;1228;1208;1136;852;763;362;166;80;13701
239;vt1_Kaarina;20240311;*;;*;69;36;29;33;63;246;891;1587;1319;894;742;815;827;914;1052;1596;1659;1164;841;675;524;288;151;72;16487
239;vt1_Kaarina;20240312;*;;*;61;38;15;34;52;230;922;1690;1255;846;803;824;815;880;1150;1662;1705;1303;910;662;610;421;212;90;17190
239;vt1_Kaarina;20240313;*;;*;71;35;20;24;63;236;857;1573;1353;902;759;811;855;905;1123;1675;1724;1310;891;646;545;358;180;97;17013
239;vt1_Kaarina;20240314;*;;*;78;43;28;20;53;239;913;1530;1313;898;768;809;905;923;1085;1782;1690;1307;924;739;585;369;211;98;17310
239;vt1_Kaarina;20240315;*;;*;58;58;26;33;45;204;803;1413;1195;882;845;924;1044;1250;1379;1926;1825;1555;1032;771;592;509;321;191;18881
239;vt1_Kaarina;20240316;*;;*;138;93;81;49;55;74;179;320;454;729;911;1145;1265;1270;1288;1275;1188;1092;928;739;660;436;281;205;14855
239;vt1_Kaarina;20240317;*;;*;168;136;94;75;76;50;118;150;273;321;504;696;923;1035;1054;1070;1079;1148;1013;798;652;341;184;89;12047
239;vt1_Kaarina;20240318;*;;*;51;44;32;35;77;248;892;1512;1265;815;702;744;834;936;986;1534;1633;1131;850;657;518;316;178;76;16066
239;vt1_Kaarina;20240319;*;;*;48;34;20;34;58;242;915;1543;1332;890;693;836;857;911;1093;1607;1635;1156;877;630;571;326;188;70;16566
239;vt1_Kaarina;20240320;*;;*;52;40;22;25;64;243;922;1520;1357;926;778;800;868;873;1090;1669;1714;1285;923;671;570;407;204;108;17131
239;vt1_Kaarina;20240321;*;;*;65;31;38;27;64;231;947;1555;1280;897;793;836;895;913;1167;1717;1771;1245;967;800;549;402;192;106;17488
239;vt1_Kaarina;20240322;*;;*;72;49;25;30;55;200;823;1423;1219;838;774;918;1005;1153;1469;1849;1940;1557;1021;733;619;521;334;221;18848
239;vt1_Kaarina;20240323;*;;*;139;86;71;51;49;73;172;327;483;799;1054;1235;1297;1277;1249;1116;1215;1096;856;716;631;436;334;225;14987
239;vt1_Kaarina;20240324;*;;*;151;138;102;65;59;62;111;193;274;460;664;873;1097;1071;1125;1137;1210;1210;1075;785;694;343;149;109;13157
239;vt1_Kaarina;20240325;*;;*;56;43;38;33;81;249;963;1509;1275;907;792;756;784;853;1067;1579;1538;1140;884;719;524;339;156;110;16395
239;vt1_Kaarina;20240326;*;;*;60;38;29;27;61;213;912;1599;1304;886;811;783;929;949;1097;1745;1762;1397;890;736;548;383;306;100;17565
239;vt1_Kaarina;20240327;*;;*;58;31;31;37;60;206;901;1551;1359;928;794;879;937;969;1150;1700;1760;1291;981;856;668;401;203;83;17834
239;vt1_Kaarina;20240328;*;;*;47;36;32;34;87;223;782;1426;1158;915;913;979;1102;1226;1616;1909;1937;1516;1200;955;750;439;245;166;19693
239;vt1_Kaarina;20240329;*;;*;119;82;62;43;53;57;191;394;404;626;913;1164;1299;1311;1197;1171;1007;939;792;584;494;362;206;157;13627
239;vt1_Kaarina;20240330;*;;*;134;95;54;43;48;66;145;266;360;610;982;1259;1305;1339;1236;1233;1179;1090;831;703;739;465;245;188;14615
239;vt1_Kaarina;20240331;*;;*;153;113;98;;67;52;96;160;208;314;605;923;1163;1256;1135;1161;1173;1225;1148;959;751;453;250;191;13654
239;vt1_Kaarina;20240401;*;;*;144;77;69;38;32;45;136;263;226;311;598;875;1085;1161;1207;1197;1387;1358;1153;993;878;431;230;139;14033
239;vt1_Kaarina;20240402;*;;*;68;38;48;45;75;280;935;1582;1379;882;786;785;901;951;1179;1620;1623;1154;906;655;544;309;171;89;17005
239;vt1_Kaarina;20240403;*;;*;58;41;28;30;54;204;746;1412;1272;804;697;729;823;830;1004;1605;1627;1213;885;707;541;349;195;94;15948
239;vt1_Kaarina;20240404;*;;*;57;41;29;28;53;224;851;1456;1240;891;809;814;867;983;1221;1681;1720;1290;1023;737;610;365;218;139;17347
239;vt1_Kaarina;20240405;*;;*;63;33;25;30;54;189;741;1296;1163;831;791;857;947;1059;1242;1664;1705;1322;1025;742;535;416;339;215;17284
239;vt1_Kaarina;20240406;*;;*;122;103;87;70;48;69;170;341;459;661;852;1086;1287;1268;1181;1143;1105;1007;874;706;638;418;299;258;14252
239;vt1_Kaarina;20240407;*;;*;195;129;73;66;57;48;119;228;244;401;624;876;1077;1102;1121;1117;1133;1145;957;911;687;355;169;108;12942
239;vt1_Kaarina;20240408;*;;*;52;44;37;29;92;255;968;1582;1379;931;747;789;889;902;1125;1664;1716;1194;874;692;548;365;205;76;17155
239;vt1_Kaarina;20240409;*;;*;57;35;24;29;60;253;981;1643;1352;958;819;857;863;962;1126;1702;1766;1323;958;769;607;388;201;115;17848
239;vt1_Kaarina;20240410;*;;*;73;35;24;26;59;228;935;1665;1361;966;810;893;939;952;1167;1783;1858;1347;956;739;604;411;190;99;18120
239;vt1_Kaarina;20240411;*;;*;70;30;24;21;58;233;905;1633;1367;941;874;891;984;1009;1215;1779;1876;1430;1119;814;657;466;224;120;18740
239;vt1_Kaarina;20240412;*;;*;67;57;35;33;63;206;832;1455;1166;969;884;1019;1107;1221;1614;1945;1899;1640;1346;956;818;535;435;271;20573
